minutes_bucket,players,mean_rating,median_rating,rating_std
"[45, 180)",238,0.3476105586219658,0.329871963571555,0.11211864856802867
"[180, 300)",189,0.3961125914713037,0.3831928893147069,0.15172860859074266
"[300, inf)",126,0.4827572598920896,0.49209286320681966,0.18882202141801457
