player_name,team,position_group,functional_role,final_player_rating,global_rank,position_rank,role_rank,team_rank,RankingStatus,GKRankingStatus,primary_global_rank,primary_goalkeeper_rank,tournament,minutes_played,position_group_360,functional_role_original,final_player_rating_v2,global_rank_v2,position_rank_v2,role_rank_v2,team_rank_v2,gk_rating_v2,gk_rank_v2,is_main_goalkeeper,player_id,actions,aerial_events,aerial_wins,average_x,average_y,blocks,box_passes,carries,carry_progression_sum,clearances,completed_passes,counterpressures,crosses,dribbled_past,dribbles,duels,duels_won,final_third_passes,fouls,goals,interceptions,interceptions_won,key_passes,minutes,pass_progression_sum,passes,pressures,progressive_carries,progressive_passes,recoveries,shots,successful_dribbles,successful_under_pressure_actions,switches,through_balls,turnovers,under_pressure_actions,xg_sum,player,position,aerial_dominance_index,pressing_intensity_index,speed_recovery_index,shots_p90,progressive_carries_p90,dribbles_p90,clearances_p90,progressive_passes_p90,key_passes_p90,crosses_p90,interceptions_p90,turnovers_p90,xg_p90,duel_win_rate,pass_completion,aerial_dominance_index_percentile,pressing_intensity_index_percentile,speed_recovery_index_percentile,vaep_total,vaep_offense,vaep_defense,total_touches,xt_total,xa_sum,events_with_360_context,role_has_360_rate,mean_defenders_within_3,mean_defenders_within_5,mean_nearest_defender_distance,mean_defensive_density,mean_defenders_behind_ball,vaep_off_p90,vaep_def_p90,vaep_total_p90,vaep_per_touch,xt_p90,xa_p90,raw_final_player_rating,rating_minutes_reliability,player_evaluation_score,pass_start_x,pass_start_y,line_breaking_pass_rate,pressure_state_rate,distribution_under_pressure,pass_receipt_x,pass_receipt_y,playstyle_cluster,spatial_point_count,final_third_share,Functional role,completeness_score,kmeans_functional_role,role_refinement_applied,role_refinement_reason,pressures_p90,counterpressures_p90,recoveries_p90,post_pressure_recoveries_p90,blocks_p90,aerial_wins_p90,aerial_events_p90,goals_p90,box_passes_p90,tackles_p90,progressive_receptions_p90,dangerous_zone_receptions_p90,pressure_resistance,role_off_scaled,role_def_scaled,role_adjusted_value,role_off_weight,role_def_weight,role_weight_source,legacy_raw_final_player_rating,legacy_final_player_rating,legacy_team_rank,vaep_off_scaled,vaep_def_scaled,vaep_component,vaep_90_missing,vaep_per_touch_missing,xt_90_missing,role_adjusted_value_missing,completeness_score_missing,off_ball_score_missing,global_rank_eligible,post_shot_xg_proxy,goal_allowed,shot_on_target_faced,penalty_faced,high_leverage_shots_on_target,high_leverage_saves,penalties_faced,penalties_saved,cross_opportunities,claims,sweeper_actions,pressured_passes,completed_pressured_passes,goals_prevented_proxy,goals_prevented_proxy_p90,save_rate,high_leverage_save_pct,claims_p90,cross_stopping_rate,sweeper_actions_p90,penalty_save_rate_shrunk,goalkeeper_raw_rating,goalkeeper_feature_coverage,goalkeeper_rating_reliability,goalkeeper_rank,open_play_xt_p90,set_piece_xt_p90,progressive_receptions,dangerous_zone_receptions,pressure_events,forced_rushed_actions,post_pressure_recoveries,forced_rushed_action_rate,occupancy_entropy,convex_hull_area,average_spatial_x,average_spatial_y,final_third_occupancy,zone14_share,half_space_share,wide_corridor_share,spatial_observation_count,kde_00_00,kde_00_01,kde_00_02,kde_00_03,kde_00_04,kde_00_05,kde_00_06,kde_00_07,kde_01_00,kde_01_01,kde_01_02,kde_01_03,kde_01_04,kde_01_05,kde_01_06,kde_01_07,kde_02_00,kde_02_01,kde_02_02,kde_02_03,kde_02_04,kde_02_05,kde_02_06,kde_02_07,kde_03_00,kde_03_01,kde_03_02,kde_03_03,kde_03_04,kde_03_05,kde_03_06,kde_03_07,kde_04_00,kde_04_01,kde_04_02,kde_04_03,kde_04_04,kde_04_05,kde_04_06,kde_04_07,kde_05_00,kde_05_01,kde_05_02,kde_05_03,kde_05_04,kde_05_05,kde_05_06,kde_05_07,kde_06_00,kde_06_01,kde_06_02,kde_06_03,kde_06_04,kde_06_05,kde_06_06,kde_06_07,kde_07_00,kde_07_01,kde_07_02,kde_07_03,kde_07_04,kde_07_05,kde_07_06,kde_07_07,kde_08_00,kde_08_01,kde_08_02,kde_08_03,kde_08_04,kde_08_05,kde_08_06,kde_08_07,kde_09_00,kde_09_01,kde_09_02,kde_09_03,kde_09_04,kde_09_05,kde_09_06,kde_09_07,kde_10_00,kde_10_01,kde_10_02,kde_10_03,kde_10_04,kde_10_05,kde_10_06,kde_10_07,kde_11_00,kde_11_01,kde_11_02,kde_11_03,kde_11_04,kde_11_05,kde_11_06,kde_11_07,network_pagerank,network_betweenness,network_eigenvector,network_closeness,network_entropy,network_completed_passes_per_match,network_matches,build_up_involvement_ratio,build_up_eligible_possessions,xd_total,xd_actions,xd_mean_action_threat,xd90,xd90_pct,sb360_coverage,sb360_observations,mean_defenders_within_3m,mean_defenders_within_5m,mean_nearest_defender_m,mean_passing_lane_availability,packing_index_mean,mean_space_received,actor_shape_deviation_m,movement_into_available_space_rate,shape_maintenance_score,defensive_positioning_score,progression_score,progression_score_evidence_count,progression_score_coverage,creation_score,creation_score_evidence_count,creation_score_coverage,finishing_score,finishing_score_evidence_count,finishing_score_coverage,pressing_score,pressing_score_evidence_count,pressing_score_coverage,defensive_score,defensive_score_evidence_count,defensive_score_coverage,ball_security_score,ball_security_score_evidence_count,ball_security_score_coverage,aerial_score,aerial_score_evidence_count,aerial_score_coverage,average_receiving_x,average_receiving_x_available,average_receiving_y,average_receiving_y_available,average_passing_x,average_passing_x_available,average_passing_y,average_passing_y_available,final_third_involvement,final_third_involvement_available,half_space_occupation,half_space_occupation_available,wide_corridor_occupation,wide_corridor_occupation_available,zone14_occupation,zone14_occupation_available,role_cluster,probabilistic_role,role_entropy,role_max_probability,role_probability_01,role_probability_02,role_probability_03,role_probability_04,role_probability_05,role_probability_06,role_probability_07,role_probability_08,role_probability_09,role_probability_10,role_probability_11,role_probability_12,role_probability_13,role_probability_14,role_probability_15,role_probability_16,role_probabilities,attacking_off_ball_score,defensive_off_ball_score,attacking_off_ball_evidence,defensive_off_ball_evidence,off_ball_raw,off_ball_evidence,off_ball_score,off_ball_score_observed,off_ball_reliability,off_ball_feature_coverage,role_consistency_adjusted,finishing_component_v2,creation_component_v2,progression_component_v2,possession_component_v2,defending_component_v2,off_ball_component_v2,tournament_impact_component_v2,goal_role_boost_v2,raw_player_rating_v2,rating_reliability_v2,gk_raw_rating_v2,gk_rating_reliability_v2,minutes_bucket
Lionel Andrés Messi Cuccittini,Argentina,Attacking Midfield/Wing,Progressive Winger,0.7738668800393582,1.0,1,1,1,Ranked (300+ min),,1.0,,2022_World_Cup,733.9,AM,Progressive Winger,1.0,1.0,1.0,1.0,1.0,,,,5503,1459,15,5,527.7926213313835,348.8641794944994,4,25,391,1664.8000000000002,1,306,33,7,5,36,15,4,32,11,9,0,0,19,733.9,2713.7000000000003,371,89,56,89,30,34,26,339,11,8,110,359,7.598649225,Lionel Andrés Messi Cuccittini,Right Wing,0.3333333333333333,10.914293500476903,3.678975337239406,4.16950538220466,6.867420629513558,4.414770404687287,0.1226325112413135,10.914293500476903,2.330017713584957,0.8584275786891947,0.0,13.489576236544488,0.9318414365036108,0.2666666666666666,0.8247978436657682,45.22058823529412,40.294117647058826,59.19117647058824,5.151101054543688,4.745914859369805,0.4051861951738829,1361,1.287870686184924,2.445524903,1553,0.8828074694140373,0.4529540481400437,0.9839766933721776,8.184988348962506,0.0502752863045184,5.773488710852148,0.5820034573419846,0.0496890006344862,0.6316924579764708,0.0037847913699806,0.1579348164009308,0.2999008601580596,0.9168799036600552,0.6199003294197144,0.7738668800393582,77.21024258760107,47.97681940700809,0.2237196765498652,0.2021563342318059,0.8666666666666667,74.51611570247934,50.682644628099176,2,2130,0.4516431924882629,Progressive Winger,0.8653520394542501,Progressive Winger,False,KMEANS_ROLE_RETAINED,10.914293500476903,4.046872870963346,3.678975337239406,0.9810600899305084,0.4905300449652541,0.6131625562065677,1.839487668619703,1.1036926011718218,3.065812781032838,0.4905300449652541,14.59326883771631,12.631148657855292,0.9442896935933148,0.942542906830161,1.0,0.9511614708056368,0.85,0.15,functional_role,0.3485686296794157,0.2832002233375635,1.0,0.9976700106057668,0.8099943118560241,0.9695186557933052,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,0.074821760351417,0.0831130560495138,119,103,89.0,17.0,8.0,0.1910112359550561,8.55254713838341,8379.7348005,75.72634366925064,49.90561563307493,0.4534883720930232,0.146640826873385,0.2390180878552971,0.2228682170542635,1548.0,6.905904565811805e-08,0.0004762704100965,0.00106830892649,3.424630666115146e-06,8.465050108058183e-06,0.0005206200499931,8.694941264577978e-05,0.0001576892953182,4.750771935559285e-07,0.0001219316563059,0.0005357362720479,0.0005181344518727,2.2375231483863418e-05,0.0004713394032802,0.0004036015541033,0.0017155158291568,0.0005156111435163,0.0002445455208111,0.0017453115668028,0.0023834682015978,0.001626114806412,0.0014823727929828,0.0019120014131756,0.0025422106794908,0.0020739801849719,0.0003850259812307,0.0019833523041693,0.004552725985551,0.0071545105492261,0.0095783208308539,0.0076553465943283,0.00367120593855,0.0007029132049701,0.0030867834461457,0.0031504097572336,0.0073123164368614,0.0131985284592683,0.013703495453417,0.0159691603449004,0.0052996622521149,0.0001448043246256,0.0031823691622125,0.0079633483828133,0.017371167236143,0.0215866728297608,0.0194108727127118,0.0315185453433194,0.0186509565830336,0.0005769298155088,0.0045561242361288,0.0124603738912064,0.0214724779444301,0.0279459513426466,0.0313726582276444,0.0284131517053594,0.0199137197982292,0.0021208455714076,0.0039852488520793,0.0092192255695096,0.0149847762966638,0.0294559172122133,0.0443014641286362,0.0338096409379546,0.0324086697535936,0.003178973267538,0.0049156216048599,0.011527557885893,0.0229201811376327,0.0286367322910708,0.0452583634059973,0.0350250309687884,0.0229987802390988,0.0019739992367968,0.0051961471386173,0.009473070745117,0.0283355339051444,0.0263158908557828,0.0290155034674621,0.0270221619863688,0.0093201625756865,0.0053091518156549,0.0043778181317678,0.0122068345006306,0.020320681213709,0.017643779346963,0.0122434841396046,0.0089047270108977,0.0093567241436842,0.0119254959773535,0.0018606432532745,0.0056557526166645,0.0040543599819367,0.0049371873424949,0.0042583538658553,0.0026971224238275,0.0082679815076007,0.1001854785923769,0.1465092447235304,0.3304593631229032,3.480094563896646,0.907060007833053,43.714285714285715,7,0.7037037037037037,324.0,25.60607638888889,143,0.3990554584304584,3.1401374506063497,0.16,0.8840952994204765,1373,0.607428987618354,1.1726147123088129,7.3095954655169635,0.8267217791717273,0.9337217771303714,0.4905432755102399,15.933527574592324,0.3835616438356164,0.7433628318584071,0.7433628318584071,0.775837147675259,7,1.0,0.8284991568296796,5,0.8333333333333334,0.97442383361439,3,0.75,0.393754549076107,5,0.8333333333333334,0.4206215369790412,7,1.0,0.6048354108746183,5,0.8333333333333334,0.3709949409780775,3,1.0,74.51611570247934,True,50.682644628099176,True,77.21024258760107,True,47.97681940700809,True,0.4516431924882629,True,0.2390180878552971,True,0.2228682170542635,True,0.146640826873385,True,1,Pressing/Finishing Attacker,0.0295816527963914,0.9845291982672384,0.0149936318012567,0.9845291982672384,1.4441332619836504e-20,3.231413215970887e-23,8.928856597558423e-19,3.2029987223537637e-18,9.23576657593938e-25,4.049221947835435e-07,6.28376533506762e-10,0.0004691483459182,8.897912883546694e-08,7.526482802878422e-06,2.113542831909759e-19,5.7293630078496e-10,1.0217977405080368e-15,1.4722899478345357e-13,"{""role_01"": 0.01499363180125678, ""role_02"": 0.9845291982672383, ""role_03"": 1.4441332619836504e-20, ""role_04"": 3.231413215970887e-23, ""role_05"": 8.928856597558423e-19, ""role_06"": 3.2029987223537637e-18, ""role_07"": 9.235766575939379e-25, ""role_08"": 4.049221947835435e-07, ""role_09"": 6.28376533506762e-10, ""role_10"": 0.00046914834591825494, ""role_11"": 8.897912883546694e-08, ""role_12"": 7.526482802878422e-06, ""role_13"": 2.113542831909759e-19, ""role_14"": 5.729363007849604e-10, ""role_15"": 1.0217977405080368e-15, ""role_16"": 1.4722899478345357e-13}",0.5417369308600337,0.5078645975296957,8,6,0.5248007641948647,14,0.5234809503574627,True,0.8235294117647058,1.0,False,0.9840176576959898,0.94256860972237,0.9411764705882354,0.7843137254901961,0.3601440576230492,0.5434173669467787,0.9994575045207956,0.0,0.88584892184722,0.8030419083050662,,,"[300, inf)"
Kylian Mbappé Lottin,France,Forward,Progressive Winger,0.6558014063071751,3.0,1,2,1,Ranked (300+ min),,2.0,,2022_World_Cup,654.3000000000001,FW,Progressive Winger,0.9389170170453992,2.0,1.0,2.0,1.0,,,,3009,1050,8,2,584.8418698878094,127.84546065473468,2,22,298,1701.4,0,180,8,27,1,50,6,0,14,8,9,1,1,11,654.3000000000001,1182.8,233,37,55,32,29,32,30,213,7,1,91,238,5.016751877,Kylian Mbappé Lottin,Left Center Forward,0.25,5.226960110041265,3.988995873452544,4.401650618982118,7.565337001375515,6.877579092159559,0.0,4.401650618982118,1.513067400275103,3.713892709766162,0.1375515818431912,12.517193947730398,0.6900621563961484,0.0,0.7725321888412017,39.11764705882353,13.382352941176473,65.44117647058823,4.541998980064818,4.405165508396749,0.1368334716680692,1012,0.9764524023288356,0.835716436,1110,0.8738738738738738,0.3907216494845361,0.8350515463917526,9.393890600429154,4.144095612547526,4.452577319587629,0.6059374839610383,0.0188216604770384,0.6247591444380767,0.004488141284649,0.1343125725349154,0.114954117744154,0.7686721839807122,0.5925020374898126,0.6558014063071751,85.98283261802575,17.385836909871244,0.1587982832618025,0.111587982832618,0.8461538461538461,83.33351800554017,18.810803324099723,2,1510,0.590066225165563,Progressive Winger,0.7699169564599182,Progressive Winger,False,KMEANS_ROLE_RETAINED,5.089408528198073,1.1004126547455295,3.988995873452544,0.4126547455295735,0.2751031636863824,0.2751031636863824,1.1004126547455295,1.237964236588721,3.026134800550206,0.0,21.458046767537823,10.59147180192572,0.8949579831932774,0.7294609052537806,0.4963744971359018,0.6944979440360988,0.85,0.15,functional_role,0.3405885291114161,0.2992683753181824,1.0,0.8257263517310034,0.1484444415073016,0.7241340651974482,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,0.0774867206934184,0.0568258518414969,156,77,37.0,9.0,3.0,0.2432432432432432,8.149058141726847,6144.114050000001,84.20541553748872,18.297560975609755,0.6214995483288166,0.060523938572719,0.2448057813911472,0.4561878952122855,1107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002808327295491,0.0001160608913184,1.5688428736036785e-05,4.552472672273821e-06,6.855541742510417e-10,0.0,0.0,0.0,0.0063895672695611,0.0030307633228208,0.0016521435915063,0.0008691887355023,1.3326966114505603e-05,9.528684881591542e-07,0.0,0.0,0.0080855352116547,0.0064928110896034,0.0021686374480176,0.0014550467201889,0.0018434525653428,0.0001696397494836,2.86935539220894e-06,8.6943897509922e-06,0.0111109374226152,0.0078158786474115,0.0048412326343444,0.0007079448105287,0.0005926876410193,0.0002491219349845,0.0009707071059785,0.0011780496648953,0.0263356502166984,0.0203590325917387,0.0109982563221016,0.004005511969477,0.0024254655344895,0.0009242332256153,0.0007623322348795,0.0003165531241106,0.0429951635295354,0.0283376481295671,0.0149320644855422,0.0054446132840074,0.0054066872239163,0.0008363541401999,7.892498260600518e-05,9.4790734890147e-07,0.0696566534891814,0.0439719532612524,0.026045198521886,0.0103275532534615,0.004921557750155,0.0029827606762339,0.0020877346087212,0.000140276667762,0.0759229878537007,0.0473926265806903,0.037097609094796,0.0099582598018929,0.0059824579453201,0.0038615203990281,0.0037817079759601,0.0009009588765846,0.0663057824700363,0.0496095180042782,0.0456730014159047,0.0187534458290768,0.0054748634453902,0.004413534891325,0.0054546487924114,0.0006816282790781,0.0208691175821168,0.0356089475577725,0.0431807923180076,0.018925402830946,0.0129970785677318,0.0068006833391491,0.0030348796960747,0.0013600393196868,0.0195059236623061,0.0280500196731558,0.0259189885177352,0.0085117897113258,0.0044648780047466,0.0014879603670678,0.0032825125509243,0.0003769831622545,0.0857219226694387,0.0367311260168403,0.274710164399055,2.91292587136416,0.8802289649733493,25.714285714285715,7,0.6487603305785123,242.0,12.454375,76,0.3699013157894737,1.7131189821182942,0.0123456790123456,0.8738738738738738,970,0.5350515463917526,1.035051546391753,8.368838578436318,0.8449162503971855,0.7154639175257732,0.5487895387616014,21.700444778273734,0.4707692307692308,0.2581120943952802,0.2581120943952802,0.6534569983136594,7,1.0,0.6666104553119729,5,0.8333333333333334,0.97442383361439,3,0.75,0.1804222740737856,5,0.8333333333333334,0.3172729462780053,7,1.0,0.4854316690214666,5,0.8333333333333334,0.2627880831928049,3,1.0,83.33351800554017,True,18.810803324099723,True,85.98283261802575,True,17.385836909871244,True,0.590066225165563,True,0.2448057813911472,True,0.4561878952122855,True,0.060523938572719,True,8,Finishing/Progressive Attacker,2.126269332320453e-05,0.9999955886068712,2.2692017517621948e-08,3.7120783113506224e-11,8.4101409279315e-29,1.011625566073978e-33,5.926229856452053e-14,2.8088067811622268e-27,3.09386131440959e-33,2.1448570812024343e-14,0.9999955886068712,3.466901990587789e-14,1.8457284894871158e-17,4.388663875055968e-06,8.929009971633968e-25,1.1244888137298033e-22,3.625643060741201e-25,8.33344382406251e-25,"{""role_01"": 2.2692017517621948e-08, ""role_02"": 3.7120783113506224e-11, ""role_03"": 8.410140927931502e-29, ""role_04"": 1.011625566073978e-33, ""role_05"": 5.926229856452053e-14, ""role_06"": 2.8088067811622268e-27, ""role_07"": 3.09386131440959e-33, ""role_08"": 2.144857081202434e-14, ""role_09"": 0.9999955886068712, ""role_10"": 3.466901990587789e-14, ""role_11"": 1.8457284894871158e-17, ""role_12"": 4.388663875055968e-06, ""role_13"": 8.929009971633968e-25, ""role_14"": 1.1244888137298033e-22, ""role_15"": 3.625643060741201e-25, ""role_16"": 8.33344382406251e-25}",0.6068718381112985,0.2078280052357432,8,6,0.4073499216735208,14,0.4235895251222591,True,0.8235294117647058,1.0,False,0.9576552139843278,0.9251186011207108,0.9722222222222222,0.5761316872427984,0.2663139329805996,0.3251028806584362,0.9911392405063292,0.0,0.8508462678320273,0.7842502696871629,,,"[300, inf)"
Antoine Griezmann,France,Attacking Midfield/Wing,Hybrid Playmaker / Roaming Creator,0.5590057791955781,52.0,30,2,4,Ranked (300+ min),,22.0,,2022_World_Cup,586.0500000000001,AM,Hybrid Playmaker / Roaming Creator,0.7606937278153832,11.0,5.0,1.0,2.0,,,,5487,1047,14,9,482.1323841755652,329.3128408633471,10,24,225,758.6,8,255,42,10,3,8,18,6,25,3,0,11,9,20,586.0500000000001,2107.5,323,125,26,62,25,6,3,106,21,2,87,116,0.496320071,Antoine Griezmann,Center Attacking Midfield,0.6428571428571429,20.885589966726386,3.8392628615305857,0.9214230867673404,3.992833375991809,1.2285641156897875,1.2285641156897875,9.521371896595852,3.071410289224469,1.5357051446122345,1.6892756590734577,13.360634758126436,0.0762201286409009,0.3333333333333333,0.7894736842105263,76.54411764705881,85.73529411764706,62.64705882352941,2.199652112481999,2.3028340834280243,-0.1031819709460251,869,0.7591287258945119,2.541516098,1089,0.9044995408631772,0.3979695431472081,0.8121827411167513,6.343261189140077,0.0204567357250081,5.411167512690355,0.3536474149108816,-0.015845708361304,0.3378017065495775,0.0025312452387594,0.1165797889779132,0.3903019346813411,0.5731167981453751,0.5656580280874475,0.5590057791955781,75.16625386996904,45.48885448916408,0.2291021671826625,0.0804953560371517,0.8461538461538461,70.76666666666667,48.32743055555555,2,1474,0.3527815468113975,Hybrid Playmaker / Roaming Creator,0.8341319295594771,Progressive Winger,True,HIGH_CREATION_PRESSING_COMPLETENESS,19.19631430765293,6.449961607371384,3.8392628615305857,2.764269260302022,1.5357051446122345,1.382134630151011,2.149987202457128,0.0,3.685692347069362,0.9214230867673404,15.510621960583569,8.292807780906065,0.913793103448276,0.4917226505165141,0.0609649505529106,0.2978816855328925,0.55,0.45,functional_role,0.1929761846419992,0.1858596786806254,4.0,0.5045215185173847,0.2762659027747586,0.401806491433203,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,0.0454974102066891,0.0710823787712241,101,54,125.0,30.0,18.0,0.24,8.747442598100715,8917.3042505,68.95724861878453,47.64206721915286,0.3480662983425414,0.0672191528545119,0.2569060773480663,0.2937384898710866,1086.0,0.0004166670338161,0.0001723752912347,0.0032387808006761,0.0032869280474162,0.0012531545233899,0.0022127229661389,0.0005948967876768,0.0017343944353991,0.0004153040277071,0.0001877989915665,0.0008355032334803,0.0038292957118391,0.0027292646416139,0.0023771570867362,0.0024900838674531,0.0043237828647422,0.004350179927414,0.0024012769628407,0.0027623994153454,0.0077279455450755,0.0066885822445358,0.0047316496759668,0.0070171039632175,0.0097633628103172,0.0042339576866127,0.005745387350525,0.0048852303896034,0.0054289010232177,0.0072062517466596,0.006580776058625,0.0150912432071328,0.0165305004106084,0.0005852978892777,0.0035818339188898,0.0054613011767969,0.0083921805748444,0.0104974167168828,0.0166455242639797,0.0175209975113536,0.0097149671307961,0.0004658967328375,0.0075580524886744,0.0138127092222369,0.0157493443702518,0.0197926326144608,0.0292113731104685,0.0262273433640955,0.0097089679348884,0.0022529920171566,0.012097471238144,0.0167437628129593,0.0236517203538144,0.0206364097140182,0.0275248357599263,0.0328455170695985,0.0230319072733353,0.0146189277367012,0.0198585431515639,0.0089724575118956,0.0140704448436059,0.0187838663272649,0.0283046244653999,0.0349153035015821,0.0215739561983805,0.0105698230268369,0.0117582676674118,0.0137687707414479,0.0111279217851059,0.017111510331264,0.0237868809281639,0.0375931016687869,0.0234557808505446,0.006341527641201,0.0105005660174955,0.0119852296022375,0.0068979670145404,0.0084848708653375,0.0173203790308105,0.0240025197055553,0.0056256767712961,0.0047889239145165,0.0043351919791452,0.0027797445151231,0.0067812436616417,0.0045797907861614,0.0131698272671878,0.0112030896613887,0.005006340793053,0.013083215454323,0.0020252556060692,0.0050304444794568,0.0049371852742858,0.0011799221643244,0.00404037417536,0.0041534313812644,0.0165237875139934,0.0836384778636049,0.0513039539825254,0.250814756791988,2.696412228163253,0.9169723714696978,36.42857142857143,7,0.7341772151898734,237.0,48.07840277777778,197,0.4666966300056401,7.383425049057248,0.88,0.9044995408631772,985,0.448730964467005,0.9614213197969544,5.906465917319712,0.8902565006285605,0.7086294416243655,0.4914722721467642,14.25377169767859,0.3763837638376384,0.8333333333333334,0.8333333333333334,0.7197060949168874,7,1.0,0.8042158516020237,5,0.8333333333333334,0.5401911186059584,3,0.75,0.7513273567583921,5,0.8333333333333334,0.6490002409058058,7,1.0,0.5699173351260198,5,0.8333333333333334,0.5913434513771781,3,1.0,70.76666666666667,True,48.32743055555555,True,75.16625386996904,True,45.48885448916408,True,0.3527815468113975,True,0.2569060773480663,True,0.2937384898710866,True,0.0672191528545119,True,1,Pressing/Finishing Attacker,0.0720375410428452,0.9506725991308204,1.6281761218122216e-05,0.9506725991308204,2.0618452827359668e-20,2.981508443573544e-20,7.002428673955095e-16,1.001192879136449e-16,3.9151015179507705e-24,5.3523005055128014e-14,1.8165884501618567e-09,0.0487543261134959,4.157558763713454e-07,0.0005563696305584,3.8340104687236e-18,5.725167823376433e-09,5.098163576663262e-15,6.621446325154804e-11,"{""role_01"": 1.6281761218122216e-05, ""role_02"": 0.9506725991308205, ""role_03"": 2.0618452827359668e-20, ""role_04"": 2.981508443573544e-20, ""role_05"": 7.002428673955095e-16, ""role_06"": 1.001192879136449e-16, ""role_07"": 3.9151015179507705e-24, ""role_08"": 5.352300505512801e-14, ""role_09"": 1.8165884501618567e-09, ""role_10"": 0.048754326113495956, ""role_11"": 4.1575587637134537e-07, ""role_12"": 0.0005563696305584785, ""role_13"": 3.834010468723599e-18, ""role_14"": 5.725167823376433e-09, ""role_15"": 5.098163576663262e-15, ""role_16"": 6.621446325154804e-11}",0.5786256323777403,0.7558138315875863,8,6,0.6672197319826634,14,0.6407671591238852,True,0.8235294117647058,1.0,False,0.4528241676417402,0.9688025210084036,0.8130252100840337,0.6134453781512604,0.6926770708283313,0.8991596638655462,0.8269439421338156,0.0,0.7531698071633719,0.7650283924025847,,,"[300, inf)"
