player_id,player_name_before,team_before,position_group,functional_role_before,final_player_rating,global_rank,position_rank,role_rank,team_rank,goalkeeper_rank,minutes,player_name_after,team_after,position_group_360,functional_role_after,final_player_rating_v2,global_rank_v2,position_rank_v2,role_rank_v2,team_rank_v2,gk_rating_v2,gk_rank_v2,minutes_played,_merge
3196,Wahbi Khazri,Tunisia,Forward,Progressive Winger,0.5277142456131009,129.0,14,45,6,,88.56666666666666,Wahbi Khazri,Tunisia,FW,Progressive Winger,0.5244224984762049,108.0,27.0,32.0,2.0,,,88.56666666666666,both
3202,Gabriel Fernando de Jesus,Brazil,Forward,Ball-Winner,0.4989919495999299,217.0,32,32,16,,105.61666666666667,Gabriel Fernando de Jesus,Brazil,FW,Pressing Forward,0.4727241961496181,159.0,41.0,6.0,14.0,,,105.61666666666667,both
3205,Kyle Walker,England,Fullback/Wingback,Deep Playmaker,0.5039424617538041,203.0,72,11,10,,251.51666666666665,Kyle Walker,England,FB,Deep Playmaker,0.2561609289064913,447.0,76.0,20.0,18.0,,,251.51666666666665,both
3233,Raheem Sterling,England,Attacking Midfield/Wing,Ball-Winner,0.5312666702582346,120.0,65,19,9,,159.93333333333334,Raheem Sterling,England,AM,Ball-Winner,0.3328207044533376,336.0,90.0,26.0,15.0,,,159.93333333333334,both
3240,Mathew Ryan,Australia,Goalkeeper,Goalkeeper,0.5576461535072923,,8,8,1,8.0,386.9166666666666,Mathew Ryan,Australia,GK,Goalkeeper,,,,,,0.348890620728047,16.0,386.9166666666666,both
3244,John Stones,England,Center Back,Ball-Playing Centre-Back,0.4569652071981365,358.0,22,8,15,,464.8833333333333,John Stones,England,CB,Ball-Playing Centre-Back,0.4812373716190858,149.0,13.0,8.0,9.0,,,464.8833333333333,both
3247,Fábio Henrique Tavares,Brazil,Defensive Midfield,Sweeper CB,0.4295600701716642,442.0,50,37,25,,100.1,Fábio Henrique Tavares,Brazil,DM,Ball-Winning Midfielder,0.3208874955189683,355.0,50.0,1.0,21.0,,,100.1,both
3264,Vincent Janssen,Netherlands,Forward,Ball-Winner,0.4862191633490619,262.0,46,42,8,,91.68333333333334,Vincent Janssen,Netherlands,FW,Pressing Forward,0.4054326822474378,229.0,56.0,11.0,11.0,,,91.68333333333334,both
3280,Richarlison de Andrade,Brazil,Forward,Ball-Winner,0.5369444196305702,99.0,8,11,8,,328.25,Richarlison de Andrade,Brazil,FW,Pressing Forward,0.7381460004917125,14.0,6.0,1.0,2.0,,,328.25,both
3281,Aaron Mooy,Australia,Defensive Midfield,Holding Anchor,0.4197188109158541,474.0,68,51,13,,386.9166666666666,Aaron Mooy,Australia,DM,Holding Anchor,0.2274436355370503,486.0,77.0,53.0,10.0,,,386.9166666666666,both
3289,Romelu Lukaku Menama,Belgium,Forward,Target Forward / Penalty-Box Anchor,0.5141029543797682,172.0,21,6,7,,63.51666666666666,Romelu Lukaku Menama,Belgium,FW,Target Forward / Penalty-Box Anchor,0.4797281782434459,150.0,39.0,13.0,4.0,,,63.51666666666666,both
3295,Thiago Emiliano da Silva,Brazil,Center Back,Ball-Playing Centre-Back,0.4639405612081145,337.0,14,5,22,,409.0666666666667,Thiago Emiliano da Silva,Brazil,CB,Ball-Playing Centre-Back,0.5570709088565303,87.0,5.0,4.0,7.0,,,409.0666666666667,both
3300,Maya Yoshida,Japan,Center Back,Sweeper CB,0.40216927661174,513.0,83,65,22,,412.51666666666665,Maya Yoshida,Japan,CB,Sweeper CB,0.3536669640275148,305.0,42.0,27.0,10.0,,,412.51666666666665,both
3306,Nathan Aké,Netherlands,Center Back,Sweeper CB,0.3924719860562199,525.0,89,71,17,,506.26666666666665,Nathan Aké,Netherlands,CB,Sweeper CB,0.376971352429728,268.0,33.0,21.0,12.0,,,506.26666666666665,both
3308,Kieran Trippier,England,Fullback/Wingback,Deep Playmaker,0.5419813345298742,81.0,24,3,7,,226.81666666666663,Kieran Trippier,England,FB,Deep Playmaker,0.4434032393396983,185.0,26.0,4.0,10.0,,,226.81666666666663,both
3311,Daley Blind,Netherlands,Fullback/Wingback,Attacking Wingback,0.5282200392722213,128.0,38,30,4,,452.48333333333335,Daley Blind,Netherlands,FB,Attacking Wingback,0.523409268233237,110.0,14.0,13.0,6.0,,,452.48333333333335,both
3318,Marcus Rashford,England,Attacking Midfield/Wing,Progressive Winger,0.5924987954791177,18.0,12,13,2,,170.41666666666666,Marcus Rashford,England,AM,Progressive Winger,0.4326189121293435,202.0,61.0,49.0,11.0,,,170.41666666666666,both
3336,Harry Maguire,England,Center Back,Sweeper CB,0.5561806181617446,55.0,1,1,6,,453.7166666666666,Harry Maguire,England,CB,Sweeper CB,0.59241153686411,69.0,4.0,1.0,5.0,,,453.7166666666666,both
3347,André Ayew Pelé,Ghana,Attacking Midfield/Wing,Ball-Winner,0.4852234979438588,267.0,94,44,9,,199.15,André Ayew Pelé,Ghana,AM,Ball-Winner,0.3126914218122527,364.0,95.0,30.0,7.0,,,199.15,both
3377,Timothy Weah,United States,Attacking Midfield/Wing,Ball-Winner,0.5392502858451839,91.0,49,9,7,,317.8833333333333,Timothy Weah,United States,AM,Ball-Winner,0.5127016740098423,115.0,39.0,6.0,7.0,,,317.8833333333333,both
3382,Luke Shaw,England,Fullback/Wingback,Attacking Wingback,0.5995748207072737,16.0,2,2,1,,457.1666666666666,Luke Shaw,England,FB,Attacking Wingback,0.542734602442028,98.0,11.0,11.0,7.0,,,457.1666666666666,both
3404,Youssouf Sabaly,Senegal,Fullback/Wingback,Attacking Wingback,0.5530243851991067,65.0,18,15,2,,387.2833333333333,Youssouf Sabaly,Senegal,FB,Attacking Wingback,0.5126771044743748,116.0,16.0,15.0,2.0,,,387.2833333333333,both
3436,Idrissa Gana Gueye,Senegal,Attacking Midfield/Wing,Ball-Winner,0.4843567128788157,273.0,97,45,9,,293.0833333333333,Idrissa Gana Gueye,Senegal,AM,Ball-Winner,0.3786618278564444,263.0,76.0,19.0,8.0,,,293.0833333333333,both
3441,Nikola Vlašić,Croatia,Attacking Midfield/Wing,Ball-Winner,0.4894379915685868,251.0,91,39,12,,226.75,Nikola Vlašić,Croatia,AM,Ball-Winner,0.3933725190256695,248.0,69.0,13.0,15.0,,,226.75,both
3450,Jordan Ayew,Ghana,Attacking Midfield/Wing,Progressive Winger,0.5028162478871627,206.0,87,58,5,,146.55,Jordan Ayew,Ghana,AM,Progressive Winger,0.4120951966429454,226.0,65.0,51.0,5.0,,,146.55,both
3457,Michy Batshuayi Tunga,Belgium,Forward,Target Forward,0.5200046045764426,152.0,18,14,5,,151.9,Michy Batshuayi Tunga,Belgium,FW,Target Forward,0.509880472540047,119.0,30.0,15.0,2.0,,,151.9,both
3468,Jordan Pickford,England,Goalkeeper,Goalkeeper,0.4508259486988236,,40,40,16,40.0,486.3333333333333,Jordan Pickford,England,GK,Goalkeeper,,,,,,0.1238776798092112,26.0,486.3333333333333,both
3471,Dejan Lovren,Croatia,Center Back,Sweeper CB,0.4243002357639663,463.0,56,42,18,,624.1333333333333,Dejan Lovren,Croatia,CB,Sweeper CB,0.479725351520307,151.0,14.0,6.0,11.0,,,624.1333333333333,both
3477,Álvaro Borja Morata Martín,Spain,Forward,Target Forward,0.5473460564018932,70.0,7,6,6,,200.8333333333333,Álvaro Borja Morata Martín,Spain,FW,Target Forward,0.7100017263955385,19.0,9.0,5.0,1.0,,,200.8333333333333,both
3488,Wayne Hennessey,Wales,Goalkeeper,Goalkeeper,0.4615769202224051,,33,33,9,33.0,202.71666666666664,Wayne Hennessey,Wales,GK,Goalkeeper,,,,,,0.0799986511548309,28.0,202.71666666666664,both
3499,Jean-Eric Maxim Choupo-Moting,Cameroon,Forward,Target Forward,0.4515025960149919,375.0,71,44,12,,269.9833333333333,Jean-Eric Maxim Choupo-Moting,Cameroon,FW,Target Forward,0.5058180282985545,124.0,32.0,16.0,2.0,,,269.9833333333333,both
3500,Granit Xhaka,Switzerland,Defensive Midfield,Holding Anchor,0.4527964567841049,370.0,22,22,14,,386.58333333333337,Granit Xhaka,Switzerland,DM,Holding Anchor,0.4446631612555089,184.0,20.0,11.0,6.0,,,386.58333333333337,both
3509,Thibaut Courtois,Belgium,Goalkeeper,Goalkeeper,0.5655277075973524,,7,7,2,7.0,284.26666666666665,Thibaut Courtois,Belgium,GK,Goalkeeper,,,,,,0.6512660927988838,4.0,284.26666666666665,both
3517,Aaron Ramsey,Wales,Central/Wide Midfield,Ball-Winner,0.4483490798539495,383.0,56,65,10,,281.3833333333333,Aaron Ramsey,Wales,CM,Ball-Winner,0.1540084468394128,536.0,49.0,59.0,12.0,,,281.3833333333333,both
3530,Hiroki Sakai,Japan,Fullback/Wingback,Attacking Wingback,0.5393179909510315,90.0,27,23,1,,120.98333333333336,Hiroki Sakai,Japan,FB,Attacking Wingback,0.3907302635347339,253.0,42.0,34.0,7.0,,,120.98333333333336,both
3532,Jordan Brian Henderson,England,Central/Wide Midfield,Deep Playmaker,0.4656931259998186,331.0,41,25,14,,280.2333333333333,Jordan Brian Henderson,England,CM,Deep Playmaker,0.4835000479992032,143.0,15.0,3.0,8.0,,,280.2333333333333,both
3533,Xherdan Shaqiri,Switzerland,Central/Wide Midfield,Progressive Winger,0.5047409326287029,200.0,11,56,7,,233.5833333333333,Xherdan Shaqiri,Switzerland,AM,Progressive Winger,0.5804250984880632,76.0,29.0,25.0,2.0,,,233.5833333333333,both
3543,Steve Mandanda,France,Goalkeeper,Goalkeeper,0.5064385397662537,,24,24,10,24.0,102.68333333333334,Steve Mandanda,France,GK,Goalkeeper,,,,,,,,102.68333333333334,both
3551,Karl Brillant Toko Ekambi,Cameroon,Attacking Midfield/Wing,Ball-Winner,0.5550184514930574,59.0,32,5,1,,177.38333333333333,Karl Brillant Toko Ekambi,Cameroon,AM,Ball-Winner,0.4404509678383255,192.0,56.0,9.0,4.0,,,177.38333333333333,both
3557,Naïm Sliti,Tunisia,Attacking Midfield/Wing,Progressive Winger,0.5549496687738819,60.0,33,29,2,,127.16666666666664,Naïm Sliti,Tunisia,AM,Progressive Winger,0.4514108744050829,177.0,52.0,44.0,5.0,,,127.16666666666664,both
3570,Pierre-Emile Højbjerg,Denmark,Central/Wide Midfield,Holding Anchor,0.4108534616558528,496.0,64,56,18,,290.8,Pierre-Emile Højbjerg,Denmark,CM,Holding Anchor,0.3785821955851468,264.0,23.0,17.0,12.0,,,290.8,both
3604,Olivier Giroud,France,Forward,Target Forward / Penalty-Box Anchor,0.5034732791558075,204.0,27,8,12,,432.6166666666666,Olivier Giroud,France,FW,Target Forward / Penalty-Box Anchor,0.7452966071311844,13.0,5.0,2.0,3.0,,,432.6166666666666,both
3616,Callum Wilson,England,Forward,Progressive Winger,0.4983607614416657,219.0,33,60,11,,64.81666666666666,Callum Wilson,England,FW,Progressive Winger,0.4196841767682426,215.0,52.0,50.0,12.0,,,64.81666666666666,both
3621,Eden Hazard,Belgium,Attacking Midfield/Wing,Progressive Winger,0.5187538336168287,158.0,75,52,6,,128.83333333333334,Eden Hazard,Belgium,AM,Progressive Winger,0.2949785097745104,396.0,100.0,67.0,12.0,,,128.83333333333334,both
3625,Sofiane Boufal,Morocco,Central/Wide Midfield,Progressive Winger,0.504230988353628,202.0,12,57,6,,476.6666666666666,Sofiane Boufal,Morocco,AM,Progressive Winger,0.5447197482117153,96.0,35.0,29.0,3.0,,,476.6666666666666,both
3634,Abdelhamid Sabiri,Morocco,Central/Wide Midfield,Holding Anchor,0.4070162966676028,503.0,65,60,17,,194.3333333333333,Abdelhamid Sabiri,Morocco,CM,Holding Anchor,0.3596405234955769,293.0,26.0,20.0,12.0,,,194.3333333333333,both
3637,Grzegorz Krychowiak,Poland,Defensive Midfield,Box-to-Box / Engine Midfielder,0.4264099868365493,451.0,57,17,14,,347.8833333333333,Grzegorz Krychowiak,Poland,DM,Box-to-Box / Engine Midfielder,0.2663829287234396,439.0,69.0,19.0,7.0,,,347.8833333333333,both
3658,DeAndre Yedlin,United States,Fullback/Wingback,Attacking Wingback,0.509123363600735,189.0,66,47,8,,47.55,DeAndre Yedlin,United States,FB,Attacking Wingback,0.301645288492692,388.0,64.0,48.0,15.0,,,47.55,both
3669,Virgil van Dijk,Netherlands,Center Back,Sweeper CB,0.3227305399052761,551.0,105,84,18,,509.51666666666665,Virgil van Dijk,Netherlands,CB,Sweeper CB,0.3232849501193862,352.0,54.0,38.0,14.0,,,509.51666666666665,both
3684,Cheikhou Kouyaté,Senegal,Defensive Midfield,Ball-Winner,0.4016662800261661,516.0,81,78,18,,73.18333333333334,Cheikhou Kouyaté,Senegal,DM,Ball-Winner,0.1866469783528187,520.0,84.0,57.0,16.0,,,73.18333333333334,both
3709,Daniel Amartey,Ghana,Center Back,Sweeper CB,0.3237301525516556,550.0,104,83,17,,301.20000000000005,Daniel Amartey,Ghana,CB,Sweeper CB,0.2788380322594271,423.0,71.0,50.0,11.0,,,301.20000000000005,both
3767,Ellyes Joris Skhiri,Tunisia,Defensive Midfield,Box-to-Box / Engine Midfielder,0.4248849313024052,460.0,61,18,16,,296.56666666666666,Ellyes Joris Skhiri,Tunisia,DM,Box-to-Box / Engine Midfielder,0.3741174451196171,269.0,32.0,15.0,8.0,,,296.56666666666666,both
3815,Kasper Schmeichel,Denmark,Goalkeeper,Goalkeeper,0.56937409318357,,6,6,1,6.0,290.8,Kasper Schmeichel,Denmark,GK,Goalkeeper,,,,,,0.3555137725264194,15.0,290.8,both
3831,Dušan Tadić,Serbia,Attacking Midfield/Wing,Progressive Winger,0.5698589107459828,39.0,21,22,2,,270.93333333333334,Dušan Tadić,Serbia,AM,Progressive Winger,0.568394713056226,81.0,30.0,26.0,2.0,,,270.93333333333334,both
3853,Kieffer Roberto Francisco Moore,Wales,Forward,Target Forward / Penalty-Box Anchor,0.4807267957417798,287.0,53,15,6,,251.71666666666667,Kieffer Roberto Francisco Moore,Wales,FW,Target Forward / Penalty-Box Anchor,0.4696345652352716,162.0,43.0,15.0,2.0,,,251.71666666666667,both
3913,Edimilson Fernandes,Switzerland,Fullback/Wingback,Ball-Winner,0.5139823586650923,173.0,58,24,5,,164.63333333333333,Edimilson Fernandes,Switzerland,FB,Ball-Winner,0.2392087712109152,472.0,85.0,49.0,15.0,,,164.63333333333333,both
3943,Declan Rice,England,Defensive Midfield,Holding Anchor,0.4275003811936145,447.0,54,40,17,,449.55,Declan Rice,England,DM,Holding Anchor,0.3683919594870749,280.0,34.0,19.0,14.0,,,449.55,both
