team,player_id,player,position_group,minutes,final_player_rating,rating_se,rating_ci_low,rating_ci_high,team_rank,mean_rank,p_rank1,p_top3
Argentina,5503,Lionel Andrés Messi Cuccittini,Attacking Midfield/Wing,733.9,0.3297362539418146,0.06084805542995904,0.2110571577250616,0.4524316528777207,1,1.456728364182091,0.629,0.998
Argentina,29560,Julián Álvarez,Forward,485.23333333333335,0.2904569708819181,0.06343350145126879,0.18472840932288537,0.4221399408109755,2,2.2736368184092046,0.1635,0.981
Argentina,2995,Ángel Fabián Di María Hernández,Central/Wide Midfield,304.81666666666666,0.2879459741767765,0.060488499116279335,0.12972870849240356,0.3794486367299891,3,2.394259818731118,0.2045,0.897
Argentina,19597,Marcos Javier Acuña,Fullback/Wingback,397.4833333333333,0.1686827783150666,0.08588425870088498,0.06145381331554901,0.3653361313190356,4,4.769038076152305,0.001,0.0825
Argentina,27886,Alexis Mac Allister,Central/Wide Midfield,552.35,0.1422612750611107,0.020790588351921366,0.09923797813659391,0.18123509313239136,5,4.971457185778668,0.0,0.017
Argentina,5507,Nicolás Alejandro Tagliafico,Fullback/Wingback,393.3333333333333,0.102015405704441,0.038809549538402925,0.04198031417331171,0.18935679334568642,6,6.559679037111334,0.0,0.001
Argentina,7797,Rodrigo Javier De Paul,Defensive Midfield,634.7333333333333,0.0939667030276076,0.022871704945393524,0.05318942408196586,0.14211670897396342,7,7.0215107553776885,0.0,0.0
Argentina,6909,Damián Emiliano Martínez,Goalkeeper,733.9,0.077575130057469,0.06967937677086755,-0.04784554743687508,0.21281929908039118,8,7.843421710855428,0.0015,0.022
Argentina,29201,Nahuel Molina Lucero,Fullback/Wingback,594.0,0.0668486440124347,0.02685838026190628,0.018997485821049997,0.12165542276618853,9,8.302651325662831,0.0,0.0
Argentina,38718,Enzo Fernandez,Defensive Midfield,601.1166666666667,0.0208825196825233,0.015133238083740518,-0.00368833968896995,0.05595879534641906,10,9.75687843921961,0.0,0.0
Argentina,27768,Lisandro Martínez,Center Back,334.91666666666663,-0.0058432306557662,0.021769155198484047,-0.058526189851257314,0.026624209717359466,11,11.401911468812877,0.0,0.0
Argentina,3090,Nicolás Hernán Otamendi,Center Back,733.9,-0.0077710958172504,0.009498516819996555,-0.024422388069422915,0.012269811115984791,12,11.46223111555778,0.0,0.0
Argentina,20572,Cristian Gabriel Romero,Center Back,575.9166666666666,-0.0369251824169405,0.01920539598379365,-0.07799844153678484,-0.005056346942943278,13,12.67383691845923,0.0,0.0
Australia,5481,Mathew Leckie,Central/Wide Midfield,341.6166666666667,0.1367941618920142,0.022973068358070222,0.10201384425877906,0.18476467832870272,1,1.2306517311608962,0.7555,0.982
Australia,5490,Jackson Irvine,Forward,373.75,0.1088174003093569,0.031199176751813953,0.06085259928028808,0.18627090971506532,2,1.9373727087576376,0.2245,0.982
Australia,5479,Aziz Eraltay Behich,Fullback/Wingback,386.9166666666666,0.079340684029996,0.01678586278297365,0.044988888086925125,0.10851940920901418,3,2.8319755600814664,0.002,0.982
Australia,3281,Aaron Mooy,Defensive Midfield,386.9166666666666,0.01212910829005,0.006709636268490722,0.001625812226750823,0.027953188942422,4,4.0,0.0,0.0
Australia,33495,Kye Rowles,Center Back,386.9166666666666,-0.0346118433895098,0.010605613918237463,-0.052782972380048816,-0.011040261616527618,5,5.146639511201629,0.0,0.0
Australia,22293,Harry Souttar,Center Back,386.9166666666666,-0.0547107926713707,0.01910098908741734,-0.09053451898389606,-0.01882411961673137,6,6.180753564154786,0.0,0.0
Australia,3240,Mathew Ryan,Goalkeeper,386.9166666666666,-0.0629996959421744,0.008845585183330035,-0.07898829430901295,-0.043773949171437045,7,6.672606924643585,0.0,0.0
Brazil,3280,Richarlison de Andrade,Forward,328.25,0.298394853505586,0.019264634512146106,0.2532290887010577,0.3272016658136577,1,1.0952623535404993,0.889,0.9815
Brazil,10595,Raphael Dias Belloli,Attacking Midfield/Wing,330.45,0.2419660512575195,0.03499812322522312,0.17680622715002295,0.3097173463797933,2,2.307653575025176,0.076,0.993
Brazil,18395,Vinícius José Paixão de Oliveira Júnior,Central/Wide Midfield,306.58333333333337,0.2295944673639358,0.04148314133305146,0.15274622734233875,0.30901760849658494,3,2.5817626082526743,0.028,0.9815
Brazil,22600,Lucas Tolentino Coelho de Lima,Defensive Midfield,318.76666666666665,0.0589384149700184,0.01993809078890676,0.027932496342630803,0.10243201836506588,4,4.450840550178299,0.0,0.0
