player_id,xd_total,xd_actions,xd_mean_action_threat,xd90,xd90_pct
11456,7.065347222222222,35,0.40649801587301587,2.3292353479853483,0.09876543209876543
5503,25.60607638888889,143,0.3990554584304584,3.1401374506063497,0.16
29560,32.21725694444444,168,0.4011078042328042,5.975585199560348,0.7407407407407407
2995,9.987118055555555,54,0.3958204732510288,2.948790939909235,0.07352941176470588
27886,35.329479166666665,149,0.4521462527964206,5.756591155969946,0.5294117647058824
19597,30.130381944444444,114,0.4695967348927875,6.822259319049017,0.45794392523364486
7006,4.515520833333333,22,0.38456439393939396,3.7851307823657248,0.16176470588235295
28268,6.986736111111111,27,0.48980195473251026,9.283556840551183,0.9705882352941176
5507,30.440034722222222,107,0.4944152388369678,6.965092690677967,0.5046728971962616
7797,39.48197916666667,185,0.4357150900900901,5.5982220223715995,0.16666666666666666
29201,37.405659722222225,139,0.4740582533972822,5.6675242003367,0.24299065420560748
28263,8.925243055555557,31,0.5101590501792115,6.142004906333633,0.32710280373831774
26404,3.9128125000000002,12,0.5503472222222222,6.203519524368762,0.26666666666666666
38718,54.221041666666665,194,0.5307882302405498,8.11804766129703,0.6222222222222222
27768,23.59826388888889,62,0.5670586917562724,6.341409554615577,0.2336448598130841
3090,64.15743055555556,160,0.6098263888888888,7.86778682381796,0.4766355140186916
7161,4.184097222222222,12,0.5188657407407408,5.3833988563259485,0.14018691588785046
20572,54.134618055555556,137,0.62290399432279,8.45975799450152,0.6261682242990654
16308,24.858541666666667,84,0.5492559523809524,9.506134480560867,0.8333333333333334
227697,2.4119444444444444,11,0.4143623737373737,4.3313934153641505,0.4691358024691358
9980,2.945902777777778,16,0.3741319444444444,3.6311059118922624,0.30864197530864196
33492,18.823125,98,0.3793154761904762,6.2221397526934386,0.8148148148148148
33477,18.980868055555558,87,0.406206098339719,6.407244327061325,0.8271604938271605
5490,34.07774305555556,118,0.49942914312617703,8.20601170568562,0.9506172839506173
8346,12.764097222222222,52,0.4323985042735043,4.7528702937525855,0.3235294117647059
5481,27.094583333333336,120,0.42486111111111113,7.1381543640532765,0.7647058823529411
8859,6.207986111111111,31,0.4205533154121864,6.93056129832541,0.7352941176470589
5479,27.035729166666666,80,0.5676041666666667,6.288733038983417,0.35514018691588783
28370,13.084756944444445,42,0.528587962962963,11.733259299236135,0.9345794392523364
33572,8.40236111111111,22,0.6316603535353535,8.990043590251634,0.8037383177570093
15957,21.54684027777778,55,0.6087058080808081,9.579527210604315,0.8504672897196262
3281,33.06979166666667,113,0.5157724926253687,7.692305621365498,0.5444444444444444
33488,14.938055555555556,60,0.4997453703703704,10.040515309932784,0.9333333333333333
33495,31.91,75,0.6704027777777778,7.422528537583461,0.411214953271028
22293,41.154270833333335,90,0.6744212962962963,9.572821990092615,0.822429906542056
3289,2.6810069444444444,12,0.4290509259259259,3.7988552873261616,0.345679012345679
3457,4.449618055555556,27,0.3436085390946502,2.636376728110599,0.13580246913580246
16559,6.262013888888889,28,0.473561507936508,5.009611111111112,0.6049382716049383
5630,2.788923611111111,15,0.3958101851851852,3.1148267838676316,0.15
5633,9.50982638888889,29,0.5362188697318008,7.346646995708156,0.86
3089,10.088472222222222,50,0.40923611111111113,3.194051946529081,0.17
3621,4.794409722222222,21,0.48057208994708994,3.3492642302716686,0.21
5632,9.2221875,44,0.45520833333333327,7.548857435197817,0.9
3176,19.2134375,55,0.5810795454545454,7.955264721668456,0.7009345794392523
6989,19.722083333333334,61,0.5284665300546447,6.244092987804878,0.3364485981308411
48347,6.744027777777778,27,0.509863683127572,5.5320902324168335,0.12222222222222222
2954,8.719444444444445,32,0.4886284722222222,7.623866580310881,0.5333333333333333
5642,23.87138888888889,76,0.5666849415204678,7.557780253283303,0.5
3077,25.1803125,55,0.647594696969697,7.972190871247656,0.5046728971962616
20005,25.164375,53,0.6321344339622641,7.967144992964353,0.4953271028037383
