team,defensive_style,actual_style,optimal_style,possessions,wasted_net_xg,mean_eva_gap
Canada,Wide Retreating Block,Short Under Pressure,Patient Build-up,31,0.06532123957932057,0.002107136760623244
Canada,Compact Pressure Block,Short Under Pressure,Patient Build-up,28,0.05899982929745083,0.002107136760623244
Canada,Wide Retreating Block,Direct Long Play,Patient Build-up,7,0.058115059160973565,0.00830215130871051
Canada,High-Intensity Press,Short Under Pressure,Patient Build-up,20,0.04214273521246488,0.002107136760623244
Canada,Compact Pressure Block,Direct Long Play,Patient Build-up,4,0.033208605234842044,0.008302151308710511
Canada,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,4,0.033208605234842044,0.008302151308710511
Canada,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,7,0.014749957324362708,0.002107136760623244
Canada,High-Intensity Press,Direct Long Play,Patient Build-up,1,0.00830215130871051,0.00830215130871051
Canada,Compact Pressure Block,Patient Build-up,Patient Build-up,40,0.0,0.0
Canada,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,3,0.0,0.0
Canada,Wide Retreating Block,Patient Build-up,Patient Build-up,95,0.0,0.0
Costa Rica,Compact Pressure Block,Short Under Pressure,Patient Build-up,34,0.3187300167832296,0.009374412258330283
Costa Rica,Wide Retreating Block,Short Under Pressure,Patient Build-up,23,0.2156114819415965,0.009374412258330283
Costa Rica,High-Intensity Press,Short Under Pressure,Patient Build-up,21,0.19686265742493592,0.009374412258330281
Costa Rica,Compact Pressure Block,Direct Long Play,Patient Build-up,12,0.06986437840801696,0.0058220315340014135
Costa Rica,Wide Retreating Block,Direct Long Play,Patient Build-up,9,0.05239828380601272,0.0058220315340014135
Costa Rica,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,6,0.034932189204008486,0.005822031534001414
Costa Rica,High-Intensity Press,Direct Long Play,Patient Build-up,5,0.02911015767000707,0.0058220315340014135
Costa Rica,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,1,0.009374412258330281,0.009374412258330281
Costa Rica,Compact Pressure Block,Patient Build-up,Patient Build-up,23,0.0,0.0
Costa Rica,High-Intensity Press,Patient Build-up,Patient Build-up,1,0.0,0.0
Costa Rica,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,1,0.0,0.0
Costa Rica,Wide Retreating Block,Patient Build-up,Patient Build-up,58,0.0,0.0
Croatia,Wide Retreating Block,Short Under Pressure,Patient Build-up,72,0.47528658312464905,0.0066012025433979035
Croatia,Compact Pressure Block,Short Under Pressure,Patient Build-up,71,0.46868538058125114,0.0066012025433979035
Croatia,High-Intensity Press,Short Under Pressure,Patient Build-up,47,0.31025651953970146,0.0066012025433979035
