team,defensive_style,actual_style,optimal_style,possessions,wasted_net_xg,mean_eva_gap
Argentina,Wide Retreating Block,Short Under Pressure,Patient Build-up,80,0.9989519039627017,0.012486898799533772
Argentina,Compact Pressure Block,Short Under Pressure,Patient Build-up,64,0.7842130700516888,0.012253329219557638
Argentina,High-Intensity Press,Short Under Pressure,Patient Build-up,34,0.42724800094383536,0.012566117674818687
Argentina,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,20,0.257415040102873,0.012870752005143652
Argentina,Wide Retreating Block,Direct Long Play,Patient Build-up,18,0.23586215134129732,0.013103452852294296
Argentina,Compact Pressure Block,Direct Long Play,Patient Build-up,11,0.14988875275638466,0.013626250250580424
Argentina,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,5,0.06845388959957246,0.013690777919914493
Argentina,High-Intensity Press,Direct Long Play,Patient Build-up,4,0.05856824681586823,0.014642061703967058
Argentina,Compact Pressure Block,Patient Build-up,No meaningful change,72,0.0,0.0
Argentina,High-Intensity Press,Patient Build-up,No meaningful change,3,0.0,0.0
Argentina,Set-Piece Compact Shape,Patient Build-up,No meaningful change,6,0.0,0.0
Argentina,Wide Retreating Block,Patient Build-up,No meaningful change,249,0.0,0.0
Australia,Compact Pressure Block,Short Under Pressure,Patient Build-up,37,0.21828603318414874,0.005899622518490507
Australia,Wide Retreating Block,Short Under Pressure,Patient Build-up,29,0.17073442654133353,0.005887394018666673
Australia,High-Intensity Press,Short Under Pressure,Patient Build-up,20,0.11765335494999829,0.005882667747499915
Australia,Wide Retreating Block,Direct Long Play,Patient Build-up,18,0.10539937554047434,0.005855520863359685
Australia,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,15,0.08928597345699231,0.005952398230466154
Australia,Compact Pressure Block,Direct Long Play,Patient Build-up,13,0.07637834051141079,0.005875256962416215
Australia,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,12,0.07366883949478144,0.006139069957898453
Australia,Compact Pressure Block,Patient Build-up,No meaningful change,32,0.0,0.0
Australia,High-Intensity Press,Patient Build-up,No meaningful change,1,0.0,0.0
Australia,Set-Piece Compact Shape,Patient Build-up,No meaningful change,3,0.0,0.0
Australia,Wide Retreating Block,Patient Build-up,No meaningful change,87,0.0,0.0
Belgium,Compact Pressure Block,Short Under Pressure,Patient Build-up,15,0.1954841365934835,0.013032275772898899
Belgium,Wide Retreating Block,Direct Long Play,Patient Build-up,12,0.18962217250946273,0.015801847709121894
Belgium,Wide Retreating Block,Short Under Pressure,Patient Build-up,12,0.14433371769611444,0.012027809808009536
Belgium,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,9,0.12331727774542627,0.013701919749491807
Belgium,High-Intensity Press,Short Under Pressure,Patient Build-up,9,0.11327261809653265,0.012585846455170295
Belgium,Compact Pressure Block,Direct Long Play,Patient Build-up,3,0.042709711006018544,0.014236570335339515
Belgium,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,1,0.014236570335339514,0.014236570335339514
Belgium,Compact Pressure Block,Direct Long Play,No meaningful change,1,0.0,0.0
Belgium,Compact Pressure Block,Patient Build-up,No meaningful change,15,0.0,0.0
Belgium,Compact Pressure Block,Short Under Pressure,No meaningful change,8,0.0,0.0
Belgium,High-Intensity Press,Short Under Pressure,No meaningful change,3,0.0,0.0
Belgium,Set-Piece Compact Shape,Direct Long Play,No meaningful change,1,0.0,0.0
Belgium,Set-Piece Compact Shape,Patient Build-up,No meaningful change,3,0.0,0.0
Belgium,Set-Piece Compact Shape,Short Under Pressure,No meaningful change,1,0.0,0.0
Belgium,Wide Retreating Block,Direct Long Play,No meaningful change,2,0.0,0.0
Belgium,Wide Retreating Block,Patient Build-up,No meaningful change,119,0.0,0.0
Belgium,Wide Retreating Block,Short Under Pressure,No meaningful change,8,0.0,0.0
Brazil,Compact Pressure Block,Short Under Pressure,Patient Build-up,43,0.47082338226193876,0.010949380982835785
Brazil,Wide Retreating Block,Short Under Pressure,Patient Build-up,43,0.46542417066909864,0.010823817922537178
Brazil,High-Intensity Press,Short Under Pressure,Patient Build-up,35,0.3857373204890754,0.011021066299687868
Brazil,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,16,0.16587083477420486,0.010366927173387804
Brazil,Wide Retreating Block,Direct Long Play,Patient Build-up,10,0.12067555316221527,0.012067555316221527
Brazil,Compact Pressure Block,Direct Long Play,Patient Build-up,8,0.09725098278717809,0.01215637284839726
Brazil,High-Intensity Press,Direct Long Play,Patient Build-up,2,0.023655071912419993,0.011827535956209997
Brazil,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,1,0.01670159953306639,0.01670159953306639
Brazil,Compact Pressure Block,Patient Build-up,No meaningful change,80,0.0,0.0
Brazil,High-Intensity Press,Patient Build-up,No meaningful change,2,0.0,0.0
Brazil,Set-Piece Compact Shape,Patient Build-up,No meaningful change,5,0.0,0.0
Brazil,Wide Retreating Block,Patient Build-up,No meaningful change,174,0.0,0.0
Cameroon,Compact Pressure Block,Direct Long Play,Patient Build-up,5,0.03641174246682177,0.007282348493364355
Cameroon,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,2,0.01456469698672871,0.007282348493364355
Cameroon,Compact Pressure Block,Direct Long Play,No meaningful change,3,0.0,0.0
Cameroon,Compact Pressure Block,Patient Build-up,No meaningful change,45,0.0,0.0
Cameroon,Compact Pressure Block,Short Under Pressure,No meaningful change,27,0.0,0.0
Cameroon,High-Intensity Press,Direct Long Play,No meaningful change,1,0.0,0.0
Cameroon,High-Intensity Press,Short Under Pressure,No meaningful change,18,0.0,0.0
Cameroon,Set-Piece Compact Shape,Direct Long Play,No meaningful change,4,0.0,0.0
Cameroon,Set-Piece Compact Shape,Patient Build-up,No meaningful change,3,0.0,0.0
Cameroon,Set-Piece Compact Shape,Short Under Pressure,No meaningful change,7,0.0,0.0
Cameroon,Wide Retreating Block,Direct Long Play,No meaningful change,15,0.0,0.0
Cameroon,Wide Retreating Block,Patient Build-up,No meaningful change,65,0.0,0.0
Cameroon,Wide Retreating Block,Short Under Pressure,No meaningful change,22,0.0,0.0
Canada,Compact Pressure Block,Short Under Pressure,Patient Build-up,10,0.08552843208071345,0.008552843208071346
Canada,Wide Retreating Block,Short Under Pressure,Patient Build-up,7,0.059869902456499424,0.008552843208071346
Canada,High-Intensity Press,Short Under Pressure,Patient Build-up,6,0.051317059248428075,0.008552843208071346
Canada,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,4,0.037624327603297425,0.009406081900824356
Canada,Compact Pressure Block,Direct Long Play,Patient Build-up,4,0.03707702381114118,0.009269255952785296
Canada,Wide Retreating Block,Direct Long Play,Patient Build-up,3,0.02808141975443401,0.009360473251478004
Canada,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,1,0.008552843208071346,0.008552843208071346
Canada,Compact Pressure Block,Patient Build-up,No meaningful change,40,0.0,0.0
Canada,Compact Pressure Block,Short Under Pressure,No meaningful change,18,0.0,0.0
Canada,High-Intensity Press,Direct Long Play,No meaningful change,1,0.0,0.0
Canada,High-Intensity Press,Short Under Pressure,No meaningful change,14,0.0,0.0
Canada,Set-Piece Compact Shape,Patient Build-up,No meaningful change,3,0.0,0.0
Canada,Set-Piece Compact Shape,Short Under Pressure,No meaningful change,6,0.0,0.0
Canada,Wide Retreating Block,Direct Long Play,No meaningful change,4,0.0,0.0
Canada,Wide Retreating Block,Patient Build-up,No meaningful change,95,0.0,0.0
Canada,Wide Retreating Block,Short Under Pressure,No meaningful change,24,0.0,0.0
Costa Rica,Compact Pressure Block,Short Under Pressure,Patient Build-up,17,0.14921516554759212,0.008777362679270125
Costa Rica,Wide Retreating Block,Short Under Pressure,Patient Build-up,16,0.14557034651437298,0.009098146657148311
Costa Rica,High-Intensity Press,Short Under Pressure,Patient Build-up,14,0.12764006918173143,0.009117147798695102
Costa Rica,Wide Retreating Block,Direct Long Play,Patient Build-up,7,0.05990429866979018,0.00855775695282717
Costa Rica,Compact Pressure Block,Direct Long Play,Patient Build-up,7,0.05794982262773153,0.008278546089675933
Costa Rica,High-Intensity Press,Direct Long Play,Patient Build-up,5,0.04488286623777011,0.008976573247554022
Costa Rica,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,3,0.025952481721632743,0.008650827240544248
Costa Rica,Compact Pressure Block,Direct Long Play,No meaningful change,5,0.0,0.0
Costa Rica,Compact Pressure Block,Patient Build-up,No meaningful change,23,0.0,0.0
Costa Rica,Compact Pressure Block,Short Under Pressure,No meaningful change,17,0.0,0.0
Costa Rica,High-Intensity Press,Patient Build-up,No meaningful change,1,0.0,0.0
Costa Rica,High-Intensity Press,Short Under Pressure,No meaningful change,7,0.0,0.0
Costa Rica,Set-Piece Compact Shape,Direct Long Play,No meaningful change,3,0.0,0.0
Costa Rica,Set-Piece Compact Shape,Patient Build-up,No meaningful change,1,0.0,0.0
Costa Rica,Set-Piece Compact Shape,Short Under Pressure,No meaningful change,1,0.0,0.0
Costa Rica,Wide Retreating Block,Direct Long Play,No meaningful change,2,0.0,0.0
Costa Rica,Wide Retreating Block,Patient Build-up,No meaningful change,58,0.0,0.0
Costa Rica,Wide Retreating Block,Short Under Pressure,No meaningful change,7,0.0,0.0
Croatia,Compact Pressure Block,Short Under Pressure,Patient Build-up,34,0.2061283168626758,0.006062597554784582
Croatia,Wide Retreating Block,Short Under Pressure,Patient Build-up,34,0.20555810595328178,0.006045826645684758
Croatia,High-Intensity Press,Short Under Pressure,Patient Build-up,25,0.14698809917417885,0.005879523966967154
Croatia,Compact Pressure Block,Direct Long Play,Patient Build-up,16,0.11518099949963831,0.007198812468727394
Croatia,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,13,0.09624465415926717,0.007403434935328244
Croatia,Wide Retreating Block,Direct Long Play,Patient Build-up,12,0.08702375634780314,0.007251979695650262
Croatia,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,14,0.08519312803306296,0.006085223430933069
Croatia,High-Intensity Press,Direct Long Play,Patient Build-up,5,0.03334199436265401,0.006668398872530802
Croatia,Compact Pressure Block,Direct Long Play,No meaningful change,2,0.0,0.0
Croatia,Compact Pressure Block,Patient Build-up,No meaningful change,117,0.0,0.0
Croatia,Compact Pressure Block,Short Under Pressure,No meaningful change,37,0.0,0.0
Croatia,High-Intensity Press,Short Under Pressure,No meaningful change,22,0.0,0.0
Croatia,Set-Piece Compact Shape,Direct Long Play,No meaningful change,4,0.0,0.0
Croatia,Set-Piece Compact Shape,Patient Build-up,No meaningful change,6,0.0,0.0
Croatia,Set-Piece Compact Shape,Short Under Pressure,No meaningful change,14,0.0,0.0
Croatia,Wide Retreating Block,Direct Long Play,No meaningful change,1,0.0,0.0
Croatia,Wide Retreating Block,Patient Build-up,No meaningful change,229,0.0,0.0
Croatia,Wide Retreating Block,Short Under Pressure,No meaningful change,38,0.0,0.0
Denmark,Compact Pressure Block,Short Under Pressure,Patient Build-up,37,0.24721111824790387,0.006681381574267673
Denmark,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,18,0.1202648683368181,0.006681381574267672
Denmark,Wide Retreating Block,Short Under Pressure,Patient Build-up,17,0.11358348676255042,0.006681381574267672
Denmark,Compact Pressure Block,Direct Long Play,Patient Build-up,9,0.0778124463976008,0.008645827377511201
Denmark,High-Intensity Press,Short Under Pressure,Patient Build-up,8,0.05345105259414138,0.006681381574267673
Denmark,Wide Retreating Block,Direct Long Play,Patient Build-up,6,0.05187496426506721,0.008645827377511201
Denmark,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,3,0.025937482132533603,0.008645827377511201
Denmark,Compact Pressure Block,Patient Build-up,No meaningful change,55,0.0,0.0
Denmark,High-Intensity Press,Patient Build-up,No meaningful change,1,0.0,0.0
Denmark,Set-Piece Compact Shape,Patient Build-up,No meaningful change,5,0.0,0.0
Denmark,Wide Retreating Block,Patient Build-up,No meaningful change,85,0.0,0.0
Ecuador,Compact Pressure Block,Patient Build-up,Short Under Pressure,22,0.15441611249993062,0.007018914204542301
Ecuador,Compact Pressure Block,Direct Long Play,Short Under Pressure,14,0.135611027662719,0.009686501975908502
Ecuador,Wide Retreating Block,Patient Build-up,Short Under Pressure,19,0.1333593698863037,0.0070189142045423
Ecuador,Set-Piece Compact Shape,Direct Long Play,Short Under Pressure,10,0.07946992260350166,0.007946992260350167
Ecuador,High-Intensity Press,Direct Long Play,Short Under Pressure,3,0.027674891553887825,0.009224963851295941
Ecuador,Wide Retreating Block,Direct Long Play,Short Under Pressure,2,0.01957463385325248,0.00978731692662624
Ecuador,Set-Piece Compact Shape,Patient Build-up,Short Under Pressure,1,0.007018914204542301,0.007018914204542301
Ecuador,Compact Pressure Block,Patient Build-up,No meaningful change,27,0.0,0.0
Ecuador,Compact Pressure Block,Short Under Pressure,No meaningful change,37,0.0,0.0
Ecuador,High-Intensity Press,Short Under Pressure,No meaningful change,10,0.0,0.0
Ecuador,Set-Piece Compact Shape,Patient Build-up,No meaningful change,3,0.0,0.0
Ecuador,Set-Piece Compact Shape,Short Under Pressure,No meaningful change,13,0.0,0.0
Ecuador,Wide Retreating Block,Patient Build-up,No meaningful change,44,0.0,0.0
Ecuador,Wide Retreating Block,Short Under Pressure,No meaningful change,14,0.0,0.0
England,Wide Retreating Block,Short Under Pressure,Patient Build-up,36,0.29884799934753353,0.008301333315209264
England,Compact Pressure Block,Short Under Pressure,Patient Build-up,36,0.28307720642288114,0.00786325573396892
England,High-Intensity Press,Short Under Pressure,Patient Build-up,21,0.1793571685974504,0.008540817552259543
England,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,21,0.16910424046429134,0.008052582879251969
England,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,7,0.0501585716910415,0.007165510241577357
England,Compact Pressure Block,Direct Long Play,Patient Build-up,6,0.03985611167322095,0.0066426852788701585
England,Wide Retreating Block,Direct Long Play,Patient Build-up,2,0.013687994730481205,0.006843997365240603
England,High-Intensity Press,Direct Long Play,Patient Build-up,1,0.0063500646049739345,0.0063500646049739345
England,Compact Pressure Block,Direct Long Play,No meaningful change,3,0.0,0.0
England,Compact Pressure Block,Patient Build-up,No meaningful change,80,0.0,0.0
England,High-Intensity Press,Patient Build-up,No meaningful change,3,0.0,0.0
England,Set-Piece Compact Shape,Direct Long Play,No meaningful change,2,0.0,0.0
England,Set-Piece Compact Shape,Patient Build-up,No meaningful change,1,0.0,0.0
England,Wide Retreating Block,Direct Long Play,No meaningful change,2,0.0,0.0
England,Wide Retreating Block,Patient Build-up,No meaningful change,140,0.0,0.0
France,Wide Retreating Block,Short Under Pressure,Patient Build-up,53,0.36249484119329484,0.006839525305533865
