team,possessions,total_wasted_net_xg,mean_eva_gap,actual_expected_net_xg,optimal_expected_net_xg,most_common_optimal_style,tactical_reason_code
Argentina,566,2.9806010555742217,0.005266079603488024,8.456931110344417,11.43753216591864,No meaningful change,GAIN_BELOW_THRESHOLD
Australia,267,0.8514063436791395,0.003188787804041721,1.7487593627579368,2.600165706437076,Patient Build-up,SUPPORTED_CHANGE
Belgium,222,0.8229762039823777,0.0037071000179386385,2.687425606721563,3.5104018107039408,No meaningful change,GAIN_BELOW_THRESHOLD
Brazil,419,1.7461389155891973,0.004167395979926485,7.023984414192317,8.770123329781514,No meaningful change,GAIN_BELOW_THRESHOLD
Cameroon,217,0.05097643945355048,0.0002349144675278824,1.9279035039062917,1.9788799433598423,No meaningful change,GAIN_BELOW_THRESHOLD
Canada,240,0.3080510081625849,0.0012835458673441037,2.8585595983477705,3.166610606510355,No meaningful change,GAIN_BELOW_THRESHOLD
Costa Rica,194,0.6111150505006211,0.0031500775799001087,1.587613330326847,2.198728380827468,No meaningful change,GAIN_BELOW_THRESHOLD
Croatia,623,0.9756590543925621,0.0015660658979013838,6.350065289084264,7.325724343476826,No meaningful change,GAIN_BELOW_THRESHOLD
Denmark,244,0.6901354187366153,0.0028284238472812105,2.6198710351343633,3.3100064538709786,No meaningful change,GAIN_BELOW_THRESHOLD
Ecuador,219,0.5571248722641376,0.0025439491884207198,2.5108432628067887,3.0679681350709265,No meaningful change,GAIN_BELOW_THRESHOLD
England,361,1.040439357531874,0.002882103483467795,4.775655357283542,5.816094714815415,No meaningful change,GAIN_BELOW_THRESHOLD
France,530,1.646751793939321,0.003107078856489285,7.612144763750151,9.258896557689472,No meaningful change,GAIN_BELOW_THRESHOLD
Germany,246,1.411135669390862,0.005736323859312447,4.820970606204223,6.2321062755950845,No meaningful change,GAIN_BELOW_THRESHOLD
Ghana,226,1.2133252959495957,0.005368695999776972,2.2693005917584412,3.482625887708037,Patient Build-up,SUPPORTED_CHANGE
Iran,195,0.6927695296804249,0.0035526642547714098,1.9025693024090535,2.5953388320894786,No meaningful change,GAIN_BELOW_THRESHOLD
Japan,276,1.5030736987481923,0.005445919198363016,3.115470652411013,4.618544351159206,No meaningful change,GAIN_BELOW_THRESHOLD
Mexico,238,0.20853485378369485,0.0008761968646373733,1.928369039060682,2.136903892844377,No meaningful change,GAIN_BELOW_THRESHOLD
Morocco,476,1.4813898915629817,0.0031121636377373567,4.343561889922263,5.824951781485245,No meaningful change,GAIN_BELOW_THRESHOLD
Netherlands,371,0.9238966373741383,0.0024902874322753053,4.458201441356666,5.382098078730804,No meaningful change,GAIN_BELOW_THRESHOLD
Poland,279,1.1530464253779815,0.004132782886659432,2.569299991634621,3.7223464170126026,Patient Build-up,SUPPORTED_CHANGE
Portugal,408,0.7544355353491049,0.0018491067042870218,4.7169515571397636,5.471387092488868,No meaningful change,GAIN_BELOW_THRESHOLD
Qatar,231,0.4901393605983139,0.0021218154138455147,1.8034368998525756,2.2935762604508896,No meaningful change,GAIN_BELOW_THRESHOLD
Saudi Arabia,209,0.32058099104362503,0.0015338803399216508,2.088002458499376,2.408583449543001,No meaningful change,GAIN_BELOW_THRESHOLD
Senegal,288,1.2353976474232011,0.004289575164663893,2.7668814394764456,4.002279086899647,No meaningful change,GAIN_BELOW_THRESHOLD
Serbia,229,0.8066274809050185,0.003522390746310124,2.3125356848186795,3.1191631657236982,No meaningful change,GAIN_BELOW_THRESHOLD
South Korea,268,0.3593182939099778,0.001340739902649171,2.951293585027499,3.3106118789374768,No meaningful change,GAIN_BELOW_THRESHOLD
Spain,350,0.8423571103855599,0.0024067346011015997,4.280276347500656,5.1226334578862165,No meaningful change,GAIN_BELOW_THRESHOLD
Switzerland,300,0.10793468490718046,0.00035978228302393486,2.831794501745071,2.9397291866522517,No meaningful change,GAIN_BELOW_THRESHOLD
Tunisia,248,0.1552091879326548,0.0006258434997284468,2.695657969322495,2.85086715725515,No meaningful change,GAIN_BELOW_THRESHOLD
United States,300,0.33044524879777476,0.0011014841626592491,3.576996803644022,3.9074420524417968,No meaningful change,GAIN_BELOW_THRESHOLD
Uruguay,216,1.1943162077974767,0.005529241702766096,2.6530778556017895,3.8473940633992663,No meaningful change,GAIN_BELOW_THRESHOLD
Wales,229,0.41938540240587396,0.001831377303082419,1.9491193546324597,2.368504757038334,No meaningful change,GAIN_BELOW_THRESHOLD
