player_name,team,position,minutes,vaep_off_p90,vaep_def_p90,vaep_per_touch,xt_p90,final_player_rating,team_rank
Lionel Andrés Messi Cuccittini,Argentina,Right Wing,733.9,0.6499111807140301,0.044227444189808604,0.004158938173050267,0.15793481640093088,0.3297362539418146,1
Julián Álvarez,Argentina,Center Forward,485.23333333333335,0.6055032692465266,0.03063559440941403,0.0074884954215102125,0.03230974340852805,0.29045697088191813,2
Ángel Fabián Di María Hernández,Argentina,Right Midfield,304.81666666666666,0.7665981997711508,0.01932430578235904,0.0044661125727281075,0.19965957254972846,0.2879459741767765,3
Marcos Javier Acuña,Argentina,Left Back,397.4833333333333,0.43897635234139626,0.007404573051961798,0.003318910927081368,0.06819064072691357,0.16868277831506662,4
Alexis Mac Allister,Argentina,Left Center Midfield,552.35,0.2798759391356003,0.003949410264719015,0.002030185596234996,0.006711792170881546,0.1422612750611107,5
Nicolás Alejandro Tagliafico,Argentina,Left Back,393.3333333333333,0.2088796835758608,0.02345379624923719,0.002241464362632782,0.020996087494967296,0.10201540570444101,6
Rodrigo Javier De Paul,Argentina,Right Defensive Midfield,634.7333333333333,0.21089573301289358,0.015938871193369928,0.0010011089170017314,0.05239150716470424,0.09396670302760762,7
Damián Emiliano Martínez,Argentina,Goalkeeper,733.9,0.03264518295777634,0.22385072878246312,0.005652923412197049,0.002468560337278274,0.07757513005746909,8
Nahuel Molina Lucero,Argentina,Right Wing Back,594.0,0.16265461666603875,-0.04859530829641947,0.0008392323692747907,0.022014113704152027,0.06684864401243477,9
Enzo Fernandez,Argentina,Center Defensive Midfield,601.1166666666667,0.07152562933958778,-0.06277058772814417,4.463784079727688e-05,0.05968581042778495,0.020882519682523387,10
Lisandro Martínez,Argentina,Left Center Back,334.91666666666663,0.02585549907874755,-0.03848908463693205,-0.0001181239074035536,0.013626212102083502,-0.0058432306557662465,11
Nicolás Hernán Otamendi,Argentina,Left Center Back,733.9,0.027119170925815367,-0.043750149392311775,-9.120133823927156e-05,0.003975387233273542,-0.007771095817250447,12
Cristian Gabriel Romero,Argentina,Right Center Back,575.9166666666666,0.017588850711341617,-0.12298728759781445,-0.0007040212995074748,0.005416050583579096,-0.03692518241694056,13
Mathew Leckie,Australia,Right Midfield,341.6166666666667,0.23209745535508552,0.02714039158772052,0.0024785885571353182,0.021110549476766546,0.1367941618920142,1
