player_name,team,position,minutes,vaep_off_p90,vaep_def_p90,vaep_per_touch,xt_p90,final_player_rating,team_rank
Lionel Andrés Messi Cuccittini,Argentina,Right Wing,733.9,1.599210203641965,0.07528821024024715,0.010032773172897016,0.13159967192838373,0.866578973278652,1
Julián Álvarez,Argentina,Center Forward,485.23333333333335,1.093570309874275,0.08188646427020975,0.013837234563497709,0.04075161989259861,0.6000298814198114,2
Ángel Fabián Di María Hernández,Argentina,Right Midfield,304.81666666666666,0.8505156470527835,0.07300638922743927,0.005248040803358499,0.19133564509578968,0.5016025594002769,3
Damián Emiliano Martínez,Argentina,Goalkeeper,733.9,0.002149512007608421,0.5894939862064619,0.013039254154333518,0.0008793753903279126,0.2999094004314008,4
Enzo Fernandez,Argentina,Center Defensive Midfield,601.1166666666667,0.2853059985290854,-0.06502751019556807,0.0011230964431333007,0.045296692436269076,0.11953551158695247,5
Alexis Mac Allister,Argentina,Left Center Midfield,552.35,0.2051457519375718,0.01985708353731579,0.0016094317038921804,0.0058739785199297045,0.1141590429525974,6
Nahuel Molina Lucero,Argentina,Right Wing Back,594.0,0.2136086534874542,-0.02127301186026836,0.0014151786340461834,0.01910671241084512,0.10041371688597579,7
Rodrigo Javier De Paul,Argentina,Right Defensive Midfield,634.7333333333333,0.10832105594964207,0.03439477727678734,0.0006298602179339148,0.049254669531176125,0.08139780858483012,8
Nicolás Alejandro Tagliafico,Argentina,Left Back,393.3333333333333,0.12515480723552666,0.02394067925392153,0.0014384161070848571,0.017957698366856165,0.0785708077502208,9
Marcos Javier Acuña,Argentina,Left Back,397.4833333333333,0.07003747762876829,-0.01491686633295111,0.00040983023406719783,0.055668876214612514,0.038817029961051255,10
Lisandro Martínez,Argentina,Left Center Back,334.91666666666663,0.045156637366567276,-0.012466555008718953,0.00030565196583889914,0.009482325885394832,0.018333201945754798,11
Nicolás Hernán Otamendi,Argentina,Left Center Back,733.9,0.03809775309770752,-0.16912847891869842,-0.0007185492765450588,0.0009127845214428254,-0.0655483707891704,12
Cristian Gabriel Romero,Argentina,Right Center Back,575.9166666666666,-0.004620822608086044,-0.15886118319776998,-0.0010919973537890193,0.0025994271589223866,-0.08154871667728024,13
Mathew Leckie,Australia,Right Midfield,341.6166666666667,0.4058523824399127,-0.010179533277746714,0.003783051772216119,0.015356836118643826,0.2020427073364766,1
Jackson Irvine,Australia,Left Center Forward,373.75,0.3812919959735848,-0.04324705428584015,0.00417805214800908,0.020227461168720498,0.17432137872201914,2
