path,folder,filename,extension,bytes,format_details,structure,information
diagnostics/v2_goalkeeper_ranking.csv,diagnostics,v2_goalkeeper_ranking.csv,.csv,127115,32 data rows × 398 columns,"Columns: player_name, team, position_group, functional_role, final_player_rating, global_rank, position_rank, role_rank, team_rank, RankingStatus, GKRankingStatus, primary_global_rank, primary_goalkeeper_rank, tournament, minutes_played, position_group_360, functional_role_original, final_player_rating_v2, global_rank_v2, position_rank_v2, role_rank_v2, team_rank_v2, gk_rating_v2, gk_rank_v2, is_main_goalkeeper, player_id, actions, aerial_events, aerial_wins, average_x, average_y, blocks, box_passes, carries, carry_progression_sum, clearances, completed_passes, counterpressures, crosses, dribbled_past, dribbles, duels, duels_won, final_third_passes, fouls, goals, interceptions, interceptions_won, key_passes, minutes, pass_progression_sum, passes, pressures, progressive_carries, progressive_passes, recoveries, shots, successful_dribbles, successful_under_pressure_actions, switches, through_balls, turnovers, under_pressure_actions, xg_sum, player, position, aerial_dominance_index, pressing_intensity_index, speed_recovery_index, shots_p90, progressive_carries_p90, dribbles_p90, clearances_p90, progressive_passes_p90, key_passes_p90, crosses_p90, interceptions_p90, turnovers_p90, xg_p90, duel_win_rate, pass_completion, aerial_dominance_index_percentile, pressing_intensity_index_percentile, speed_recovery_index_percentile, vaep_total, vaep_offense, vaep_defense, total_touches, xt_total, xa_sum, events_with_360_context, role_has_360_rate, mean_defenders_within_3, mean_defenders_within_5, mean_nearest_defender_distance, mean_defensive_density, mean_defenders_behind_ball, vaep_off_p90, vaep_def_p90, vaep_total_p90, vaep_per_touch, xt_p90, xa_p90, raw_final_player_rating, rating_minutes_reliability, player_evaluation_score, pass_start_x, pass_start_y, line_breaking_pass_rate, pressure_state_rate, distribution_under_pressure, pass_receipt_x, pass_receipt_y, playstyle_cluster, spatial_point_count, final_third_share, Functional role, completeness_score, kmeans_functional_role, role_refinement_applied, role_refinement_reason, pressures_p90, counterpressures_p90, recoveries_p90, post_pressure_recoveries_p90, blocks_p90, aerial_wins_p90, aerial_events_p90, goals_p90, box_passes_p90, tackles_p90, progressive_receptions_p90, dangerous_zone_receptions_p90, pressure_resistance, role_off_scaled, role_def_scaled, role_adjusted_value, role_off_weight, role_def_weight, role_weight_source, legacy_raw_final_player_rating, legacy_final_player_rating, legacy_team_rank, vaep_off_scaled, vaep_def_scaled, vaep_component, vaep_90_missing, vaep_per_touch_missing, xt_90_missing, role_adjusted_value_missing, completeness_score_missing, off_ball_score_missing, global_rank_eligible, post_shot_xg_proxy, goal_allowed, shot_on_target_faced, penalty_faced, high_leverage_shots_on_target, high_leverage_saves, penalties_faced, penalties_saved, cross_opportunities, claims, sweeper_actions, pressured_passes, completed_pressured_passes, goals_prevented_proxy, goals_prevented_proxy_p90, save_rate, high_leverage_save_pct, claims_p90, cross_stopping_rate, sweeper_actions_p90, penalty_save_rate_shrunk, goalkeeper_raw_rating, goalkeeper_feature_coverage, goalkeeper_rating_reliability, goalkeeper_rank, open_play_xt_p90, set_piece_xt_p90, progressive_receptions, dangerous_zone_receptions, pressure_events, forced_rushed_actions, post_pressure_recoveries, forced_rushed_action_rate, occupancy_entropy, convex_hull_area, average_spatial_x, average_spatial_y, final_third_occupancy, zone14_share, half_space_share, wide_corridor_share, spatial_observation_count, kde_00_00, kde_00_01, kde_00_02, kde_00_03, kde_00_04, kde_00_05, kde_00_06, kde_00_07, kde_01_00, kde_01_01, kde_01_02, kde_01_03, kde_01_04, kde_01_05, kde_01_06, kde_01_07, kde_02_00, kde_02_01, kde_02_02, kde_02_03, kde_02_04, kde_02_05, kde_02_06, kde_02_07, kde_03_00, kde_03_01, kde_03_02, kde_03_03, kde_03_04, kde_03_05, kde_03_06, kde_03_07, kde_04_00, kde_04_01, kde_04_02, kde_04_03, kde_04_04, kde_04_05, kde_04_06, kde_04_07, kde_05_00, kde_05_01, kde_05_02, kde_05_03, kde_05_04, kde_05_05, kde_05_06, kde_05_07, kde_06_00, kde_06_01, kde_06_02, kde_06_03, kde_06_04, kde_06_05, kde_06_06, kde_06_07, kde_07_00, kde_07_01, kde_07_02, kde_07_03, kde_07_04, kde_07_05, kde_07_06, kde_07_07, kde_08_00, kde_08_01, kde_08_02, kde_08_03, kde_08_04, kde_08_05, kde_08_06, kde_08_07, kde_09_00, kde_09_01, kde_09_02, kde_09_03, kde_09_04, kde_09_05, kde_09_06, kde_09_07, kde_10_00, kde_10_01, kde_10_02, kde_10_03, kde_10_04, kde_10_05, kde_10_06, kde_10_07, kde_11_00, kde_11_01, kde_11_02, kde_11_03, kde_11_04, kde_11_05, kde_11_06, kde_11_07, network_pagerank, network_betweenness, network_eigenvector, network_closeness, network_entropy, network_completed_passes_per_match, network_matches, build_up_involvement_ratio, build_up_eligible_possessions, xd_total, xd_actions, xd_mean_action_threat, xd90, xd90_pct, sb360_coverage, sb360_observations, mean_defenders_within_3m, mean_defenders_within_5m, mean_nearest_defender_m, mean_passing_lane_availability, packing_index_mean, mean_space_received, actor_shape_deviation_m, movement_into_available_space_rate, shape_maintenance_score, defensive_positioning_score, progression_score, progression_score_evidence_count, progression_score_coverage, creation_score, creation_score_evidence_count, creation_score_coverage, finishing_score, finishing_score_evidence_count, finishing_score_coverage, pressing_score, pressing_score_evidence_count, pressing_score_coverage, defensive_score, defensive_score_evidence_count, defensive_score_coverage, ball_security_score, ball_security_score_evidence_count, ball_security_score_coverage, aerial_score, aerial_score_evidence_count, aerial_score_coverage, average_receiving_x, average_receiving_x_available, average_receiving_y, average_receiving_y_available, average_passing_x, average_passing_x_available, average_passing_y, average_passing_y_available, final_third_involvement, final_third_involvement_available, half_space_occupation, half_space_occupation_available, wide_corridor_occupation, wide_corridor_occupation_available, zone14_occupation, zone14_occupation_available, role_cluster, probabilistic_role, role_entropy, role_max_probability, role_probability_01, role_probability_02, role_probability_03, role_probability_04, role_probability_05, role_probability_06, role_probability_07, role_probability_08, role_probability_09, role_probability_10, role_probability_11, role_probability_12, role_probability_13, role_probability_14, role_probability_15, role_probability_16, role_probabilities, attacking_off_ball_score, defensive_off_ball_score, attacking_off_ball_evidence, defensive_off_ball_evidence, off_ball_raw, off_ball_evidence, off_ball_score, off_ball_score_observed, off_ball_reliability, off_ball_feature_coverage, role_consistency_adjusted, finishing_component_v2, creation_component_v2, progression_component_v2, possession_component_v2, defending_component_v2, off_ball_component_v2, tournament_impact_component_v2, goal_role_boost_v2, raw_player_rating_v2, rating_reliability_v2, gk_raw_rating_v2, gk_rating_reliability_v2",Tabular dataset: v2 goalkeeper ranking.
diagnostics/v2_named_elite_audit.csv,diagnostics,v2_named_elite_audit.csv,.csv,59905,9 data rows × 399 columns,"Columns: player_name, team, position_group, functional_role, final_player_rating, global_rank, position_rank, role_rank, team_rank, RankingStatus, GKRankingStatus, primary_global_rank, primary_goalkeeper_rank, tournament, minutes_played, position_group_360, functional_role_original, final_player_rating_v2, global_rank_v2, position_rank_v2, role_rank_v2, team_rank_v2, gk_rating_v2, gk_rank_v2, is_main_goalkeeper, player_id, actions, aerial_events, aerial_wins, average_x, average_y, blocks, box_passes, carries, carry_progression_sum, clearances, completed_passes, counterpressures, crosses, dribbled_past, dribbles, duels, duels_won, final_third_passes, fouls, goals, interceptions, interceptions_won, key_passes, minutes, pass_progression_sum, passes, pressures, progressive_carries, progressive_passes, recoveries, shots, successful_dribbles, successful_under_pressure_actions, switches, through_balls, turnovers, under_pressure_actions, xg_sum, player, position, aerial_dominance_index, pressing_intensity_index, speed_recovery_index, shots_p90, progressive_carries_p90, dribbles_p90, clearances_p90, progressive_passes_p90, key_passes_p90, crosses_p90, interceptions_p90, turnovers_p90, xg_p90, duel_win_rate, pass_completion, aerial_dominance_index_percentile, pressing_intensity_index_percentile, speed_recovery_index_percentile, vaep_total, vaep_offense, vaep_defense, total_touches, xt_total, xa_sum, events_with_360_context, role_has_360_rate, mean_defenders_within_3, mean_defenders_within_5, mean_nearest_defender_distance, mean_defensive_density, mean_defenders_behind_ball, vaep_off_p90, vaep_def_p90, vaep_total_p90, vaep_per_touch, xt_p90, xa_p90, raw_final_player_rating, rating_minutes_reliability, player_evaluation_score, pass_start_x, pass_start_y, line_breaking_pass_rate, pressure_state_rate, distribution_under_pressure, pass_receipt_x, pass_receipt_y, playstyle_cluster, spatial_point_count, final_third_share, Functional role, completeness_score, kmeans_functional_role, role_refinement_applied, role_refinement_reason, pressures_p90, counterpressures_p90, recoveries_p90, post_pressure_recoveries_p90, blocks_p90, aerial_wins_p90, aerial_events_p90, goals_p90, box_passes_p90, tackles_p90, progressive_receptions_p90, dangerous_zone_receptions_p90, pressure_resistance, role_off_scaled, role_def_scaled, role_adjusted_value, role_off_weight, role_def_weight, role_weight_source, legacy_raw_final_player_rating, legacy_final_player_rating, legacy_team_rank, vaep_off_scaled, vaep_def_scaled, vaep_component, vaep_90_missing, vaep_per_touch_missing, xt_90_missing, role_adjusted_value_missing, completeness_score_missing, off_ball_score_missing, global_rank_eligible, post_shot_xg_proxy, goal_allowed, shot_on_target_faced, penalty_faced, high_leverage_shots_on_target, high_leverage_saves, penalties_faced, penalties_saved, cross_opportunities, claims, sweeper_actions, pressured_passes, completed_pressured_passes, goals_prevented_proxy, goals_prevented_proxy_p90, save_rate, high_leverage_save_pct, claims_p90, cross_stopping_rate, sweeper_actions_p90, penalty_save_rate_shrunk, goalkeeper_raw_rating, goalkeeper_feature_coverage, goalkeeper_rating_reliability, goalkeeper_rank, open_play_xt_p90, set_piece_xt_p90, progressive_receptions, dangerous_zone_receptions, pressure_events, forced_rushed_actions, post_pressure_recoveries, forced_rushed_action_rate, occupancy_entropy, convex_hull_area, average_spatial_x, average_spatial_y, final_third_occupancy, zone14_share, half_space_share, wide_corridor_share, spatial_observation_count, kde_00_00, kde_00_01, kde_00_02, kde_00_03, kde_00_04, kde_00_05, kde_00_06, kde_00_07, kde_01_00, kde_01_01, kde_01_02, kde_01_03, kde_01_04, kde_01_05, kde_01_06, kde_01_07, kde_02_00, kde_02_01, kde_02_02, kde_02_03, kde_02_04, kde_02_05, kde_02_06, kde_02_07, kde_03_00, kde_03_01, kde_03_02, kde_03_03, kde_03_04, kde_03_05, kde_03_06, kde_03_07, kde_04_00, kde_04_01, kde_04_02, kde_04_03, kde_04_04, kde_04_05, kde_04_06, kde_04_07, kde_05_00, kde_05_01, kde_05_02, kde_05_03, kde_05_04, kde_05_05, kde_05_06, kde_05_07, kde_06_00, kde_06_01, kde_06_02, kde_06_03, kde_06_04, kde_06_05, kde_06_06, kde_06_07, kde_07_00, kde_07_01, kde_07_02, kde_07_03, kde_07_04, kde_07_05, kde_07_06, kde_07_07, kde_08_00, kde_08_01, kde_08_02, kde_08_03, kde_08_04, kde_08_05, kde_08_06, kde_08_07, kde_09_00, kde_09_01, kde_09_02, kde_09_03, kde_09_04, kde_09_05, kde_09_06, kde_09_07, kde_10_00, kde_10_01, kde_10_02, kde_10_03, kde_10_04, kde_10_05, kde_10_06, kde_10_07, kde_11_00, kde_11_01, kde_11_02, kde_11_03, kde_11_04, kde_11_05, kde_11_06, kde_11_07, network_pagerank, network_betweenness, network_eigenvector, network_closeness, network_entropy, network_completed_passes_per_match, network_matches, build_up_involvement_ratio, build_up_eligible_possessions, xd_total, xd_actions, xd_mean_action_threat, xd90, xd90_pct, sb360_coverage, sb360_observations, mean_defenders_within_3m, mean_defenders_within_5m, mean_nearest_defender_m, mean_passing_lane_availability, packing_index_mean, mean_space_received, actor_shape_deviation_m, movement_into_available_space_rate, shape_maintenance_score, defensive_positioning_score, progression_score, progression_score_evidence_count, progression_score_coverage, creation_score, creation_score_evidence_count, creation_score_coverage, finishing_score, finishing_score_evidence_count, finishing_score_coverage, pressing_score, pressing_score_evidence_count, pressing_score_coverage, defensive_score, defensive_score_evidence_count, defensive_score_coverage, ball_security_score, ball_security_score_evidence_count, ball_security_score_coverage, aerial_score, aerial_score_evidence_count, aerial_score_coverage, average_receiving_x, average_receiving_x_available, average_receiving_y, average_receiving_y_available, average_passing_x, average_passing_x_available, average_passing_y, average_passing_y_available, final_third_involvement, final_third_involvement_available, half_space_occupation, half_space_occupation_available, wide_corridor_occupation, wide_corridor_occupation_available, zone14_occupation, zone14_occupation_available, role_cluster, probabilistic_role, role_entropy, role_max_probability, role_probability_01, role_probability_02, role_probability_03, role_probability_04, role_probability_05, role_probability_06, role_probability_07, role_probability_08, role_probability_09, role_probability_10, role_probability_11, role_probability_12, role_probability_13, role_probability_14, role_probability_15, role_probability_16, role_probabilities, attacking_off_ball_score, defensive_off_ball_score, attacking_off_ball_evidence, defensive_off_ball_evidence, off_ball_raw, off_ball_evidence, off_ball_score, off_ball_score_observed, off_ball_reliability, off_ball_feature_coverage, role_consistency_adjusted, finishing_component_v2, creation_component_v2, progression_component_v2, possession_component_v2, defending_component_v2, off_ball_component_v2, tournament_impact_component_v2, goal_role_boost_v2, raw_player_rating_v2, rating_reliability_v2, gk_raw_rating_v2, gk_rating_reliability_v2, minutes_bucket",Tabular dataset: v2 named elite audit.
diagnostics/v2_rating_distribution_by_minutes.csv,diagnostics,v2_rating_distribution_by_minutes.csv,.csv,288,3 data rows × 5 columns,"Columns: minutes_bucket, players, mean_rating, median_rating, rating_std",Tabular dataset: v2 rating distribution by minutes.
diagnostics/v2_top10_by_position.csv,diagnostics,v2_top10_by_position.csv,.csv,363182,60 data rows × 399 columns,"Columns: player_name, team, position_group, functional_role, final_player_rating, global_rank, position_rank, role_rank, team_rank, RankingStatus, GKRankingStatus, primary_global_rank, primary_goalkeeper_rank, tournament, minutes_played, position_group_360, functional_role_original, final_player_rating_v2, global_rank_v2, position_rank_v2, role_rank_v2, team_rank_v2, gk_rating_v2, gk_rank_v2, is_main_goalkeeper, player_id, actions, aerial_events, aerial_wins, average_x, average_y, blocks, box_passes, carries, carry_progression_sum, clearances, completed_passes, counterpressures, crosses, dribbled_past, dribbles, duels, duels_won, final_third_passes, fouls, goals, interceptions, interceptions_won, key_passes, minutes, pass_progression_sum, passes, pressures, progressive_carries, progressive_passes, recoveries, shots, successful_dribbles, successful_under_pressure_actions, switches, through_balls, turnovers, under_pressure_actions, xg_sum, player, position, aerial_dominance_index, pressing_intensity_index, speed_recovery_index, shots_p90, progressive_carries_p90, dribbles_p90, clearances_p90, progressive_passes_p90, key_passes_p90, crosses_p90, interceptions_p90, turnovers_p90, xg_p90, duel_win_rate, pass_completion, aerial_dominance_index_percentile, pressing_intensity_index_percentile, speed_recovery_index_percentile, vaep_total, vaep_offense, vaep_defense, total_touches, xt_total, xa_sum, events_with_360_context, role_has_360_rate, mean_defenders_within_3, mean_defenders_within_5, mean_nearest_defender_distance, mean_defensive_density, mean_defenders_behind_ball, vaep_off_p90, vaep_def_p90, vaep_total_p90, vaep_per_touch, xt_p90, xa_p90, raw_final_player_rating, rating_minutes_reliability, player_evaluation_score, pass_start_x, pass_start_y, line_breaking_pass_rate, pressure_state_rate, distribution_under_pressure, pass_receipt_x, pass_receipt_y, playstyle_cluster, spatial_point_count, final_third_share, Functional role, completeness_score, kmeans_functional_role, role_refinement_applied, role_refinement_reason, pressures_p90, counterpressures_p90, recoveries_p90, post_pressure_recoveries_p90, blocks_p90, aerial_wins_p90, aerial_events_p90, goals_p90, box_passes_p90, tackles_p90, progressive_receptions_p90, dangerous_zone_receptions_p90, pressure_resistance, role_off_scaled, role_def_scaled, role_adjusted_value, role_off_weight, role_def_weight, role_weight_source, legacy_raw_final_player_rating, legacy_final_player_rating, legacy_team_rank, vaep_off_scaled, vaep_def_scaled, vaep_component, vaep_90_missing, vaep_per_touch_missing, xt_90_missing, role_adjusted_value_missing, completeness_score_missing, off_ball_score_missing, global_rank_eligible, post_shot_xg_proxy, goal_allowed, shot_on_target_faced, penalty_faced, high_leverage_shots_on_target, high_leverage_saves, penalties_faced, penalties_saved, cross_opportunities, claims, sweeper_actions, pressured_passes, completed_pressured_passes, goals_prevented_proxy, goals_prevented_proxy_p90, save_rate, high_leverage_save_pct, claims_p90, cross_stopping_rate, sweeper_actions_p90, penalty_save_rate_shrunk, goalkeeper_raw_rating, goalkeeper_feature_coverage, goalkeeper_rating_reliability, goalkeeper_rank, open_play_xt_p90, set_piece_xt_p90, progressive_receptions, dangerous_zone_receptions, pressure_events, forced_rushed_actions, post_pressure_recoveries, forced_rushed_action_rate, occupancy_entropy, convex_hull_area, average_spatial_x, average_spatial_y, final_third_occupancy, zone14_share, half_space_share, wide_corridor_share, spatial_observation_count, kde_00_00, kde_00_01, kde_00_02, kde_00_03, kde_00_04, kde_00_05, kde_00_06, kde_00_07, kde_01_00, kde_01_01, kde_01_02, kde_01_03, kde_01_04, kde_01_05, kde_01_06, kde_01_07, kde_02_00, kde_02_01, kde_02_02, kde_02_03, kde_02_04, kde_02_05, kde_02_06, kde_02_07, kde_03_00, kde_03_01, kde_03_02, kde_03_03, kde_03_04, kde_03_05, kde_03_06, kde_03_07, kde_04_00, kde_04_01, kde_04_02, kde_04_03, kde_04_04, kde_04_05, kde_04_06, kde_04_07, kde_05_00, kde_05_01, kde_05_02, kde_05_03, kde_05_04, kde_05_05, kde_05_06, kde_05_07, kde_06_00, kde_06_01, kde_06_02, kde_06_03, kde_06_04, kde_06_05, kde_06_06, kde_06_07, kde_07_00, kde_07_01, kde_07_02, kde_07_03, kde_07_04, kde_07_05, kde_07_06, kde_07_07, kde_08_00, kde_08_01, kde_08_02, kde_08_03, kde_08_04, kde_08_05, kde_08_06, kde_08_07, kde_09_00, kde_09_01, kde_09_02, kde_09_03, kde_09_04, kde_09_05, kde_09_06, kde_09_07, kde_10_00, kde_10_01, kde_10_02, kde_10_03, kde_10_04, kde_10_05, kde_10_06, kde_10_07, kde_11_00, kde_11_01, kde_11_02, kde_11_03, kde_11_04, kde_11_05, kde_11_06, kde_11_07, network_pagerank, network_betweenness, network_eigenvector, network_closeness, network_entropy, network_completed_passes_per_match, network_matches, build_up_involvement_ratio, build_up_eligible_possessions, xd_total, xd_actions, xd_mean_action_threat, xd90, xd90_pct, sb360_coverage, sb360_observations, mean_defenders_within_3m, mean_defenders_within_5m, mean_nearest_defender_m, mean_passing_lane_availability, packing_index_mean, mean_space_received, actor_shape_deviation_m, movement_into_available_space_rate, shape_maintenance_score, defensive_positioning_score, progression_score, progression_score_evidence_count, progression_score_coverage, creation_score, creation_score_evidence_count, creation_score_coverage, finishing_score, finishing_score_evidence_count, finishing_score_coverage, pressing_score, pressing_score_evidence_count, pressing_score_coverage, defensive_score, defensive_score_evidence_count, defensive_score_coverage, ball_security_score, ball_security_score_evidence_count, ball_security_score_coverage, aerial_score, aerial_score_evidence_count, aerial_score_coverage, average_receiving_x, average_receiving_x_available, average_receiving_y, average_receiving_y_available, average_passing_x, average_passing_x_available, average_passing_y, average_passing_y_available, final_third_involvement, final_third_involvement_available, half_space_occupation, half_space_occupation_available, wide_corridor_occupation, wide_corridor_occupation_available, zone14_occupation, zone14_occupation_available, role_cluster, probabilistic_role, role_entropy, role_max_probability, role_probability_01, role_probability_02, role_probability_03, role_probability_04, role_probability_05, role_probability_06, role_probability_07, role_probability_08, role_probability_09, role_probability_10, role_probability_11, role_probability_12, role_probability_13, role_probability_14, role_probability_15, role_probability_16, role_probabilities, attacking_off_ball_score, defensive_off_ball_score, attacking_off_ball_evidence, defensive_off_ball_evidence, off_ball_raw, off_ball_evidence, off_ball_score, off_ball_score_observed, off_ball_reliability, off_ball_feature_coverage, role_consistency_adjusted, finishing_component_v2, creation_component_v2, progression_component_v2, possession_component_v2, defending_component_v2, off_ball_component_v2, tournament_impact_component_v2, goal_role_boost_v2, raw_player_rating_v2, rating_reliability_v2, gk_raw_rating_v2, gk_rating_reliability_v2, minutes_bucket",Tabular dataset: v2 top10 by position.
diagnostics/v2_validation_summary.json,diagnostics,v2_validation_summary.json,.json,1811,Object with 21 top-level keys,"Top-level keys: all_32_teams_present, all_team_primary_means_populated, belgium_means_populated, ecuador_means_populated, outfield_minimum_minutes, goalkeeper_minimum_minutes, ranked_main_goalkeepers, ranked_goalkeeper_teams, unranked_backup_goalkeepers, outfield_status_counts, goalkeeper_status_counts, rating_spearman_minutes, rating_spearman_goals_plus_xa, minutes_bucket_mean_ratings, minutes_bucket_means_non_decreasing, sub_180_players_in_global_top_20, contextual_vaep_gate, composite_calibration_fallback, messi_global_rank, mbappe_global_rank, missing_team_means",JSON artifact: v2 validation summary.
figures/.gitkeep,figures,.gitkeep,[none],0,0 bytes,Placeholder or unclassified file,Artifact: .gitkeep.
figures/attacking_defensive_matchups.png,figures,attacking_defensive_matchups.png,.png,213327,"2,934 × 1,150 pixels",Raster image,Figure: attacking defensive matchups.
figures/attacking_style_pca.png,figures,attacking_style_pca.png,.png,384515,"2,160 × 1,440 pixels",Raster image,Figure: attacking style pca.
figures/attacking_styles_overview.png,figures,attacking_styles_overview.png,.png,279083,"2,990 × 1,772 pixels",Raster image,Figure: attacking styles overview.
figures/calibrated_brier_curve.png,figures,calibrated_brier_curve.png,.png,70545,"1,260 × 1,260 pixels",Raster image,Figure: calibrated brier curve.
