layout,timing,target,model,rows,matches,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,fold_log_loss_std,fold_brier_std,target_rank
Tactical + Shape,Retrospective,shot,Logistic Regression,9685,64,0.1246257098606092,0.2557752445435298,0.08018256673185511,0.8831370750905946,0.5134308161825354,0.009395388586309887,0.010263728477842337,0.004278458334635789,10.0
Player-Aware,Retrospective,shot,Histogram Gradient Boosting,9685,64,0.1246257098606092,0.25666147383211724,0.08058188646312178,0.8844561478190152,0.5057676300408906,0.017517688150543602,0.007643789136899733,0.003625046576434649,11.0
Player-Aware,Retrospective,shot,Soft Vote: LR + XGB,9685,64,0.1246257098606092,0.25677327083578705,0.08056905714522601,0.8819497337325928,0.5085008420014723,0.010713600590144966,0.010373279110695384,0.0040988331424845125,12.0
Tactical + Shape,Retrospective,shot,Gradient Boosting,9685,64,0.1246257098606092,0.25732835678753946,0.07971822807323214,0.8852974500207467,0.517382380673329,0.01556100315646988,0.006802387518572848,0.002903893491591417,13.0
Player-Aware,Retrospective,shot,Gradient Boosting,9685,64,0.1246257098606092,0.2596967701274396,0.08011661513556963,0.8827302518746801,0.5141157253125563,0.018208444387038492,0.007175407910221298,0.00301206586558027,14.0
Player-Aware,Retrospective,shot,Random Forest,9685,64,0.1246257098606092,0.2647214692774531,0.08159433955768831,0.8734258931885304,0.49136438816018063,0.014134670135224545,0.004186395812923528,0.0021262802756934662,15.0
Player-Aware,Retrospective,shot,Logistic Regression,9685,64,0.1246257098606092,0.2810655058863244,0.08799461618849115,0.8599475654420534,0.4623278309079639,0.02921608311919438,0.017382726521487212,0.005656695999709599,16.0
Context + Both Styles,Retrospective,shot,Logistic Regression,9685,64,0.1246257098606092,0.3261191132256526,0.09812810594824391,0.7667515786753883,0.29715785313177995,0.011080266086914217,0.010578913223887761,0.004026755904570597,17.0
Context + Attack Style,Retrospective,shot,Logistic Regression,9685,64,0.1246257098606092,0.34572971797739244,0.10308518949446116,0.7154389850195633,0.2434059220723594,0.01450196715971083,0.010777733524392204,0.004120241926519501,18.0
Start Context,Prospective,shot,Logistic Regression,9685,64,0.1246257098606092,0.35383667685924824,0.10308182792051941,0.6641777450990165,0.24406432881830847,0.011622484252209481,0.010782851456383084,0.004111067786725051,19.0
