k,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_ari,smallest_cluster_n,smallest_cluster_pct,largest_cluster_pct,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,rank_stability,consensus_rank,eligible_solution
3,151732.41305605762,0.24701609627822144,2928.251563025717,1.6715636437275805,0.997427870335146,1626,15.224719101123595,50.21535580524345,1.0,1.0,6.0,2.0,2.5,True
4,138093.19110247827,0.2004394856092474,2496.2629863581797,1.8226639599680396,0.9981128382443006,1285,12.03183520599251,40.08426966292135,3.0,2.0,8.0,1.0,3.5,True
5,128139.15618304977,0.20352986956914834,2224.7560342933193,1.7727619349714434,0.9924548087322801,1184,11.086142322097379,37.86516853932584,2.0,3.0,7.0,3.0,3.75,True
6,120036.12776762716,0.18310188246600947,2043.884333505484,1.6166413369941692,0.9258048886741439,244,2.284644194756554,32.43445692883895,4.0,4.0,4.0,5.0,4.25,False
7,112891.02040106799,0.15639880183850066,1923.4512107794928,1.6449775708846492,0.9648550866442644,243,2.2752808988764044,25.50561797752809,8.0,5.0,5.0,4.0,5.5,False
8,107024.16716880004,0.1609182182601301,1822.4624677021643,1.5568897739074363,0.8230894693868374,218,2.041198501872659,25.140449438202246,7.0,6.0,3.0,7.0,5.75,False
9,101525.99770069843,0.1628513411401204,1753.092570684436,1.524858093918433,0.8150162996027261,215,2.01310861423221,23.183520599250937,6.0,7.0,2.0,8.0,5.75,False
10,96667.2266402288,0.16920824218266703,1696.070215896123,1.4800098465909088,0.8662445325008341,207,1.9382022471910112,20.636704119850187,5.0,8.0,1.0,6.0,5.0,False
