test,policy_comparison,observed_policy_difference,placebo_mean,placebo_ci_low,placebo_ci_high,one_sided_placebo_p_value,iterations
Shuffle realized utility within matches,Fallback-enabled vs always Patient Build-up,-6.759105208882127e-06,-1.891708274038593e-05,-0.00015563580594697834,0.00020045043656092328,0.367,1000
Shuffle realized utility within matches,Model-only vs always Patient Build-up,0.0027411676586617025,-0.0013870348227776935,-0.0027835836581296307,0.0006192942209506115,0.002,1000
