layout,target,model,architecture,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,recall_at_5pct,lift_at_5pct,recall_at_10pct,lift_at_10pct,recall_at_20pct,lift_at_20pct,pr_lift_over_prevalence,pr_rank
Rest-Defense Player-Aware,transition_box_15,Soft Vote: Unweighted,Hierarchical: final third × box,9685,0.026742385131646878,0.12416025718872295,0.026158659272001252,0.5899667968413991,0.039299691962769404,0.0019312256733619512,0.07335907335907337,1.4649126298610833,0.14285714285714285,1.4278342916113813,0.3088803088803089,1.5444015444015444,1.4695657013877284,1.0
Rest-Defense Player-Aware,transition_box_15,Soft Vote: Weighted,Hierarchical: final third × box,9685,0.026742385131646878,0.15813224015707794,0.033322523383056704,0.588551177348122,0.03758059242862329,0.060871611478370044,0.06563706563706563,1.310711300402022,0.15444015444015444,1.5436046395798717,0.305019305019305,1.5250965250965252,1.4052819987305658,2.0
Rest-Defense Player-Aware,transition_box_15,Logistic Regression,Hierarchical: final third × box,9685,0.026742385131646878,0.1546225531602032,0.031216678322893234,0.5671894955790563,0.03751489078081911,0.022943804667975375,0.06563706563706563,1.310711300402022,0.14671814671814673,1.466424407600878,0.28185328185328185,1.4092664092664093,1.4028251629815949,3.0
Rest-Defense Player-Aware,transition_box_15,Logistic Regression: Weighted,Hierarchical: final third × box,9685,0.026742385131646878,0.22568701007338252,0.05809808406706314,0.5642533958892966,0.03677442418677883,0.08364670249080537,0.07335907335907337,1.4649126298610833,0.15444015444015444,1.5436046395798717,0.277992277992278,1.3899613899613898,1.375136286675494,4.0
Rest-Defense Player-Aware,transition_box_15,XGBoost,Direct,9685,0.026742385131646878,0.12579488655557375,0.026106887825943795,0.5633594174332558,0.036748383546255946,0.005083535740509722,0.07335907335907337,1.4649126298610833,0.14285714285714285,1.4278342916113813,0.27413127413127414,1.3706563706563706,1.37416252758876,5.0
Enhanced History,transition_box_15,Soft Vote: Weighted,Direct,9685,0.026742385131646878,0.1845850845829709,0.0380659753499259,0.5591406173837746,0.03618783613996082,0.09420361399573622,0.08494208494208494,1.6962146240496754,0.16988416988416988,1.697965103537859,0.25868725868725867,1.2934362934362935,1.3532015174344423,6.0
Enhanced History,transition_box_15,XGBoost: Weighted,Hierarchical: final third × box,9685,0.026742385131646878,0.1502431514810916,0.030349631615778284,0.5491473104458464,0.03618591931966807,0.05084794831688664,0.0888030888030888,1.773315288779206,0.1776061776061776,1.7751453355168525,0.2548262548262548,1.274131274131274,1.3531298401968541,7.0
Enhanced History,transition_box_15,Soft Vote: Weighted,Hierarchical: final third × box,9685,0.026742385131646878,0.15192267844046511,0.03041270484255898,0.5557432944447586,0.03566268294427705,0.05579598853088802,0.09266409266409266,1.8504159535087368,0.1583011583011583,1.5821947555693685,0.2548262548262548,1.274131274131274,1.333564032105495,8.0
Rest-Defense Player-Aware,transition_box_15,Gradient Boosting,Hierarchical: final third × box,9685,0.026742385131646878,0.12341976141464527,0.026061663228849813,0.5842901872500854,0.035079939719012534,0.0012441319994180708,0.04247104247104247,0.8481073120248377,0.15057915057915058,1.505014523590375,0.305019305019305,1.5250965250965252,1.3117730354387505,9.0
Rest-Defense Player-Aware,transition_box_15,Gradient Boosting: Weighted,Hierarchical: final third × box,9685,0.026742385131646878,0.1501172913322082,0.03003994096269125,0.585847327731478,0.03473682288694836,0.05499586607043377,0.07335907335907337,1.4649126298610833,0.15057915057915058,1.505014523590375,0.30115830115830117,1.5057915057915057,1.298942585560212,10.0
