transition_penalty,dr_policy_value,ci_low,ci_high,clear_winner_rate,fallback_rate,observed_style_match_rate,mean_propensity,minimum_propensity,observed_behavior_value,dr_model_only_value,dr_fallback_only_value,dr_always__Patient Build-up,dr_always__Short Under Pressure,dr_always__Direct Long Play,value_rank
0.0,0.036229004539091066,0.03253657680829111,0.04006051566268886,0.8549303045947341,0.14506969540526587,0.5511615900877646,0.4754170174603935,0.05,0.02626190290420342,0.03896065028004208,0.035922855755934596,0.03623594056645004,0.012325477482907316,0.02229549358169393,1.0
0.25,0.035792080571238866,0.032175846617285724,0.039614552026103686,0.8548270521424883,0.14517294785751161,0.551781104801239,0.4754170174603935,0.05,0.025733514571730527,0.03851461433485243,0.035818380889001286,0.03577692587521367,0.011477826145432989,0.022119651796782956,2.0
0.5,0.03529194966048616,0.031736534279410505,0.03909814841784533,0.8543107898812596,0.1456892101187403,0.5516778523489932,0.4754170174603935,0.05,0.02520512623925763,0.03808533059926525,0.0353179111839773,0.0353179111839773,0.010630174807958663,0.02194381001187198,3.0
1.0,0.03436972855827588,0.030674502912274706,0.03823369639588555,0.8534847702632937,0.14651522973670625,0.551781104801239,0.4754170174603935,0.05,0.024148349574311837,0.03718370266809591,0.034028048123066326,0.03439988180150456,0.008934872133010011,0.02159212644205003,4.0
1.5,0.033454986338456935,0.02971656670696993,0.0373148045686922,0.8518327310273619,0.1481672689726381,0.551781104801239,0.4754170174603935,0.05,0.023091572909366045,0.03630068052975956,0.03315284978733277,0.03348185241903182,0.007239569458061357,0.02124044287222808,5.0
2.0,0.03254113076722175,0.028700435375759722,0.036581493282230225,0.8475993804852865,0.15240061951471348,0.551781104801239,0.4754170174603935,0.05,0.022034796244420254,0.03543187791186622,0.03227765145159922,0.03256382303655908,0.005544266783112705,0.020888759302406128,6.0
