layout,timing,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Player-Aware,Retrospective,shot,Soft Vote: Boosting,4,13,1934,0.12202688728024819,0.254097667751283,0.0800909179076265,0.8847921782356113,0.49933535435285153,0.024275592097317767
Player-Aware,Retrospective,shot,Soft Vote: LR + XGB,0,12,1865,0.13083109919571045,0.2709978961272008,0.08653148188224878,0.8777697434289702,0.48595784439367046,0.023300356366578075
Player-Aware,Retrospective,shot,Soft Vote: LR + XGB,1,13,1966,0.12054933875890132,0.2461830629114349,0.07697695973126609,0.8885529305249492,0.5227307638850974,0.009252384756074372
Player-Aware,Retrospective,shot,Soft Vote: LR + XGB,2,13,1945,0.119280205655527,0.2437877967681827,0.07513592700184651,0.8876592789419651,0.5359437910956719,0.01655661170743225
Player-Aware,Retrospective,shot,Soft Vote: LR + XGB,3,13,1975,0.13063291139240507,0.2633865083386037,0.08175722280469777,0.878833642598186,0.5476453760267931,0.011529110271110728
Player-Aware,Retrospective,shot,Soft Vote: LR + XGB,4,13,1934,0.12202688728024819,0.2601274722857442,0.08272156610733258,0.8772509033558923,0.4722191047567725,0.022489958527458012
Player-Aware,Retrospective,box_entry,Logistic Regression,0,12,1865,0.33351206434316355,0.39607124266052834,0.12699200572945044,0.8864535288289664,0.8108778596138689,0.032249730280193234
Player-Aware,Retrospective,box_entry,Random Forest,0,12,1865,0.33351206434316355,0.3785813897963223,0.12122011955742608,0.8957247402172422,0.8314307421194466,0.03173228801083718
Player-Aware,Retrospective,box_entry,Gradient Boosting,0,12,1865,0.33351206434316355,0.3779234040945887,0.11968058788105712,0.8972781337548148,0.8333648387572472,0.030340511196352227
Player-Aware,Retrospective,box_entry,Histogram Gradient Boosting,0,12,1865,0.33351206434316355,0.367100370715503,0.11739071300061808,0.9013433426545567,0.8400046557554888,0.022968244016531383
Player-Aware,Retrospective,box_entry,XGBoost,0,12,1865,0.33351206434316355,0.36771002411842346,0.11710455268621445,0.901401546409087,0.8389405655095479,0.02880820704688975
