match_id,team,entry_denial_target_per100_v4,entry_denial_oof_prediction_v4,avg_defensive_centroid_x,avg_defensive_centroid_y,avg_back_line_height,avg_defensive_hull_area,avg_defensive_width,avg_defensive_depth,avg_defenders_behind_ball,avg_central_defenders,avg_defenders_within_5,avg_defenders_within_10,avg_nearest_defender_distance,avg_mean_defender_distance,avg_defensive_density
3857276,Canada,11.469302176233615,8.060506082883046,58.64761577860089,42.61936134568635,55.577038339346025,433.12511557125157,35.85365058675754,20.70174490428152,4.095272866032206,4.454244776179524,0.7971371874530672,1.694051065944988,10.332368872826958,23.796803435107094,0.03309370350103394
3857276,Morocco,0.32558284595590736,-3.0980519265105175,68.87819014196327,39.2703762006999,45.46618529798366,404.50057222540937,36.57471143393933,18.609470727836452,4.821233921194162,5.332405296077113,0.6622104694285935,1.4656775932561454,8.690680899444223,22.417643833003638,0.03111198626268302
3857271,England,9.660343240427244,5.250348588127486,58.320218722612154,40.21878306546519,55.97492398615459,387.45435439271614,32.59077469191026,19.97157801851739,3.9188248588743946,4.5508430349802484,0.6666455173957292,1.480280594075046,9.70324557928971,23.0028307921384,0.03169364305285271
3857271,Iran,-12.123489618616873,-2.1041061039444293,63.82955324096504,38.4388480974621,50.52465471939624,385.9533464337199,32.342448143535016,20.116999736906536,4.101697674371982,5.077880946759487,0.594555163970702,1.452473129136021,10.401410117566103,23.05249091687827,0.0344550980522363
3857296,Croatia,-6.8982137304290925,5.624254194473432,61.58682146300143,39.73561305605275,51.03204904115736,541.9278165432286,37.94083612145757,23.143336875523314,5.414697146778783,5.942947118141267,0.5893609017694535,1.368680471440872,9.307497892074489,24.235421996788247,0.02837135497430685
3857296,Belgium,-6.417022349883927,4.453177442016359,62.71873893260516,38.58666981874222,49.159748889992606,566.8679980077284,36.6091053812978,24.94978538223642,4.9697693944847945,5.816985373760265,0.7207123979256447,1.6170959167003438,8.932380310917976,24.176090485927947,0.01843933705270133
3857274,Netherlands,-1.1457603465644506,-1.0119941153820315,64.74997851294816,39.785237591937616,48.863320581650875,438.90029492076445,34.687817182760284,20.754466377651895,3.9579302696782914,5.113201948274071,0.7896938267149293,1.7248516597142454,11.772078997497708,25.15667513078655,0.023564831434598463
3857274,Ecuador,15.316131574894651,6.176185841844938,59.61093691857985,41.28971623021869,53.962807664429114,469.34693468689363,35.54946508543854,22.041508503595587,3.884255288413367,4.605814388231441,0.6105997642897302,1.3445884893060296,10.92707507741259,24.75142997425127,0.029778012753052707
3857255,Japan,-2.2779069259403926,0.5300763355259356,68.21626026728248,38.44274742769927,45.36329838148352,517.4843296427075,41.470905747220534,20.28776553191075,5.979554051123222,6.039744078648256,0.5011843991977458,1.2153922919827809,9.330844267564062,24.90106095950754,0.018304396453976038
3857255,Spain,18.266716907778296,7.842281371636104,57.7074728353019,40.15493202324086,54.924330983110984,546.2846294639661,39.38321558643678,22.10378920825289,4.241598085854388,5.4453010898998295,0.7713180831773269,1.766991262938742,9.137351253475325,23.577728992665087,0.01865699197868937
3857272,England,-4.3716213976555345,-1.1297029512568464,61.56927601756089,39.67937708845774,52.905616841175174,364.1598147015658,31.454224434860297,19.35381481954932,3.77980556778057,5.073172879135361,0.7373678481311036,1.616083622205689,12.32671995661022,24.703825963291056,0.03578967410143227
3857272,United States,-4.246359983400517,-2.6993662302261647,64.28321165986131,39.36659206991046,49.93354431237662,384.51521537125734,32.3300128955371,19.110561050689082,4.059437431203068,5.110324647311462,0.707587605554815,1.5144032773246006,11.450618322404397,24.740005783109474,0.04676600516096598
3857278,Iran,-4.138181895070659,-1.7214347330697883,64.6288580593534,40.90308085909907,49.16880435899846,414.24878246011275,32.89482820267644,21.477345904180254,4.070891259317743,4.858008572395781,0.62320904937483,1.430362473372484,11.759432463739168,25.207393306379632,0.04679844081132366
3857278,United States,0.09562747020909201,3.5541067143490084,60.92766164724197,40.83298026955732,53.09170770565688,417.5659673692772,33.68455850300427,21.14005299693877,4.392343303065593,5.096073111219962,0.7072468298444313,1.529079515684699,10.075678828621317,23.916669521633825,0.03408213623642915
3857277,Morocco,4.008587325156671,3.92104909292295,64.67120375008317,39.29111700727683,48.8034664713547,498.6030829171427,39.388562965638805,20.612657076794243,4.699675824494424,5.110269871566217,0.6827867591218387,1.3852272940697046,10.315186089510538,25.403688222231224,0.019802145357667493
3857277,Croatia,5.722812754170634,4.856774164864503,63.35386036513657,42.79644773098011,49.98681027059175,499.955822506913,37.63794977984331,21.930671051844765,4.606473229905114,5.003293873207852,0.7003400721782402,1.552238347136079,10.489078035495245,25.523867100378386,0.027127781721514005
3857273,Wales,-9.477022102440486,-3.6026373424261924,68.27143353866002,40.78046049165891,44.416754891924356,520.3287970060666,35.76108018714734,23.195861191504235,4.295436248336221,5.549220035841834,0.7181312791101209,1.6140625509608044,9.513858003011103,23.964405551256906,0.034812562136988884
3857273,Iran,0.6951668123846511,-5.8265596203029,69.27216025176047,37.95181372727171,42.57048735727052,570.566953813886,35.35807633698108,26.35002949891268,5.06909463212483,6.104715025949855,0.6641725817960159,1.5215080428285235,9.849557793471046,25.375006719352317,0.018193149128696247
3857275,Tunisia,7.995730074479946,-3.024629189479595,65.68331243154657,39.65495335613877,49.168734668416825,360.631843762671,34.38219993828805,18.776450707632684,4.515197254879431,5.114099135840625,0.7167539290688004,1.688754148590349,9.050500261132509,22.114336744105103,0.06745981539201817
3857275,France,-6.581989441879621,-5.999342683442719,69.01889679973767,39.92529455802114,45.00481784511355,430.662794334261,34.309365673695694,20.828458823999746,3.6255530422544036,5.037564423427022,0.8294183396216451,1.7664367441161675,10.13555409192451,23.762364657924046,0.0229095932938587
3857261,Wales,-7.245440838129069,-3.2843948723609584,71.16917077247778,39.81897324711649,39.46017954819731,703.5599768704839,38.88933192987903,27.04615196605225,5.564153785027051,6.481371955522138,0.7209462289166526,1.5754447908048417,8.683198292952303,24.707321373521502,0.020715516923244123
3857261,England,15.933400677236081,10.018854991343096,61.76485104872857,38.59425001948217,48.24128184144315,755.0281137399315,39.24151426096591,28.959239663331267,5.753763797044828,6.028479478610146,0.6611791754058797,1.4552690674451132,9.785180805700282,26.735527162706685,0.01628651312036362
3857290,Switzerland,-6.6372377583649165,-1.2931803084418227,62.773640083980204,41.05692646590874,51.011531441061585,421.61391614410815,33.30463819601306,20.36516509681073,4.166359543049081,5.348928733302206,0.7385979300211569,1.6011744637873968,8.243632778941507,21.42612521835898,0.028363426145365727
3857290,Cameroon,-5.055868495303217,-1.1664918085646971,63.48359386943243,40.01083358687529,50.10651124698185,461.5483538281525,34.378774614172364,21.07325606502413,4.064422099384407,5.066364513126814,0.6717290816345516,1.6120178484617749,10.361865246610005,23.459977267399392,0.03051143197911171
3857298,Portugal,5.2421052721606936,13.94148333347211,55.99002721941619,41.93943300554888,55.398477360186334,632.7170062294721,38.64695314029236,26.038782960076194,5.255872933537233,5.857952570552516,0.6646152735898858,1.5510276165002792,9.942657912206949,25.185557547022245,0.017012243479116056
3857298,Ghana,-3.373799723123799,-7.75361443872117,69.20927230075735,37.968347968037115,43.09806361910412,528.3358362936877,35.903891347428065,24.03724244199197,5.007827107224083,6.221679030526742,0.6503322894096566,1.572257706528548,9.288838315219735,23.921773525363566,0.022778705489131006
3857285,Senegal,-9.01800788833061,-3.8177043987120918,70.85630884758288,42.123332148753626,39.75493573142507,648.4044174470721,36.819226814766196,26.447403187970373,5.511373058700625,6.5393327519922675,0.637831421582444,1.4853964775756177,11.934464103472434,28.159155281088935,0.01801400175229885
3857285,Netherlands,0.014665412633757535,-0.44205321691129107,68.2782745050492,39.54383890545228,42.80623979746549,660.989011485594,37.75494114250737,26.838902333100897,5.716832050935315,6.240865042689451,0.6353574955223072,1.4874388246460202,10.25398851837225,26.49544175360102,0.019019627032972726
3857282,United States,1.2565614586210416,2.23197565668531,62.74874296612541,39.962850577729654,49.31639259096459,555.2179155681747,36.041844249566864,23.653187734513473,4.619161514076833,5.943854330787883,0.7844447163831049,1.6645695980965025,11.185485341068555,25.866079197167835,0.024577975076964277
3857282,Wales,1.1959013861058576,-2.076531673775662,68.23372788910496,40.428489448658354,43.98229605992183,573.782930775054,38.05938387492812,24.300394574693385,5.189059579556497,5.949219389353182,0.6701147705390202,1.54025520626578,9.478906105532763,24.44350954950904,0.02065183746949546
3857297,Poland,-14.298478527742702,-9.213874911403453,69.30774240259285,38.80533758369632,45.37762331109667,352.48790345490454,31.30116099602989,18.781174223169245,4.2717436913278215,5.038061786357949,0.647573241950427,1.548637459896315,9.901974044704861,22.747945780054092,0.0422144868130196
3857297,Saudi Arabia,3.0226490074668155,0.48041822980559407,62.42010620988966,40.837679006252145,51.675570566159394,386.2569023780708,33.30855626016875,20.332853843747998,3.2197856361347466,4.607540050509656,0.7690015264271406,1.6461058079451427,13.243417764212692,26.528357430405116,0.026165192472218234
3857294,Netherlands,8.179345866705312,12.437514509283117,57.195799144745706,40.09715430934894,55.82271084243119,563.3455126815086,40.01531869151419,23.529111441888308,4.562462898402475,5.2812900743943185,0.6472102211644274,1.5126148053123387,10.281874505685398,25.682378507574768,0.018173755516503205
3857294,Qatar,-1.3286052672106141,-6.93279043533958,71.85242150555806,39.152109903435665,41.60085345718433,486.7993718799669,39.30053399841336,20.91833762372346,5.342628264860981,5.966122942631694,0.7284786139500568,1.639858409818781,9.598009017131929,23.12629522992833,0.030363301585414133
