match_id,event_index,event_id,period,minute,competition_stage,knockout,attacking_team,defending_team,pre_shot_score_diff_defending,is_regular_penalty,shot_outcome,goal,goal_probability_v3,leverage_v4,channel,kick_number,kicking_team,scored,goalkeeper_player_id,goalkeeper_player_name,goalkeeper_event_type,goalkeeper_credited_save,pre_kick_win_probability_defending,post_kick_win_probability_defending,defending_wpa,goalkeeper_wpa,attribution_rule
3857256,1175.0,ddb6f298-8ac3-4d35-bfb7-f03f76b54c1e,1.0,34.46666666666667,Group Stage,False,Serbia,Switzerland,0.0,False,Goal,1.0,0.3312006451868733,0.2611121156638072,ordinary_or_penalty,,,,,,,,,,,,
3857256,1440.0,70fe857d-6f28-4b38-8ad7-a655328ec176,1.0,43.68333333333333,Group Stage,False,Switzerland,Serbia,1.0,False,Goal,1.0,0.9451409698314346,0.3299328700148051,ordinary_or_penalty,,,,,,,,,,,,
3857256,1620.0,f18182b3-c83e-4ca4-82c4-810effcfdef7,2.0,47.63333333333333,Group Stage,False,Switzerland,Serbia,0.0,False,Goal,1.0,0.32380138084993054,0.2800596990516794,ordinary_or_penalty,,,,,,,,,,,,
3857256,2944.0,c15dc8c4-2d91-435a-a390-11fd17a2bf2f,2.0,88.8,Group Stage,False,Switzerland,Serbia,-1.0,False,Saved,0.0,0.4806832775875602,0.00589297184561367,ordinary_or_penalty,,,,,,,,,,,,
3857257,408.0,c25f3865-4473-42f0-b560-850327da9bb4,1.0,10.866666666666667,Group Stage,False,Denmark,Australia,0.0,False,Saved,0.0,0.10438821032543129,0.23254167216823124,ordinary_or_penalty,,,,,,,,,,,,
3857257,768.0,00b789c7-1a36-4662-a2f1-b472ccdf2ede,1.0,21.733333333333334,Group Stage,False,Australia,Denmark,0.0,False,Saved,0.0,0.16770711391697748,0.24481362032139603,ordinary_or_penalty,,,,,,,,,,,,
3857257,890.0,eb7fd912-361c-4595-88e5-9bef43366a49,1.0,24.116666666666667,Group Stage,False,Denmark,Australia,0.0,False,Saved,0.0,0.2493771378422045,0.2476580069297754,ordinary_or_penalty,,,,,,,,,,,,
3857257,1209.0,2674ed36-ccdb-41a5-bb67-9af548cd9fcc,1.0,31.55,Group Stage,False,Australia,Denmark,0.0,False,Saved,0.0,0.25834671888704835,0.25715009878925504,ordinary_or_penalty,,,,,,,,,,,,
3857257,1622.0,1a45230e-3810-4d1d-ac49-c700f4de76ef,1.0,40.95,Group Stage,False,Australia,Denmark,0.0,False,Saved,0.0,0.12472731669690511,0.27023677249138656,ordinary_or_penalty,,,,,,,,,,,,
3857257,2410.0,6c01e572-4150-44b0-9d2d-b98541158edf,2.0,59.93333333333333,Group Stage,False,Australia,Denmark,0.0,False,Goal,1.0,0.24299589570297084,0.29923740603151616,ordinary_or_penalty,,,,,,,,,,,,
3857257,2913.0,570e3c6c-0f7f-4e71-8648-5fccf82c2dfd,2.0,76.41666666666667,Group Stage,False,Denmark,Australia,1.0,False,Saved,0.0,0.2433019705178995,0.5087239323713991,ordinary_or_penalty,,,,,,,,,,,,
3857257,3563.0,3a1509ee-760a-4695-8f34-4fc753ad490c,2.0,94.18333333333334,Group Stage,False,Denmark,Australia,1.0,False,Saved,0.0,0.24502571708836837,0.6666666666666667,ordinary_or_penalty,,,,,,,,,,,,
3857258,535.0,e51adb42-5138-49bc-a974-06f3acd44e75,1.0,12.883333333333333,Group Stage,False,Brazil,Serbia,0.0,False,Saved,0.0,0.08634200832461615,0.2347066790397218,ordinary_or_penalty,,,,,,,,,,,,
3857258,900.0,7546be82-8c03-46fd-ad21-e78f97a07c29,1.0,20.85,Group Stage,False,Brazil,Serbia,0.0,False,Saved,0.0,0.12590277059690497,0.24377502086206804,ordinary_or_penalty,,,,,,,,,,,,
3857258,1429.0,ca5a4b92-e0fa-4c47-acc1-94fbe0c3ebb0,1.0,34.11666666666667,Group Stage,False,Brazil,Serbia,0.0,False,Saved,0.0,0.2444110699032675,0.2606562225190044,ordinary_or_penalty,,,,,,,,,,,,
3857258,1950.0,28548766-29be-4f89-a4d2-58bf9870a804,2.0,45.583333333333336,Group Stage,False,Brazil,Serbia,0.0,False,Saved,0.0,0.6588976139382648,0.2770336527162343,ordinary_or_penalty,,,,,,,,,,,,
3857258,2512.0,2fc45c11-a73c-4817-af40-463aab7436f6,2.0,61.95,Group Stage,False,Brazil,Serbia,0.0,False,Saved,0.0,0.22023226261886522,0.302393235385479,ordinary_or_penalty,,,,,,,,,,,,
