player_id,uncertainty_low_v3,uncertainty_high_v3,uncertainty_std_v3,bootstrap_rank_best_v3,bootstrap_rank_worst_v3,uncertainty_status_v3
3311,0.272851733,2.120826454,0.5434174743,38,282,wide
8118,0.05201333342,2.496024345,0.770733041,27,415,wide
7745,0.1227067602,0.9402513636,0.2659775578,113,392,wide
7891,0.03748203942,0.3276044439,0.09076384866,260,437,wide
6994,-0.05441775333,0.2240064157,0.08598837574,309,541,wide
8069,0,0.2886443192,0.08723449601,297,501,wide
21809,-0.06633149612,0.21485041,0.08698804307,312,546,wide
3306,-0.06801240111,0.2062279922,0.09209486877,311,547,wide
3669,-0.02133779673,0.9887532732,0.3111913998,111,525,wide
5668,0.7292029205,7.640211439,2.260839957,1,169,wide
8836,-0.03284630845,0,0.01047601593,480,537,wide
5665,0.01185391723,0.8647170849,0.2451097987,133,472,wide
31955,0.1835860139,1.212919061,0.3274178352,84,339,wide
50502,0,0.07784211024,0.02520226281,395,494,wide
28453,0,0.2915349125,0.09298227204,279,504,wide
4664,0,0.5473579407,0.1770634226,197,495,wide
5660,0.1203010598,1.538823176,0.4452762467,62,380,wide
7979,0.01921843247,0.8752976306,0.2560365897,127,461,wide
5673,-0.03976725453,0.76213147,0.2560460013,149,543,wide
11737,-0.02271517712,0.1391930549,0.04791652595,354,529,wide
3637,-0.01110812271,0.272077136,0.08973637435,288,521,wide
3034,0.001792511673,0.6360922829,0.2014285784,167,467,wide
4734,0.04084688703,1.404705181,0.4491751492,72,435,wide
44166,-0.0818331037,0.7709996621,0.2710116736,140,548,wide
5207,0.5401100655,6.205480723,1.765442889,2,199,wide
38803,0.09045983497,5.510670602,1.70188352,3,396,wide
18360,0.2237512304,1.663398303,0.434086175,54,312,wide
10868,0.03588178821,2.217028139,0.7051010922,33,444,wide
12041,0.3628616674,3.588911505,0.9485700775,12,260,wide
4272,0,0.6683149289,0.2202513342,161,497,wide
5204,0.3220636497,3.248169984,0.9445896879,14,270,wide
40874,0,1.006386248,0.3323239392,109,495,wide
3193,0.2371240591,1.767676906,0.4985856327,49,317,wide
34639,0.01443315978,0.4337105863,0.1347279526,222,464,wide
11184,0,1.278886724,0.3827336921,83,488,wide
5209,0.08146913521,2.150835427,0.6335860954,33,399,wide
7005,0.1844800298,1.586578913,0.4239445002,57,319,wide
16028,0.02691499794,0.9392818466,0.2842662682,118,450,wide
9927,0.1028223468,1.295051777,0.376334269,78,404,wide
12169,0.01420818495,0.2375362481,0.07340340283,299,475,wide
5214,-0.08097087852,0.1427903613,0.07164338201,351,548,wide
20016,0.1073878732,1.227907432,0.3670771298,85,398,wide
5206,-0.05949760062,0.1865798377,0.07700477574,325,544,wide
143854,-0.08372456629,0,0.02792518577,485,548,wide
13621,-0.3254805762,0,0.1072593768,487,553,wide
124901,0.0195483544,0.6732485805,0.2096709708,163,462,wide
124495,0.1168872532,1.702410023,0.4948255182,52,393,wide
40784,0.06442906125,1.077969805,0.3105712886,98,426,wide
124514,0.005797060817,0.1460392834,0.04649367325,352,474,wide
124488,0.1140509264,0.8496256873,0.2341010024,132,393,wide
124899,0,2.134671214,0.6203130056,38,498,wide
124900,0.08585815216,0.696733507,0.1947778945,159,413,wide
124506,0.08318236726,1.313310992,0.3852369407,82,421,wide
124492,0.0002376937884,0.4554322092,0.1485775671,222,478,wide
124493,-0.04914475308,0.9522693145,0.308245987,120,545,wide
124500,-0.09598823652,0.006033881243,0.03339224266,449,549,wide
124494,4.881277196e-05,0.8758307238,0.2685521567,127,481,wide
124503,-0.01717466479,0,0.006141130635,487,529,wide
51469,0.1524076314,1.664400955,0.4723841553,55,356,wide
54144,0,1.594559454,0.5193781167,61,497,wide
51705,0,0.7183154476,0.2318529186,158,498,wide
51632,0,0.2173727417,0.07446257303,315,505,wide
5187,0.3180746934,4.702151234,1.40364097,5,269,wide
51099,0.1950855386,3.116121209,0.935439957,17,329,wide
5178,0,0.1153968584,0.03895858235,376,505,wide
5713,0.08972105811,1.424991384,0.4136389942,72,398,wide
5191,0,1.269064496,0.4341859216,82,501,wide
57620,0.06993385297,1.211274698,0.3767952264,87,414,wide
51710,0.05872196043,0.839341159,0.2489186978,135,413,wide
5183,-0.07764925634,0,0.02621479465,484,547,wide
51096,0,0.1276478727,0.04315541533,361,508,wide
51470,-0.01629328234,0,0.005508461297,489,528,wide
56755,0,1.030815086,0.3238310814,107,504,wide
51094,0,0.5068477214,0.1639082473,201,504,wide
51103,-0.04060702428,0,0.01372849356,490,539,wide
5715,-0.1668970635,-0.002644919647,0.05182035499,511,553,wide
51546,0,0.8409623075,0.2496259682,136,506,wide
13314,0,1.77827341,0.6008635412,49,503,wide
88123,0.06772670237,0.9173369711,0.2593706321,122,407,wide
2941,0.7962725337,5.121473129,1.358229012,4,152,wide
80484,0,1.260006774,0.3819729186,77,482,wide
20758,0,1.019286756,0.3124183574,113,483,wide
50498,0,0.2656861983,0.08797268941,285,504,wide
20611,0.273973588,2.178075606,0.5905535336,32,285,wide
3436,0.1219280077,1.383613776,0.3914035231,70,385,wide
3404,0.1630086865,1.382594051,0.3752454048,72,352,wide
32915,0,0.3973377879,0.1202785737,237,488,wide
21026,0.02404057092,1.150566715,0.3552495008,94,463,wide
4506,-0.007285042143,0.4579138146,0.1529366201,217,521,wide
31751,-0.03265471574,0.01228319063,0.01375195407,441,537,wide
3684,0,0.4450949847,0.1345172383,237,509,wide
15970,0,0.4787088614,0.1654010746,211,505,wide
5675,-0.124685207,0.6324360926,0.2278590188,170,551,wide
8553,-0.03771368787,0.2766838764,0.09521496717,289,536,wide
6319,-0.0004838067107,0.9491879914,0.3104822353,118,516,wide
4269,0,4.647991819,1.490582229,5,469,wide
18015,0,2.161631546,0.7045655991,37,499,wide
3831,0,2.677547938,0.7727827128,23,461,wide
5589,0,2.001939366,0.5803286064,45,462,wide
5591,0,2.181510835,0.6647475853,38,504,wide
6318,0,1.608278628,0.4824199542,62,464,wide
5833,0,0.2554672684,0.07321630576,299,478,wide
6901,0,0.372165732,0.115004917,254,492,wide
6687,-0.01050495407,0.266660059,0.08618095347,290,526,wide
7993,0,1.055433586,0.3442163923,108,509,wide
27719,0,0.596710927,0.1694846539,180,469,wide
16489,-0.02335815974,0.5089571601,0.1734541283,210,531,wide
6321,-0.06120614103,0.009602017617,0.02237775862,452,544,wide
5603,0,1.260270688,0.3978825294,86,472,wide
40542,0.1509612304,3.336357364,1.013136897,14,326,wide
29966,0.03386380392,1.211288223,0.3891131694,83,429,wide
3083,0.4457611885,3.589731075,0.9505547395,12,229,wide
3135,0,1.067978814,0.360934692,104,510,wide
22067,0,0.5930785992,0.200437161,190,511,wide
41711,0,0.9260905874,0.2805687003,120,501,wide
5620,0,2.948413509,0.9170970589,21,507,wide
5623,0.06681572062,0.6321402306,0.1785145488,177,416,wide
22740,0.03136295278,0.9187456683,0.2884994907,122,427,wide
40538,0.01989638963,2.923573046,0.9523504227,22,467,wide
40672,0.05261637993,1.828259077,0.5108886182,50,398,wide
5986,0,0.1819487905,0.06184342501,330,513,wide
23763,0.1135439598,1.173927475,0.324222462,91,367,wide
40558,-0.001446504799,0.03412218431,0.01165410661,421,516,wide
5618,-0.04766605574,0.1835177692,0.07489125075,329,542,wide
5604,0.03542447942,1.416368251,0.4294079735,73,440,wide
43565,0,1.133467938,0.3414366587,98,475,wide
40564,-0.01315120985,0.02645123005,0.01281288676,432,526,wide
5719,0.3383138426,4.220712023,1.191869584,8,253,wide
3477,0.4907037591,3.929200157,1.090474435,9,205,wide
16532,0.4378238377,5.153392223,1.455034617,4,229,wide
30756,0,1.23623805,0.4117243527,85,502,wide
6748,0.3015850754,2.820219258,0.7997088459,20,277,wide
68574,0.04897264706,0.6054155393,0.1715723624,179,413,wide
133353,0.1105855989,1.316584653,0.3594752716,80,372,wide
30486,0.14013081,1.70042743,0.4941626076,54,364,wide
5211,0.2337666092,2.105347018,0.5815000547,36,306,wide
39161,0.001022548599,1.538478624,0.4591020412,64,443,wide
6583,0,1.268870555,0.4102541522,80,505,wide
3957,0,0.6546717326,0.2156008746,165,507,wide
6840,0,0.4603759709,0.1506704566,222,511,wide
5199,0,0.3664808073,0.1143572015,249,508,wide
5721,0,0.3701044728,0.1161967402,248,509,wide
5203,0,0.9090939218,0.2688793331,124,506,wide
6765,0.1087797167,1.008075838,0.2787334888,108,381,wide
4353,0,0.4548709489,0.1466646265,216,499,wide
6892,0,0.08169614279,0.02700357331,393,515,wide
5543,0,0.7499976157,0.2366882375,145,483,wide
5545,0.3100247752,5.898360477,1.734869279,2,271,wide
50436,0,0.5096611301,0.1675869418,196,505,wide
30401,0.2719627938,2.328493489,0.6319843607,28,289,wide
16026,0.1033665122,0.8997262963,0.2540787494,122,398,wide
29006,0.01832479404,0.5342055872,0.1652912542,198,453,wide
3533,0.2732984635,2.64737388,0.7310757967,23,285,wide
7796,0.1964466853,1.858401087,0.5267329232,45,338,wide
3913,0.07630388258,0.6264711117,0.1802626242,177,416,wide
5544,0.07306142272,1.192321032,0.3742731562,86,421,wide
3500,0.09649644293,0.7668002631,0.2070115885,146,392,wide
6983,0.06869944345,1.404812839,0.4017072611,74,416,wide
5538,-0.009371056933,0.192529842,0.06589995881,326,523,wide
5549,0.1059328509,1.514671053,0.4282388711,65,379,wide
5537,0,0.4319176482,0.1375966396,233,510,wide
8814,-0.09677758861,0.3365754955,0.1385901834,265,550,wide
29012,-0.01448347014,0,0.00481650003,498,526,wide
3196,0,2.112612348,0.6514017654,36,503,wide
16352,0.04915748835,3.27674039,0.9871595596,13,430,wide
23910,0,3.226726136,0.9775563159,15,504,wide
3557,0,1.5889284,0.504050095,61,505,wide
102816,0,0.4554768343,0.1516036438,216,513,wide
35592,0,0.6909071144,0.2233339771,153,510,wide
9236,0,0.9422961976,0.2945162503,117,507,wide
30681,0.0005181463202,0.6071663696,0.1840316884,182,475,wide
5647,0,0.1567023909,0.05215776451,348,514,wide
105944,6.82221289e-05,0.5285515329,0.1766866807,189,477,wide
44955,0.05418211822,0.8975042383,0.2682646061,123,430,wide
5650,-0.00476159509,0.03907338483,0.01368806113,420,519,wide
3767,0.0107543501,0.3130261693,0.09389455844,266,465,wide
32450,-0.05312050736,0.1796717685,0.0721492378,336,544,wide
5655,-0.04984041977,0.4673397426,0.160111519,221,543,wide
25582,0,0.4251052626,0.1414945876,229,516,wide
5651,-0.1695427477,0.03777218681,0.06205903509,431,553,wide
22168,0,2.654500523,0.8340332491,24,491,wide
22008,0.1236600462,2.264728211,0.6477582556,35,371,wide
22433,0,0.3901496429,0.1304028042,244,515,wide
8246,0.5750023308,5.0823748,1.438039999,3,190,wide
24243,0.08517625853,2.257387442,0.7013630788,33,398,wide
3377,0.3166577183,3.810504188,1.115630469,9,275,wide
34339,0,0.8623476757,0.2801432783,133,512,wide
8526,0.08857135048,2.159833895,0.6017337338,36,408,wide
38792,0.1562629116,1.323131807,0.3653255648,79,351,wide
4614,0.1491062611,2.158268197,0.6346752859,35,351,wide
21881,0.1213855196,1.56111598,0.4437311346,65,379,wide
3658,0,0.1861928416,0.06108282471,324,508,wide
13035,-0.01096088948,0.1279766651,0.04525488831,359,523,wide
12751,-0.07235434893,0.515904751,0.1852089509,197,545,wide
18242,0.05084404513,0.9457653828,0.2904673414,120,444,wide
15971,-0.1066559556,0,0.03590920153,502,549,wide
12524,-0.1187268303,0.8031267479,0.2871249196,147,550,wide
5246,0.1595783823,3.565241074,1.134241895,11,362,wide
6297,0,0.6168831933,0.1992252316,185,510,wide
4319,0.145896886,1.341041026,0.3746529358,75,373,wide
32478,0.1268280832,1.873271127,0.5452827742,42,388,wide
36288,0.1455591739,1.068507109,0.2969358208,101,384,wide
5258,0,2.789801475,0.9055843855,20,511,wide
5255,-0.02073194114,0.4676569525,0.1613122406,216,535,wide
7104,0.08875067309,0.8763351595,0.2510550123,123,422,wide
5260,-0.01428882368,1.67993555,0.5862810259,54,526,wide
5248,0,0.170622599,0.05799158905,332,515,wide
6773,0.1268911074,0.9688549046,0.2666073791,114,391,wide
5259,0.03090103169,0.806019066,0.25398707,139,458,wide
28729,0,0.2420588858,0.07867805282,301,510,wide
5264,-0.002276051584,0.4421724022,0.1519340993,227,514,wide
6300,-0.07113238866,0.4513454695,0.1724285763,221,547,wide
