tournament_impact_rank_outfield_v4,publication_global_rank_outfield_v4,player_id,player_name,team,position_group,predominant_position_subrole_v4,Tournament Performance Score,tournament_impact_score_outfield_v4,attack_component_outfield_v4,defensive_component_outfield_v4,bootstrap_rank_best_outfield_v4,bootstrap_rank_worst_outfield_v4
38,40,3625,Sofiane Boufal,Morocco,Central/Wide Midfield,offensive,67.2,1.2424213970332585,0.6511708771437934,0.5912505198894652,16,236
39,41,5204,Bruno Miguel Borges Fernandes,Portugal,Attacking Midfield/Wing,hybrid,67.1,1.2356295508790374,0.8758547486560749,0.35977480222296254,8,294
40,42,8118,Frenkie de Jong,Netherlands,Defensive Midfield,offensive,67.1,1.2282402274268402,0.5619318453087865,0.6663083821180538,9,299
41,43,38718,Enzo Fernandez,Argentina,Defensive Midfield,offensive,67.0,1.214856427582502,0.4233140528671337,0.7915423747153683,14,201
42,44,5539,Carlos Henrique Casimiro,Brazil,Defensive Midfield,offensive,66.8,1.1928920304418416,0.35396423030848234,0.8389278001333592,10,342
43,45,8400,Serge Gnabry,Germany,Attacking Midfield/Wing,offensive,66.7,1.1786982906997825,1.0310571263710149,0.14764116432876764,7,274
44,46,20572,Cristian Gabriel Romero,Argentina,Center Back,hybrid,66.7,1.1774745540531237,0.05516122438046006,1.1223133296726637,14,251
45,47,5187,Salem Mohammed Al Dawsari,Saudi Arabia,Central/Wide Midfield,offensive,66.7,1.1747905790249218,1.055941562926301,0.11884901609862096,6,300
46,48,12041,João Félix Sequeira,Portugal,Attacking Midfield/Wing,offensive,66.5,1.15311793880911,0.9321067445743233,0.22101119423478677,10,314
47,49,10481,Aurélien Djani Tchouaméni,France,Defensive Midfield,offensive,66.5,1.1513997017075925,0.36038029010659756,0.7910194116009949,14,203
48,50,18395,Vinícius José Paixão de Oliveira Júnior,Brazil,Central/Wide Midfield,offensive,66.4,1.1431553404560113,1.0193182291340053,0.12383711132200609,11,338
49,51,2988,Memphis Depay,Netherlands,Forward,offensive,66.4,1.142506065836361,1.0463021802551988,0.09620388558116225,12,289
50,52,4354,Phil Foden,England,Attacking Midfield/Wing,offensive,66.2,1.1141312207969296,0.9509297985338296,0.16320142226310005,10,349
