team,signed_ridge_oof_prediction,minutes,player_id,match_id,positioning_360_coverage,opponent_possessions,opponent,opponent_attack_strength_match_v4,opponent_expected_exposure_v4,entry_denial_target_per100_v4,entry_denial_oof_prediction_v4,defensive_positioning_score,defensive_off_ball_score,off_ball_player_shape_available_v4,match_minutes_v4,defensive_value_raw_v4,opponent_expected_exposure_player_v4,off_ball_prevention_raw_v4,off_ball_prevention_coverage_v4,defensive_value_opposition_adjusted_match_v4,off_ball_prevention_value_match_v4,defensive_value_prevention_augmented_match_v4
Denmark,-0.0042319214229378,97.6,3043,3857254,0.8571428571428571,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.8539823009,0.5818431833,True,97.6,-0.003851048494873398,0.7223074932042828,0.6771297512317713,0.8571428571428571,0.09486085849600101,0.05301487047170323,0.14787572896770423
Denmark,-0.0253149331869531,97.6,3570,3857254,0.8421052631578947,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.8657817109,0.673138211,True,97.6,-0.02303658920012732,0.7223074932042828,0.7242787845420326,0.8421052631578947,0.0756753177907471,0.0567063341671951,0.13238165195794221
Denmark,-0.042453147399866,97.6,3959,3857254,1.0,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.808259587,0.421915639,True,97.6,-0.03863236413387806,0.7223074932042828,0.5751581448729848,1.0,0.060079542856996355,0.04503115465790467,0.10511069751490103
Denmark,-0.0158616617259481,45.53333333333333,5527,3857254,0.8666666666666667,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.8923303835,0.9398935379,True,97.6,-0.01443411217061277,0.33697815427494887,0.39930851541866186,0.8666666666666667,0.03161795919193315,0.031263268501582266,0.06288122769351542
Denmark,-0.0183406775349516,63.98333333333333,5534,3857254,0.8888888888888888,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.9321533923,0.5332203615,True,97.6,-0.016690016556805954,0.4735209129800617,0.47026558042008065,0.8888888888888888,0.048022246239978,0.03681874675853282,0.08484099299851082
Denmark,0.0136688866433261,33.133333333333326,5732,3857254,0.25,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.7743362832,0.6768358798,True,97.6,0.012438686845426752,0.24520957931866702,0.22239019940688665,0.25,0.045949491336181245,0.017411711114871414,0.06336120245105266
Denmark,0.0061515639145888,64.46666666666667,6302,3857254,0.9090909090909092,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.5427728614,0.6176943959,True,97.6,0.0055979231622758086,0.4770979138856158,0.2981264724073922,0.9090909090909092,0.07079902566239572,0.023341370380067446,0.09414039604246317
Denmark,-0.0270190951724525,97.6,8247,3857254,0.8611111111111112,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.5398230088,0.4736840003,True,97.6,-0.024587376606931777,0.7223074932042828,0.38909261405555806,0.8611111111111112,0.07412453038394264,0.03046342964273516,0.10458796002667779
Denmark,-0.0077655744713703,97.6,16190,3857254,0.875,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.1283185841,0.4577204249,True,97.6,-0.007066672768946973,0.7223074932042828,0.06416020060800265,0.875,0.09164523422192744,0.005023327831164063,0.0966685620530915
Denmark,-0.0296935335263082,97.6,16554,3857254,0.8620689655172413,91,Tunisia,0.7937444980266843,0.7381823831648164,8.171904828536439,5.507357445817761,0.07669616519,0.5225564285,True,97.6,-0.027021115508940464,0.7223074932042828,0.05123505525866251,0.8620689655172413,0.07169079148193394,0.004011372729092846,0.07570216421102678
