player_id,player_name,team,position_group,publication_global_rank_v3,publication_global_rank_outfield_v4,rank_drop,attack_component_outfield_v4,defensive_component_outfield_v4
51469,Saleh Khalid Al Shehri,Saudi Arabia,Forward,154.0,223,69.0,0.320785962812399,-0.07272737974957272
8966,Kai Havertz,Germany,Forward,26.0,94,68.0,0.8373631957386839,-0.1424460088206039
3853,Kieffer Roberto Francisco Moore,Wales,Forward,71.0,139,68.0,0.6048806751922058,-0.12561123677900143
22067,Woo-Yeong Jeong,South Korea,Attacking Midfield/Wing,399.0,467,68.0,0.04787234638994025,-0.2091758086217192
5595,Johan Alberto Venegas Ulloa,Costa Rica,Forward,482.0,550,68.0,0.02530644050169617,-0.269124795395143
27569,Jesper Lindstrøm,Denmark,Attacking Midfield/Wing,127.0,194,67.0,0.3396703640160624,-0.029731269186752143
8259,Steven Bergwijn,Netherlands,Forward,112.0,175,63.0,0.44460296501714747,-0.08615035903023562
20758,Krépin Diatta,Senegal,Attacking Midfield/Wing,271.0,334,63.0,0.20474259087261087,-0.1953868554304594
17033,Mohammed Kudus,Ghana,Attacking Midfield/Wing,60.0,122,62.0,0.7136970623635006,-0.14606884096438064
33492,Mitchell Thomas Duke,Australia,Forward,149.0,210,61.0,0.3704751140639907,-0.09351965995053112
7843,Mason Mount,England,Attacking Midfield/Wing,226.0,287,61.0,0.26287790689613266,-0.15431116896957778
11252,Daniel James,Wales,Attacking Midfield/Wing,458.0,517,59.0,0.03898166019031644,-0.23805839431515752
40542,Gue-Sung Cho,South Korea,Forward,66.0,123,57.0,0.6834040996860039,-0.11693104179536716
38803,Gonçalo Matias Ramos,Portugal,Forward,22.0,73,51.0,0.9688326032462824,-0.10373147673629618
3318,Marcus Rashford,England,Attacking Midfield/Wing,58.0,109,51.0,0.7747312323004213,-0.15889281165238395
5571,Hirving Rodrigo Lozano Bahena,Mexico,Attacking Midfield/Wing,93.0,142,49.0,0.5735618433966118,-0.1058956108173153
16527,Mislav Oršić,Croatia,Attacking Midfield/Wing,114.0,163,49.0,0.470483774105409,-0.09068881542311236
25154,Éverton Augusto de Barros Ribeiro,Brazil,Attacking Midfield/Wing,359.0,404,45.0,0.06912643925027544,-0.15625378097071355
3621,Eden Hazard,Belgium,Attacking Midfield/Wing,349.0,392,43.0,0.12590532318363368,-0.19844007121496804
4272,João Mário Naval da Costa Eduardo,Portugal,Attacking Midfield/Wing,385.0,426,41.0,0.07699160751962081,-0.19123316638648677
4935,Bryan Mbeumo,Cameroon,Attacking Midfield/Wing,244.0,284,40.0,0.23677564283421368,-0.12361535208073775
35592,Anis Ben Slimane,Tunisia,Attacking Midfield/Wing,344.0,384,40.0,0.12185119354556288,-0.18260892397263775
16559,Leandro Trossard,Belgium,Forward,333.0,372,39.0,0.10745168811446626,-0.15144696088305526
3477,Álvaro Borja Morata Martín,Spain,Forward,27.0,65,38.0,0.9258334904493556,0.03301979806821908
30401,Ruben Vargas,Switzerland,Attacking Midfield/Wing,103.0,140,37.0,0.5289688922627884,-0.05285482070059898
7345,Mattéo Guendouzi Olié,France,Attacking Midfield/Wing,484.0,521,37.0,0.028277005938408473,-0.2295980543661622
6748,Ferrán Torres García,Spain,Attacking Midfield/Wing,62.0,97,35.0,0.7471041023915035,-0.0810637376235659
8361,Ritsu Doan,Japan,Attacking Midfield/Wing,172.0,203,31.0,0.305397692546121,-0.00784109370251855
28559,Enner Remberto Valencia Lastra,Ecuador,Attacking Midfield/Wing,32.0,61,29.0,0.9402929006384816,0.045582464407497664
5562,Thomas Müller,Germany,Forward,69.0,98,29.0,0.6318155809074832,0.0334264180943948
23640,Jonathan David,Canada,Forward,37.0,63,26.0,0.8666202532069042,0.11243187343083039
3083,Heung-Min Son,South Korea,Attacking Midfield/Wing,41.0,66,25.0,1.0032041808336292,-0.05204616841720562
5226,Mehdi Taremi,Iran,Forward,50.0,75,25.0,0.8097311161122904,0.034368210259540406
4269,Aleksandar Mitrović,Serbia,Forward,33.0,57,24.0,0.9629863679088588,0.05504224034719147
34339,Giovanni Reyna,United States,Attacking Midfield/Wing,341.0,363,22.0,0.10725180005154059,-0.1405658539466896
3377,Timothy Weah,United States,Attacking Midfield/Wing,39.0,59,20.0,0.936931465308324,0.07947673783915961
22041,Marko Livaja,Croatia,Forward,52.0,72,20.0,0.8787993642297954,-0.0003528597936188844
20611,Boulaye Dia,Senegal,Attacking Midfield/Wing,86.0,106,20.0,0.5463826744696275,0.07508279006565102
40784,Akram Hassan Afif,Qatar,Forward,251.0,270,19.0,0.231666586007354,-0.08242851979897815
2941,Ismaïla Sarr,Senegal,Attacking Midfield/Wing,18.0,36,18.0,1.3664546897873242,0.00964571199565998
7693,Bruno Petković,Croatia,Forward,44.0,62,18.0,0.9042990094480479,0.0764233235509073
2988,Memphis Depay,Netherlands,Forward,34.0,51,17.0,1.0463021802551988,0.09620388558116225
5719,Marco Asensio Willemsen,Spain,Forward,23.0,39,16.0,1.121822688309316,0.13824276533471933
4354,Phil Foden,England,Attacking Midfield/Wing,36.0,52,16.0,0.9509297985338296,0.16320142226310005
5477,Ousmane Dembélé,France,Attacking Midfield/Wing,40.0,56,16.0,1.1106357041306736,-0.08915028590311397
3441,Nikola Vlašić,Croatia,Attacking Midfield/Wing,146.0,162,16.0,0.38126051682785145,0.0023360250250340636
