match_id,match_datetime,team,opponent,opponent_possessions_context_v4,opponent_xg_observed_v4,opponent_final_third_entries_v4,opponent_penalty_area_entries_v4,match_minutes,opponent_attack_strength_match_v4,opponent_expected_exposure_v4,opponent_xg_rate_per100_v4,opponent_penalty_area_entry_rate_v4
3857276,2022-12-01 15:00:00,Canada,Morocco,79,0.401926,42,14,93,0.87190571165222,0.6888055122052538,0.5087670886075949,0.17721518987341772
3857276,2022-12-01 15:00:00,Morocco,Canada,90,1.095618,61,25,93,0.7150238901604417,0.6435215011443975,1.2173533333333333,0.2777777777777778
3857271,2022-11-21 13:00:00,England,Iran,66,1.455659,36,13,102,0.8959245443211505,0.5913101992519594,2.2055439393939396,0.19696969696969696
3857271,2022-11-21 13:00:00,Iran,England,82,1.9871560000000001,58,36,103,1.2452804301035594,1.0211299526849187,2.4233609756097563,0.43902439024390244
3857296,2022-12-01 15:00:00,Croatia,Belgium,72,2.381839,46,29,93,1.4761921103685727,1.0628583194653722,3.3081097222222215,0.4027777777777778
3857296,2022-12-01 15:00:00,Belgium,Croatia,90,0.695022,57,33,93,1.0246561782916976,0.9221905604625279,0.7722466666666667,0.36666666666666664
3857274,2022-11-25 16:00:00,Netherlands,Ecuador,90,1.651054,57,26,95,0.6972277687610157,0.6275049918849142,1.8345044444444445,0.28888888888888886
3857274,2022-11-25 16:00:00,Ecuador,Netherlands,80,0.104464,49,13,96,1.1268362245861638,0.901468979668931,0.13058,0.1625
3857255,2022-12-01 19:00:00,Japan,Spain,74,0.857711,52,25,97,1.1604870705092574,0.8587604321768505,1.159068918918919,0.33783783783783783
3857255,2022-12-01 19:00:00,Spain,Japan,57,1.157801,29,6,96,0.8499782354004932,0.48448759417828113,2.0312298245614038,0.10526315789473684
3857272,2022-11-25 19:00:00,England,United States,71,0.5142869999999999,47,24,94,0.9521582816949594,0.6760323800034211,0.7243478873239436,0.3380281690140845
3857272,2022-11-25 19:00:00,United States,England,66,0.460638,46,24,92,1.2452804301035594,0.8218850838683492,0.6979363636363636,0.36363636363636365
3857278,2022-11-29 19:00:00,Iran,United States,92,1.1696550000000001,66,31,99,0.9521582816949594,0.8759856191593627,1.2713641304347827,0.33695652173913043
3857278,2022-11-29 19:00:00,United States,Iran,90,0.9207909999999999,55,26,99,0.8959245443211505,0.8063320898890355,1.023101111111111,0.28888888888888886
3857277,2022-11-23 10:00:00,Morocco,Croatia,92,0.849861,61,24,95,1.0246561782916976,0.9426836840283619,0.9237619565217391,0.2608695652173913
3857277,2022-11-23 10:00:00,Croatia,Morocco,74,0.362639,44,17,92,0.87190571165222,0.6452102266226427,0.4900527027027026,0.22972972972972974
3857273,2022-11-25 10:00:00,Wales,Iran,78,1.4539590000000002,52,30,100,0.8959245443211505,0.6988211445704974,1.8640500000000004,0.38461538461538464
3857273,2022-11-25 10:00:00,Iran,Wales,95,0.6156360000000001,62,27,102,0.9088508136605026,0.8634082729774775,0.6480378947368421,0.28421052631578947
3857275,2022-11-30 15:00:00,Tunisia,France,97,0.476989,60,24,102,1.3015141674773683,1.2624687424530472,0.49174123711340206,0.24742268041237114
3857275,2022-11-30 15:00:00,France,Tunisia,86,0.29834700000000003,56,30,102,0.7937444980266843,0.6826202683029485,0.34691511627906985,0.3488372093023256
3857261,2022-11-29 19:00:00,Wales,England,82,2.915486,50,32,94,1.2452804301035594,1.0211299526849187,3.555470731707317,0.3902439024390244
3857261,2022-11-29 19:00:00,England,Wales,74,0.20801,36,10,91,0.9088508136605026,0.6725496021087719,0.2810945945945946,0.13513513513513514
3857290,2022-11-24 10:00:00,Switzerland,Cameroon,82,0.613074,56,28,95,0.7030212883253687,0.5764774564268024,0.7476512195121952,0.34146341463414637
3857290,2022-11-24 10:00:00,Cameroon,Switzerland,86,1.426544,61,30,95,0.9684224409178886,0.8328432991893843,1.6587720930232557,0.3488372093023256
3857298,2022-11-24 16:00:00,Portugal,Ghana,91,0.7800239999999999,47,19,99,0.6149010553062335,0.5595599603286725,0.8571692307692306,0.2087912087912088
3857298,2022-11-24 16:00:00,Ghana,Portugal,93,2.096874,66,32,100,1.0971540748884356,1.020353289646245,2.2547032258064514,0.34408602150537637
3857285,2022-11-21 16:00:00,Senegal,Netherlands,87,1.123883,63,35,98,1.1268362245861638,0.9803475153899626,1.291819540229885,0.40229885057471265
3857285,2022-11-21 16:00:00,Netherlands,Senegal,85,0.691492,48,25,100,0.9224761319972314,0.7841047121976468,0.81352,0.29411764705882354
3857282,2022-11-21 19:00:00,United States,Wales,90,1.395336,56,25,100,0.9088508136605026,0.8179657322944522,1.5503733333333332,0.2777777777777778
3857282,2022-11-21 19:00:00,Wales,United States,85,0.6025,55,24,100,0.9521582816949594,0.8093345394407154,0.7088235294117647,0.2823529411764706
3857297,2022-11-26 13:00:00,Poland,Saudi Arabia,95,1.971975,67,39,97,0.6600224633202596,0.6270213401542466,2.0757631578947366,0.4105263157894737
3857297,2022-11-26 13:00:00,Saudi Arabia,Poland,87,1.255929,50,22,96,0.8298069126107784,0.7219320139713773,1.443596551724138,0.25287356321839083
3857294,2022-11-29 15:00:00,Netherlands,Qatar,83,0.128004,36,16,94,0.6650128640561372,0.5519606771665939,0.15422168674698797,0.1927710843373494
