match_id,team,player_id,minutes,actions,goal_prevention_value_v3,ordinary_non_penalty_on_target_faced_v3,high_leverage_shots_faced_v3,high_leverage_saves_v3,regular_penalties_faced,regular_penalties_saved,shootout_penalties_faced,shootout_penalties_saved,goals_prevented_proxy_p90,high_leverage_save_rate_shrunk,cross_stopping_rate,claims_p90,sweeper_actions_p90,distribution_under_pressure,period
3857254,Denmark,3815,97.6,65,0.4904977501,1,1,1,0,0,0,0,0.4523032532,0.5526315789,0.1481481481,1.237964237,0.9284731774,0.6666666667,1
3857254,Tunisia,105943,97.6,88,1.303054395,5,1,1,0,0,0,0,1.201587044,0.5526315789,0.07142857143,0.9104192424,0.6069461616,0.6,1
3857255,Japan,25719,97.01666667,43,0.6145766276,5,1,0,0,0,0,0,0.5701277769,0.3859649123,0.1186440678,1.527211022,0.2181730031,0.625,1
3857255,Spain,11748,97.01666667,90,-0.6886142887,3,1,0,0,0,0,0,-0.6388107128,0.3859649123,0.16,0.86967025,0.6522526875,0.92,1
3857256,Serbia,20600,100.3,103,-0.002057658533,7,3,2,0,0,0,0,-0.001846353619,0.5394736842,0.1,1.225949259,0.9194619445,0.5833333333,1
3857257,Australia,3240,96.05,74,0.8420930358,4,0,0,0,0,0,0,0.7890512568,0.4631578947,0.06153846154,0.9304329098,1.395649365,0.65,1
3857257,Denmark,3815,96.05,103,-0.2062229548,4,0,0,0,0,0,0,-0.1932333777,0.4631578947,0.1481481481,1.237964237,0.9284731774,0.6666666667,1
3857258,Brazil,5547,97.13333333,52,,,,,0,0,0,0,,,0.1081081081,0.9114308621,0.2278577155,0.75,1
3857258,Serbia,20600,97.13333333,94,0.7975596289,9,2,1,0,0,0,0,0.7389879883,0.4736842105,0.1,1.225949259,0.9194619445,0.5833333333,1
3857259,Cameroon,15326,96.21666667,86,-1.145519889,5,1,0,0,0,0,0,-1.071506565,0.3859649123,0.1351351351,2.292214959,0.4584429918,0.6,1
