match_id,team,player_id,minutes,actions,goal_prevention_value_v3,ordinary_non_penalty_on_target_faced_v3,high_leverage_shots_faced_v3,high_leverage_saves_v3,regular_penalties_faced,regular_penalties_saved,shootout_penalties_faced,shootout_penalties_saved,goals_prevented_proxy_p90,high_leverage_save_rate_shrunk,cross_stopping_rate,claims_p90,sweeper_actions_p90,distribution_under_pressure,period
3857259,Serbia,20600,96.21666667,86,-0.1089885665,8,3,0,0,0,0,0,-0.1019466931,0.2894736842,0.1,1.225949259,0.9194619445,0.5833333333,1
3857260,Mexico,5577,97.63333333,97,-0.2909090909,2,1,0,0,0,0,0,-0.2681647475,0.3859649123,0.1,0.6174957118,0.3087478559,0.3333333333,1
3857260,Saudi Arabia,5714,97.63333333,67,0.1582436611,10,2,1,0,0,0,0,0.1458715893,0.4736842105,0.1914893617,2.713113381,2.110199297,0,1
3857261,England,3468,94,82,0.1396203648,1,0,0,0,0,0,0,0.1336790727,0.4631578947,0.07894736842,0.5551747772,0.1850582591,0.5333333333,1
3857262,Portugal,32975,96.98333333,71,0.3806112606,6,2,0,0,0,0,0,0.3532051568,0.3308270677,0.1666666667,1.103391908,0.7355946056,0.5,1
3857262,South Korea,37641,96.98333333,89,0.3597647282,6,1,0,0,0,0,0,0.3338596893,0.3859649123,0.1041666667,1.154882587,0.6929295522,0.8571428571,1
3857263,Germany,5570,95.81666667,99,-0.1903175805,3,1,0,0,0,0,0,-0.1787641216,0.3859649123,0.1304347826,0.9183673469,1.224489796,0.625,1
3857263,Spain,11748,95.81666667,135,-0.02104610913,4,1,1,0,0,0,0,-0.01976847962,0.5526315789,0.16,0.86967025,0.6522526875,0.92,1
3857264,Argentina,6909,96.01666667,37,,,,,0,0,0,0,,,0.2419354839,1.839487669,0.490530045,0.5217391304,1
3857264,Poland,5669,96.01666667,68,1.044044859,12,2,2,1,1,0,0,0.9786221557,0.6165413534,0.1014492754,1.616420783,0.692751764,0.5,1
3857265,Mexico,5577,97.38333333,77,0.2703662716,1,0,0,1,1,0,0,0.2498678532,0.4631578947,0.1,0.6174957118,0.3087478559,0.3333333333,1
3857265,Poland,5669,97.38333333,79,0.7239812105,4,0,0,0,0,0,0,0.6690909699,0.4631578947,0.1014492754,1.616420783,0.692751764,0.5,1
3857266,Denmark,3815,97.15,32,-0.5325046382,6,2,1,0,0,0,0,-0.4933136123,0.4736842105,0.1481481481,1.237964237,0.9284731774,0.6666666667,1
3857266,France,3099,97.15,73,-0.1272727273,2,2,1,0,0,0,0,-0.117905769,0.4736842105,0.1447368421,1.611852817,0.586128297,0.1818181818,1
3857267,Ecuador,37522,96.93333333,76,-0.3539321175,2,1,0,1,0,0,0,-0.3286164777,0.3859649123,0.2105263158,1.248338438,0.6241692192,0.5,1
3857267,Senegal,7379,96.93333333,53,0.4722056289,4,1,0,0,0,0,0,0.4384302607,0.3859649123,0.1176470588,1.394328011,1.394328011,0.4444444444,1
3857268,Belgium,3509,95.05,107,0.4401658023,2,0,0,1,1,0,0,0.4167798234,0.4631578947,0.02127659574,0.3166041276,0.3166041276,0.6666666667,1
3857268,Canada,15958,95.05,74,-0.2598673285,3,1,0,0,0,0,0,-0.2460605951,0.3859649123,0.1290322581,1.26330565,1.26330565,0.1666666667,1
3857269,Brazil,5547,95.91666667,43,,,,,0,0,0,0,,,0.1081081081,0.9114308621,0.2278577155,0.75,1
3857269,Switzerland,5550,95.91666667,117,0.3163636364,5,1,1,0,0,0,0,0.2968485902,0.5526315789,0.1219512195,1.57186936,0.6287477441,0.8333333333,1
3857270,Portugal,32975,100.1333333,95,1.160885852,3,2,2,0,0,0,0,1.043406058,0.6165413534,0.1666666667,1.103391908,0.7355946056,0.5,1
3857270,Uruguay,36710,100.1333333,51,-0.6354969741,2,0,0,1,0,0,0,-0.5711856958,0.4631578947,0.125,0.9057869723,0.6038579815,0.75,1
3857271,England,3468,103.0833333,70,-0.4088012038,2,1,1,1,0,0,0,-0.3569161682,0.5526315789,0.07894736842,0.5551747772,0.1850582591,0.5333333333,1
3857271,Iran,125823,83.88333333,45,-2.977670936,7,3,0,0,0,0,0,-3.194798938,0.2894736842,0.1538461538,1.935310456,0.483827614,0.3333333333,1
3857272,England,3468,94.56666667,64,0.1333333333,1,0,0,0,0,0,0,0.126894607,0.4631578947,0.07894736842,0.5551747772,0.1850582591,0.5333333333,1
3857272,United States,12352,94.56666667,90,0.671737786,3,1,1,0,0,0,0,0.6392992676,0.5526315789,0.1818181818,1.840490798,1.150306748,0.875,1
3857273,Iran,125823,102.1333333,55,1.075743246,4,1,1,0,0,0,0,0.9479460716,0.5526315789,0.1538461538,1.935310456,0.483827614,0.3333333333,1
3857273,Wales,3488,102.1333333,78,-0.8592402291,6,0,0,0,0,0,0,-0.7571633873,0.4631578947,0.1621621622,2.663816493,0.4439694154,0,1
3857274,Ecuador,37522,96.13333333,42,-0.7864131976,1,0,0,0,0,0,0,-0.7362398175,0.4631578947,0.2105263158,1.248338438,0.6241692192,0.5,1
3857274,Netherlands,8326,96.13333333,99,0.5733484758,4,1,0,0,0,0,0,0.536768684,0.3859649123,0.131147541,1.413103922,1.059827942,0.3571428571,1
3857275,Tunisia,105943,102.6833333,27,0.306122449,3,0,0,0,0,0,0,0.268310538,0.4631578947,0.07142857143,0.9104192424,0.6069461616,0.6,1
3857276,Canada,15958,93.9,52,-1.714157305,2,0,0,0,0,0,0,-1.642962273,0.4631578947,0.1290322581,1.26330565,1.26330565,0.1666666667,1
3857276,Morocco,6785,93.9,84,,,,,0,0,0,0,,,0.1733333333,1.939815966,0.5968664511,0.6538461538,1
3857277,Croatia,16531,96.05,58,0.2639534795,2,0,0,0,0,0,0,0.2473275706,0.4631578947,0.09756097561,0.9996066363,0.2499016591,0.4705882353,1
3857277,Morocco,6785,96.05,60,0.7179387887,1,1,1,0,0,0,0,0.6727172408,0.5526315789,0.1733333333,1.939815966,0.5968664511,0.6538461538,1
3857278,United States,12352,99.88333333,70,0.7211946752,1,1,1,0,0,0,0,0.6498333466,0.5526315789,0.1818181818,1.840490798,1.150306748,0.875,1
3857279,Australia,3240,97.21666667,71,-1.313969504,6,4,0,0,0,0,0,-1.216429851,0.2573099415,0.06153846154,0.9304329098,1.395649365,0.65,1
3857279,France,3099,97.21666667,47,-0.5646887534,1,1,0,0,0,0,0,-0.5227703186,0.3859649123,0.1447368421,1.611852817,0.586128297,0.1818181818,1
3857280,Cameroon,15326,100.1,78,2.24305559,8,2,2,0,0,0,0,2.016733298,0.6165413534,0.1351351351,2.292214959,0.4584429918,0.6,1
3857281,Canada,15958,96.01666667,87,0.1252180981,10,4,3,0,0,0,0,0.11737159,0.5906432749,0.1290322581,1.26330565,1.26330565,0.1666666667,1
3857281,Croatia,16531,96.01666667,50,-0.5388066421,2,0,0,0,0,0,0,-0.5050435458,0.4631578947,0.09756097561,0.9996066363,0.2499016591,0.4705882353,1
3857282,United States,12352,100.5833333,70,0.5180334551,2,1,1,1,0,0,0,0.4635262067,0.5526315789,0.1818181818,1.840490798,1.150306748,0.875,1
3857282,Wales,3488,100.5833333,64,-0.6443109372,1,1,0,0,0,0,0,-0.5765168287,0.3859649123,0.1621621622,2.663816493,0.4439694154,0,1
3857283,Belgium,3509,95.23333333,80,-0.5720778888,4,1,0,0,0,0,0,-0.5406406369,0.3859649123,0.02127659574,0.3166041276,0.3166041276,0.6666666667,1
3857284,Germany,5570,98.15,133,-0.7229012389,4,1,0,0,0,0,0,-0.6628742893,0.3859649123,0.1304347826,0.9183673469,1.224489796,0.625,1
3857284,Japan,25719,98.15,71,1.978663214,8,1,1,1,0,0,0,1.814362601,0.5526315789,0.1186440678,1.527211022,0.2181730031,0.625,1
3857285,Netherlands,8326,100.1166667,50,0.6379510622,4,0,0,0,0,0,0,0.5734868879,0.4631578947,0.131147541,1.413103922,1.059827942,0.3571428571,1
3857285,Senegal,7379,100.1166667,73,-0.6382264294,3,2,0,0,0,0,0,-0.5737344296,0.3308270677,0.1176470588,1.394328011,1.394328011,0.4444444444,1
3857286,Ecuador,37522,95.31666667,35,,,,,0,0,0,0,,,0.2105263158,1.248338438,0.6241692192,0.5,1
3857287,South Korea,37641,97.78333333,64,0.2641614665,1,0,0,0,0,0,0,0.2431348081,0.4631578947,0.1041666667,1.154882587,0.6929295522,0.8571428571,1
3857287,Uruguay,36710,97.78333333,47,,,,,0,0,0,0,,,0.125,0.9057869723,0.6038579815,0.75,1
3857288,Australia,3240,96.28333333,74,0.8868523609,4,0,0,0,0,0,0,0.8289774535,0.4631578947,0.06153846154,0.9304329098,1.395649365,0.65,1
3857288,Tunisia,105943,96.28333333,49,-0.49605191,2,0,0,0,0,0,0,-0.4636801652,0.4631578947,0.07142857143,0.9104192424,0.6069461616,0.6,1
3857289,Argentina,6909,96.48333333,55,0.1713844418,1,0,0,0,0,0,0,0.1598680231,0.4631578947,0.2419354839,1.839487669,0.490530045,0.5217391304,1
3857289,Mexico,5577,96.48333333,64,-1.67565682,2,0,0,0,0,0,0,-1.563058702,0.4631578947,0.1,0.6174957118,0.3087478559,0.3333333333,1
3857290,Switzerland,5550,96.23333333,76,1.306411274,5,1,1,0,0,0,0,1.221790938,0.5526315789,0.1219512195,1.57186936,0.6287477441,0.8333333333,1
3857291,Costa Rica,5597,98.06666667,45,-3.650505051,7,3,0,1,0,0,0,-3.350225573,0.2894736842,0.04651162791,0.6113092206,1.833927662,0.4545454545,1
3857291,Spain,11748,98.06666667,104,,,,,0,0,0,0,,,0.16,0.86967025,0.6522526875,0.92,1
3857292,Costa Rica,5597,100.0333333,60,0.3772451075,11,4,1,0,0,0,0,0.3394074609,0.3684210526,0.04651162791,0.6113092206,1.833927662,0.4545454545,1
3857292,Germany,5570,100.0333333,68,0.8447637166,5,2,1,0,0,0,0,0.7600340003,0.4736842105,0.1304347826,0.9183673469,1.224489796,0.625,1
3857293,Ghana,8108,100.1666667,47,0.1737152582,6,3,1,0,0,0,0,0.156083593,0.4144736842,0.07692307692,1.195219124,0.5976095618,0.3333333333,1
3857293,Uruguay,36710,100.1666667,62,0.5998670607,3,0,0,1,1,0,0,0.5389820512,0.4631578947,0.125,0.9057869723,0.6038579815,0.75,1
3857294,Netherlands,8326,96.05,57,0.4435985355,3,0,0,0,0,0,0,0.415657139,0.4631578947,0.131147541,1.413103922,1.059827942,0.3571428571,1
3857294,Qatar,124510,96.05,62,-0.2464798365,4,1,0,0,0,0,0,-0.2309545579,0.3859649123,0.1578947368,1.405639913,0.4685466377,0.8,1
3857295,Costa Rica,5597,96.35,87,0.7470232038,3,0,0,0,0,0,0,0.6977902267,0.4631578947,0.04651162791,0.6113092206,1.833927662,0.4545454545,1
3857295,Japan,25719,96.35,45,-0.7291714129,1,0,0,0,0,0,0,-0.6811149679,0.4631578947,0.1186440678,1.527211022,0.2181730031,0.625,1
3857296,Belgium,3509,93.98333333,81,0.8534529778,4,0,0,0,0,0,0,0.8172807377,0.4631578947,0.02127659574,0.3166041276,0.3166041276,0.6666666667,1
3857296,Croatia,16531,93.98333333,70,1.333201764,3,2,2,0,0,0,0,1.276696139,0.6165413534,0.09756097561,0.9996066363,0.2499016591,0.4705882353,1
3857297,Poland,5669,97.08333333,81,1.26017606,4,1,1,1,1,0,0,1.168231884,0.5526315789,0.1014492754,1.616420783,0.692751764,0.5,1
3857297,Saudi Arabia,5714,97.08333333,51,-0.3982082151,3,3,1,0,0,0,0,-0.3691543968,0.4144736842,0.1914893617,2.713113381,2.110199297,0,1
3857298,Ghana,8108,100.1166667,48,-0.8394524057,4,1,1,1,0,0,0,-0.7546267672,0.5526315789,0.07692307692,1.195219124,0.5976095618,0.3333333333,1
3857298,Portugal,32975,100.1166667,62,-0.5961214479,3,2,0,0,0,0,0,-0.535884105,0.3308270677,0.1666666667,1.103391908,0.7355946056,0.5,1
3857299,Ghana,8108,100.9166667,37,0.06749536178,6,4,2,0,0,0,0,0.06019404684,0.4795321637,0.07692307692,1.195219124,0.5976095618,0.3333333333,1
3857299,South Korea,37641,100.9166667,63,-1.412987013,3,3,0,0,0,0,0,-1.260137055,0.2894736842,0.1041666667,1.154882587,0.6929295522,0.8571428571,1
3857300,Argentina,6909,103.8333333,56,-1.56,2,0,0,0,0,0,0,-1.352166934,0.4631578947,0.2419354839,1.839487669,0.490530045,0.5217391304,1
3857300,Saudi Arabia,5714,103.8333333,51,1.745454545,5,4,4,1,0,0,0,1.512914052,0.701754386,0.1914893617,2.713113381,2.110199297,0,1
3857301,Qatar,124510,96.03333333,69,-1.971083957,4,1,0,0,0,0,0,-1.847249804,0.3859649123,0.1578947368,1.405639913,0.4685466377,0.8,1
3857301,Senegal,7379,96.03333333,66,0.08849675827,3,2,2,0,0,0,0,0.08293691334,0.6165413534,0.1176470588,1.394328011,1.394328011,0.4444444444,1
3869117,Netherlands,8326,96.16666667,80,0.6465058751,6,3,2,0,0,0,0,0.6050488259,0.5394736842,0.131147541,1.413103922,1.059827942,0.3571428571,1
3869117,United States,12352,96.16666667,56,-1.064848485,6,3,1,0,0,0,0,-0.9965653064,0.4144736842,0.1818181818,1.840490798,1.150306748,0.875,1
3869118,England,3468,94.2,120,0.2378828405,1,0,0,0,0,0,0,0.2272765992,0.4631578947,0.07894736842,0.5551747772,0.1850582591,0.5333333333,1
3869118,Senegal,7379,94.2,54,-1.815384729,4,1,0,0,0,0,0,-1.734444009,0.3859649123,0.1176470588,1.394328011,1.394328011,0.4444444444,1
3869151,Argentina,6909,97.36666667,76,0.3679337756,1,1,1,0,0,0,0,0.3400962664,0.5526315789,0.2419354839,1.839487669,0.490530045,0.5217391304,1
3869151,Australia,3240,97.36666667,129,-0.370314629,5,2,1,0,0,0,0,-0.3422969867,0.4736842105,0.06153846154,0.9304329098,1.395649365,0.65,1
3869152,France,3099,99.26666667,55,0.2931579858,1,0,0,1,0,0,0,0.2657913236,0.4631578947,0.1447368421,1.611852817,0.586128297,0.1818181818,1
3869152,Poland,5669,99.26666667,59,-1.357152547,8,1,0,0,0,0,0,-1.23046067,0.3859649123,0.1014492754,1.616420783,0.692751764,0.5,1
3869219,Croatia,16531,121,90,0.3510129497,4,1,0,0,0,4,3,0.2610840122,0.3859649123,0.09756097561,0.9996066363,0.2499016591,0.4705882353,1
3869219,Japan,25719,121,68,-0.2362224555,4,0,0,0,0,3,0,-0.1757026528,0.4631578947,0.1186440678,1.527211022,0.2181730031,0.625,1
3869220,Morocco,6785,123.05,75,0.1902356989,1,0,0,0,0,2,2,0.1391402918,0.4631578947,0.1733333333,1.939815966,0.5968664511,0.6538461538,1
3869220,Spain,11748,123.05,66,0.6902380709,3,0,0,0,0,4,1,0.5048470246,0.4631578947,0.16,0.86967025,0.6522526875,0.92,1
3869253,Brazil,5547,79.88333333,50,0.02060744202,6,0,0,0,0,0,0,0.02321723073,0.4631578947,0.1081081081,0.9114308621,0.2278577155,0.75,1
3869253,South Korea,37641,93.96666667,58,0.4096868962,9,4,3,1,0,0,0,0.3923925576,0.5906432749,0.1041666667,1.154882587,0.6929295522,0.8571428571,1
3869254,Portugal,32975,94.13333333,78,0.6940325819,3,2,1,0,0,0,0,0.6635580634,0.4736842105,0.1666666667,1.103391908,0.7355946056,0.5,1
3869254,Switzerland,5550,94.13333333,89,-2.296745165,9,5,1,0,0,0,0,-2.195896581,0.3315789474,0.1219512195,1.57186936,0.6287477441,0.8333333333,1
3869321,Argentina,6909,121.05,71,-1.313734419,2,1,0,0,0,5,2,-0.9767542148,0.3859649123,0.2419354839,1.839487669,0.490530045,0.5217391304,1
3869321,Netherlands,8326,121.05,123,0.1479340438,4,1,0,1,0,4,0,0.1099881366,0.3859649123,0.131147541,1.413103922,1.059827942,0.3571428571,1
3869354,England,3468,100.4833333,47,-0.1866783174,5,3,2,0,0,0,0,-0.167202341,0.5394736842,0.07894736842,0.5551747772,0.1850582591,0.5333333333,1
3869354,France,3099,100.4833333,50,1.051408814,6,0,0,1,0,0,0,0.941716304,0.4631578947,0.1447368421,1.611852817,0.586128297,0.1818181818,1
3869420,Brazil,5547,122.05,65,-0.7272727273,1,0,0,0,0,4,0,-0.5362928755,0.4631578947,0.1081081081,0.9114308621,0.2278577155,0.75,1
3869420,Croatia,16531,122.05,85,2.645824057,11,5,4,0,0,3,1,1.951037813,0.6315789474,0.09756097561,0.9996066363,0.2499016591,0.4705882353,1
3869486,Morocco,6785,98.03333333,59,0.8424242424,3,1,1,0,0,0,0,0.7733918581,0.5526315789,0.1733333333,1.939815966,0.5968664511,0.6538461538,1
3869486,Portugal,32975,98.03333333,44,-0.02523191095,3,2,1,0,0,0,0,-0.02316428411,0.4736842105,0.1666666667,1.103391908,0.7355946056,0.5,1
3869519,Argentina,6909,95.03333333,42,0.3,2,0,0,0,0,0,0,0.2841108383,0.4631578947,0.2419354839,1.839487669,0.490530045,0.5217391304,1
3869519,Croatia,16531,95.03333333,81,-0.2141001855,6,3,1,1,0,0,0,-0.2027606106,0.4144736842,0.09756097561,0.9996066363,0.2499016591,0.4705882353,1
3869552,France,3099,95.96666667,52,0.3302586245,2,0,0,0,0,0,0,0.3097250039,0.4631578947,0.1447368421,1.611852817,0.586128297,0.1818181818,1
3869552,Morocco,6785,95.96666667,67,-0.7349600026,2,1,0,0,0,0,0,-0.6892643303,0.3859649123,0.1733333333,1.939815966,0.5968664511,0.6538461538,1
3869684,Croatia,16531,96.15,64,-0.174399146,2,1,0,0,0,0,0,-0.1632441304,0.3859649123,0.09756097561,0.9996066363,0.2499016591,0.4705882353,1
3869684,Morocco,6785,96.15,100,-0.9481990893,4,1,1,0,0,0,0,-0.8875498496,0.5526315789,0.1733333333,1.939815966,0.5968664511,0.6538461538,1
3869685,Argentina,6909,124.1166667,64,0.06189897095,3,1,1,2,0,3,1,0.04488444248,0.5526315789,0.2419354839,1.839487669,0.490530045,0.5217391304,1
3869685,France,3099,124.1166667,68,0.5152071817,9,2,0,1,0,4,0,0.3735892011,0.3308270677,0.1447368421,1.611852817,0.586128297,0.1818181818,1
