match_id,top50_jaccard,p95_absolute_rank_shift,max_absolute_rank_shift
3857254,1.0,10.0,220
3857255,0.9607843137254902,15.79999999999984,273
3857256,0.9607843137254902,8.0,195
3857257,1.0,9.399999999999977,202
3857258,0.8867924528301887,8.399999999999977,264
3857259,1.0,10.0,254
3857260,0.9607843137254902,9.0,224
3857261,0.9230769230769231,5.0,151
3857262,1.0,8.0,210
3857263,0.9230769230769231,9.0,183
3857264,0.8867924528301887,4.0,67
3857265,1.0,8.0,146
3857266,0.9607843137254902,8.0,211
3857267,0.9607843137254902,8.0,178
3857268,1.0,13.0,243
3857269,0.9230769230769231,7.0,131
3857270,0.9230769230769231,11.399999999999977,265
3857271,0.9230769230769231,10.0,187
3857272,1.0,6.0,121
3857273,1.0,9.0,170
3857274,0.9230769230769231,7.0,217
3857275,0.9607843137254902,10.0,190
3857276,0.9607843137254902,5.0,144
3857277,0.9607843137254902,5.0,127
3857278,1.0,8.0,221
3857279,0.9230769230769231,6.0,109
3857280,1.0,14.0,228
3857281,1.0,6.0,131
3857282,0.9607843137254902,8.0,185
3857283,0.9607843137254902,9.0,162
3857284,0.9607843137254902,10.0,187
3857285,0.8867924528301887,8.0,184
3857286,1.0,8.0,151
3857287,1.0,8.0,140
3857288,1.0,7.0,206
3857289,1.0,6.0,193
3857290,1.0,8.0,275
3857291,0.9230769230769231,7.0,173
3857292,0.9607843137254902,8.0,258
3857293,1.0,10.0,200
3857294,0.8867924528301887,10.0,203
3857295,1.0,8.0,197
3857296,1.0,10.0,267
3857297,0.9230769230769231,8.0,196
3857298,0.8867924528301887,7.0,201
3857299,1.0,7.0,196
3857300,0.9230769230769231,6.0,234
3857301,0.9607843137254902,11.0,203
3869117,0.8867924528301887,8.0,211
3869118,0.9230769230769231,6.0,125
3869151,0.9230769230769231,7.0,263
3869152,1.0,6.0,171
3869219,0.9607843137254902,8.0,236
3869220,0.9230769230769231,9.199999999999932,173
3869253,0.8518518518518519,8.0,219
3869254,0.9230769230769231,9.0,228
3869321,0.8518518518518519,6.0,200
3869354,0.8518518518518519,6.399999999999977,129
3869420,0.8867924528301887,7.0,187
3869486,0.9230769230769231,7.0,139
3869519,0.9230769230769231,4.0,113
3869552,0.8518518518518519,6.0,257
3869684,0.9230769230769231,5.0,145
3869685,0.8518518518518519,6.0,164
