player_id,player_name,team,tournament_impact_rank_outfield_v4,tournament_impact_score_outfield_v4,tournament_impact_interval_low_outfield_v4,tournament_impact_interval_high_outfield_v4,tournament_impact_uncertainty_std_outfield_v4,bootstrap_rank_best_outfield_v4,bootstrap_rank_worst_outfield_v4
2941,Ismaïla Sarr,Senegal,35,1.376100401782984,0.0744218065461732,3.0456453511986448,0.9098996311071461,6,270
2954,Youri Tielemans,Belgium,521,-0.23656322968773702,-0.40117381599944746,0.0020607005402368843,0.12784722903025625,297,546
2972,Marcus Thuram,France,272,0.11396898783432988,-0.27651385165707065,0.6573446013040506,0.29432834377981726,107,495
2988,Memphis Depay,Netherlands,49,1.142506065836361,-0.009834732651396949,2.472440185951977,0.776489936750667,12,289
2989,Alexander Djiku,Ghana,536,-0.25622298572260294,-0.32354005629811594,-0.12302516752361342,0.0658629915951305,354,528
2995,Ángel Fabián Di María Hernández,Argentina,30,1.4878565057484308,0.22766284771563605,3.2294679741304138,0.9284482171847569,7,218
3009,Kylian Mbappé Lottin,France,2,4.225428841672715,1.6591813960470403,7.741392019473807,1.8577248233029435,1,32
3026,Adrien Rabiot,France,27,1.5410602186555105,0.3118015225599896,3.1315908162563186,0.8749670899436123,7,186
3034,Kamil Glik,Poland,237,0.19515718210550453,-0.36644330221578336,0.8707834340189448,0.3775674443177887,75,537
3043,Christian Dannemann Eriksen,Denmark,82,0.7913259171481747,-0.08927324900921074,2.110735438346797,0.7013320404152786,15,345
3053,Leroy Sané,Germany,154,0.3959925938002936,-0.20912269189631624,1.3476747972580152,0.504304768906924,41,431
3063,Danilo Luiz da Silva,Brazil,192,0.3022389189774153,-0.2906738762162237,1.0243951138193041,0.402068576729757,74,489
3077,Jan Vertonghen,Belgium,281,0.10171580424622778,-0.3551597472498196,0.6282352477058587,0.33369609100823494,108,531
3083,Heung-Min Son,South Korea,63,0.9511580124164235,-0.01878296237899807,2.081324420403184,0.6605607794487962,15,318
3086,Ben Davies,Wales,369,-0.06218825731859423,-0.44469064326563873,0.44289492421796894,0.2753769732342944,147,546
3089,Kevin De Bruyne,Belgium,114,0.5767327728087477,-0.11165967757019171,1.4162437796475578,0.5141768786969246,40,358
3090,Nicolás Hernán Otamendi,Argentina,74,0.8413868320693767,0.00627758380644254,1.8609699461836324,0.5508061693214285,28,291
3135,Chang-Hoon Kwon,South Korea,383,-0.08071764236136322,-0.20059999873860776,0.1590470703931258,0.12154651606439794,228,439
3141,André-Frank Zambo Anguissa,Cameroon,227,0.22046525211208745,-0.4783765118189262,1.0024780869914267,0.4264638892329378,68,542
3167,Antonio Rüdiger,Germany,95,0.6586241356711185,-0.09610056064371658,1.729511041442594,0.5866272481235384,28,349
3176,Thomas Meunier,Belgium,344,-0.029817873693206695,-0.4215653776161123,0.5074117041644155,0.2933581143627079,135,545
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,73,0.8435073667338031,-0.13157718934749377,1.9058504455099328,0.6354572187638385,19,362
3196,Wahbi Khazri,Tunisia,270,0.11578320176583423,-0.32292868260989394,0.6872376174631144,0.31299329565489376,99,514
3202,Gabriel Fernando de Jesus,Brazil,298,0.05694806605535477,-0.23790572678098915,0.49252738755875347,0.23695447301488876,143,468
3205,Kyle Walker,England,302,0.047663716905519835,-0.32648178072720435,0.574862193501533,0.28260757137515324,127,535
3233,Raheem Sterling,England,287,0.07499036598743614,-0.337439721932342,0.6378416960810661,0.29208100387303326,118,521
3244,John Stones,England,76,0.8315575385842973,-0.008124460998275532,1.7814276144723906,0.551118455876443,27,305
3247,Fábio Henrique Tavares,Brazil,405,-0.10872973692432068,-0.235762306079947,0.14533540138693196,0.1314111403653138,233,465
3264,Vincent Janssen,Netherlands,350,-0.03398216680701763,-0.3358479132945894,0.3419814864262772,0.20485702391977625,179,525
3280,Richarlison de Andrade,Brazil,19,1.6450047649689583,0.0193010888342863,3.532460097545918,1.1244518513129322,3,290
3281,Aaron Mooy,Australia,124,0.5314039125982045,-0.26479947201069925,1.549781734692947,0.5396635850791355,35,484
3289,Romelu Lukaku Menama,Belgium,206,0.2662084711534205,-0.20784118746272545,1.1759320369854702,0.4558767430947013,56,428
3295,Thiago Emiliano da Silva,Brazil,85,0.7408764742184328,-0.21100497733077805,1.9326799518962323,0.6263787536933498,27,421
3300,Maya Yoshida,Japan,123,0.5431786581496496,-0.2376389670322619,1.4299910403414802,0.554576520752591,39,463
3306,Nathan Aké,Netherlands,150,0.41730710872044835,-0.2859318193707947,1.262652120809582,0.47951764661013413,49,490
3308,Kieran Trippier,England,288,0.07363919642874658,-0.3605809148879753,0.6222643790863941,0.3037215706996189,112,526
3311,Daley Blind,Netherlands,88,0.7234604367098288,-0.17657071264474744,1.726970879774226,0.5780690933665175,30,382
3318,Marcus Rashford,England,105,0.6158384206480374,-0.16942720364246072,1.538542888852596,0.5414622424870627,36,390
3336,Harry Maguire,England,53,1.0434967051093884,0.08497712081027153,2.200294339010384,0.6458185608071056,17,258
3347,André Ayew Pelé,Ghana,322,0.007435337432515232,-0.455164476231797,0.4893089035039285,0.32660800813666646,132,550
3377,Timothy Weah,United States,56,1.0164082031474837,-0.09164185104379707,2.2074105003609445,0.735987978850825,13,336
3382,Luke Shaw,England,71,0.8516723195308751,-0.03437985709100427,1.8379026974313302,0.5678159838404214,27,302
3404,Youssouf Sabaly,Senegal,188,0.307383799939568,-0.29703146308297484,1.0070703375930146,0.4098857785333985,68,517
3436,Idrissa Gana Gueye,Senegal,184,0.31475178381047425,-0.23891594442487332,1.0197030541217715,0.41481057456278064,68,470
3441,Nikola Vlašić,Croatia,156,0.3835965418528855,-0.24641323017959726,1.1078872673994111,0.406721043032188,67,461
3450,Jordan Ayew,Ghana,503,-0.20722400190160306,-0.37695277877408023,0.023335018008248276,0.13235642779355739,283,535
3457,Michy Batshuayi Tunga,Belgium,220,0.23927678765471982,-0.3090168582127201,0.8955947056789638,0.3531125953597247,84,505
3471,Dejan Lovren,Croatia,18,1.7119751967269892,0.20201704666419987,3.1836242296847246,0.9359173847300032,8,216
3477,Álvaro Borja Morata Martín,Spain,62,0.9588532885175747,-0.056968885468989074,2.06981209530033,0.6590062706820657,18,332
3499,Jean-Eric Maxim Choupo-Moting,Cameroon,160,0.3692004094310743,-0.4117594723349081,1.2499055920166928,0.45982702605066406,52,516
3500,Granit Xhaka,Switzerland,99,0.6287124688072399,-0.17100024702303135,1.5839211215174402,0.5533367241497349,30,392
3517,Aaron Ramsey,Wales,167,0.36050465416767524,-0.22721230654503136,1.1593494559086648,0.4523282484455602,56,443
3530,Hiroki Sakai,Japan,496,-0.1997830449314204,-0.4669232550780507,0.14232697728938729,0.18576551146756706,226,551
3532,Jordan Brian Henderson,England,126,0.5199139258609232,-0.14071527762874642,1.3717948973945684,0.4934698471490975,46,498
3533,Xherdan Shaqiri,Switzerland,108,0.6041903143965297,-0.13582926762876807,1.6199234424322284,0.5436795031257348,29,367
3551,Karl Brillant Toko Ekambi,Cameroon,353,-0.03612445436949954,-0.411971440413559,0.4414246006871141,0.23744067188961113,156,531
3557,Naïm Sliti,Tunisia,338,-0.01569711876277108,-0.36946848570281704,0.4267841485518093,0.25950900832188356,147,530
3570,Pierre-Emile Højbjerg,Denmark,153,0.401484731427576,-0.2141857971502928,1.371514059432246,0.5067207221294384,42,455
3604,Olivier Giroud,France,8,2.1115496059395067,0.491914685187163,4.017274919454028,1.103816269428224,3,142
3616,Callum Wilson,England,335,-0.013286227282614083,-0.2733214304656697,0.27935506922140396,0.17837218426826348,184,485
3621,Eden Hazard,Belgium,375,-0.07253474803133436,-0.31011097108463637,0.2045905998819405,0.156091145266906,211,506
3625,Sofiane Boufal,Morocco,38,1.2424213970332585,0.14648660422572465,2.2203252627063996,0.6693365816283071,16,236
3634,Abdelhamid Sabiri,Morocco,301,0.04768940701470856,-0.3934988412607539,0.496349568754922,0.2716990991105032,139,538
3637,Grzegorz Krychowiak,Poland,310,0.025623068805699582,-0.3932002227417469,0.5382700668211943,0.2796669564361321,128,540
3658,DeAndre Yedlin,United States,534,-0.2544958493549401,-0.3332602929407564,-0.13756551800859831,0.05935114236970933,364,524
3669,Virgil van Dijk,Netherlands,67,0.8978444286590082,-0.12778873430868434,2.040576706246037,0.658095689329906,20,362
3684,Cheikhou Kouyaté,Senegal,412,-0.11811587273067849,-0.26483384064171733,0.17532006309139886,0.13302393778850038,236,494
3709,Daniel Amartey,Ghana,155,0.39141790620275896,-0.2802156103364109,1.303600986244632,0.5124780306077167,44,505
3767,Ellyes Joris Skhiri,Tunisia,239,0.1904071525678498,-0.33586076730567194,0.876562969689679,0.3958788859907744,77,528
3831,Dušan Tadić,Serbia,79,0.8123115285234497,-0.38399080958191134,1.9937127925146996,0.66292102224577,21,514
3853,Kieffer Roberto Francisco Moore,Wales,134,0.47926943841320435,-0.18093796726215816,1.384837886849077,0.496659898708646,39,401
3913,Edimilson Fernandes,Switzerland,391,-0.09035872342168538,-0.38664720568160815,0.37210798022919667,0.2309101285459699,165,543
3943,Declan Rice,England,61,0.9637648793640106,-0.006943586142711032,2.0408596581817946,0.6338395865067046,21,295
3957,César Azpilicueta Tanco,Spain,327,-0.003471421888835896,-0.2750611607129085,0.31120343595727173,0.18711237213578405,180,489
3959,Andreas Christensen,Denmark,141,0.4568678404511668,-0.18634933458671013,1.462943779135496,0.5394796005310454,35,425
4269,Aleksandar Mitrović,Serbia,55,1.0180286082560503,-0.3802498989022847,2.425638262025446,0.8080904026615094,9,512
4272,João Mário Naval da Costa Eduardo,Portugal,408,-0.11424155886686596,-0.2226318707640778,0.08936944785183298,0.10194803549814398,246,450
4318,Davy Klaassen,Netherlands,222,0.23750001014122518,-0.3057962420523001,0.9224168911041869,0.39357724473427147,75,512
4319,Edinson Roberto Cavani Gómez,Uruguay,295,0.061528733685230985,-0.28969580124311406,0.5482409727905068,0.28111439185010423,129,514
4320,Neymar da Silva Santos Junior,Brazil,17,1.7210425626901469,-0.3746078765790671,3.8429740614345165,1.249451684582899,3,524
4324,Daniel Alves da Silva,Brazil,417,-0.12326960421242292,-0.3350912649709095,0.16619590452836092,0.16495973026764035,220,525
4353,Aymeric Laporte,Spain,201,0.27808279962168003,-0.39699347738569013,0.9401241976015404,0.3790858037791208,82,524
