k,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_ari,smallest_cluster_n,smallest_cluster_pct,largest_cluster_pct,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,rank_stability,consensus_rank,eligible_solution
3,152647.5763772221,0.24491985587165535,2942.3377084625927,1.6691288718625117,0.9805443033848964,1637,15.2406666045992,50.47016106507774,1.0,1.0,6.0,3.0,2.75,True
4,138699.79109916315,0.1978219128335801,2518.5248215638553,1.8096943587367267,0.996056184752083,1285,11.963504329205847,40.182478353970765,4.0,2.0,8.0,2.0,4.0,True
5,128692.93173629622,0.20144906398726026,2244.284502395254,1.7645326864367774,0.9978711076920754,1193,11.106973279955312,37.678056046923004,3.0,3.0,7.0,1.0,3.5,True
6,120483.53936372256,0.20499078170532825,2063.8689425898324,1.627271013165687,0.8495883254089385,247,2.2995996648356765,37.35220184340378,2.0,4.0,5.0,8.0,4.75,False
7,113232.19476320455,0.18766968825928715,1944.4337864615925,1.5791038149047074,0.9777719085603758,239,2.225118704031282,31.36579461875058,5.0,5.0,3.0,4.0,4.25,False
8,107260.38584118307,0.1583598220278591,1844.6484858476006,1.5904788042245552,0.942628640920891,239,2.225118704031282,23.368401452378734,8.0,6.0,4.0,6.0,6.0,False
9,101643.81653380812,0.16279398817994592,1777.2292748464674,1.5265468699621605,0.8886868168626927,218,2.0296061819197466,22.40945908202216,7.0,7.0,2.0,7.0,5.75,False
10,96721.3281567357,0.17010642997688616,1720.6929534620265,1.4721212515834368,0.9774821427733666,209,1.945815101014803,21.06880178754306,6.0,8.0,1.0,5.0,5.0,False
