target,model,layout,timing,level,feature_group,feature,label,delta_log_loss,ci_low,ci_high,permutation_repeats,bootstrap_replicates,permutation_scope
shot,XGBoost,Tactical + Shape,Retrospective,feature,Defensive Shape,avg_defensive_depth,Defensive depth,0.003550002199363566,0.002215556239062842,0.0048830735888062285,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Defensive Shape,avg_defensive_hull_area,Defensive hull area,0.0027516231127116975,0.0014705810391836749,0.003993101559111852,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Defensive Shape,avg_defenders_within_5,Defenders within 5m,0.0020858451602343,0.0010115492162897954,0.0031930565811052,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Defensive Shape,avg_nearest_defender_distance,Nearest-defender distance,0.0019101257087623506,0.001089107895992779,0.0027544569362053595,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Defensive Shape,avg_defensive_width,Defensive width,0.001660769401277213,0.0005643808933917532,0.002932453679663365,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Start Context,first_play_pattern,Opening play pattern,0.0015964890418247674,0.0007648754523199469,0.002486978761856544,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Start Context,start_x,Starting x,0.001204812698137056,0.0004757411510534092,0.0019259829188480653,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Start Context,start_minute,Start minute,0.000231678346549809,-0.0002476436257700227,0.0007056495960704096,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Defensive Style,defensive_style,Defensive style,0.00017234646714827707,-0.0001818103408135348,0.0005496365452132648,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Start Context,competition_stage,Competition stage,0.0,0.0,0.0,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Start Context,period,Period,-3.5885387580286834e-05,-6.694164559854903e-05,-5.888526387397443e-06,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,feature,Start Context,start_y,Starting y,-0.00019575725951454136,-0.0004864568776287514,0.00010885832481206457,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,group,Defensive Shape,,Defensive Shape,0.30630930178071436,0.28752399144374996,0.3251127640210923,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,group,Attacking Style,,Attacking Style,0.012195710580286402,0.00976042960326938,0.014694056489987868,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,group,Start Context,,Start Context,0.0024911048528392823,0.0012531828406188118,0.00371880909043102,20,2000,within match
shot,XGBoost,Tactical + Shape,Retrospective,group,Defensive Style,,Defensive Style,0.00015282121531256038,-0.00019986667046710175,0.000503001108093762,20,2000,within match
