k,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_ari,smallest_cluster_n,smallest_cluster_pct,largest_cluster_pct,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,rank_stability,consensus_rank,eligible_solution
3,100035.51269073726,0.1971732922455048,1724.859762837203,1.8582123644192083,0.9943424051610706,1983,20.46439628482972,54.34468524251806,1.0,1.0,6.0,3.0,2.75,True
4,90021.11653588492,0.19068162731623636,1636.8713059319468,1.6905754207293398,0.9980382192762065,713,7.3581011351909185,52.51805985552116,2.0,2.0,3.0,1.0,2.0,True
5,82323.49946699911,0.17171365369955263,1568.7034866685103,1.7006045974036463,0.9969918841656955,353,3.6429308565531477,42.910216718266255,3.0,3.0,4.0,2.0,3.0,True
6,77346.5074824741,0.12788179223904517,1460.2042422541151,1.6675305538995076,0.989200555418796,321,3.3126934984520124,29.607843137254903,5.0,4.0,2.0,4.0,3.75,True
7,74141.49917994639,0.12972645174234598,1339.0725776578754,1.651410249890154,0.8688795610860831,317,3.2714138286893704,27.812177502579978,4.0,5.0,1.0,6.0,4.0,True
8,71012.56768111064,0.12779049580604457,1259.1670975683865,1.7027886923235318,0.9431353490508465,152,1.5686274509803921,25.00515995872033,6.0,6.0,5.0,5.0,5.5,False
