layout,target,model,rows,matches,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,fold_log_loss_std,fold_brier_std,target_rank
Tactical + Shape,box_entry,Soft Vote: All,9685,64,0.31595250387196694,0.3559146581158018,0.1128624157679978,0.9049535577753114,0.8319049813413154,0.01396507129687986,0.00573899159219848,0.0023828742925943018,1.0
Tactical + Shape,box_entry,Histogram Gradient Boosting,9685,64,0.31595250387196694,0.35603110481163225,0.11338011156002688,0.903987273399926,0.829646517917271,0.010854993618942215,0.006459188948137417,0.002864838801935171,2.0
Tactical + Shape,box_entry,Soft Vote: LR + XGB,9685,64,0.31595250387196694,0.3565929049285533,0.1130981209556013,0.9041275126402762,0.8300129251058543,0.010807411309955404,0.005672364827716531,0.0023242991921109384,3.0
Tactical + Shape,box_entry,XGBoost,9685,64,0.31595250387196694,0.35684441261314237,0.11340442567781704,0.9035521519299545,0.8298525260311338,0.009024519074785626,0.005898898976650173,0.0026434305567031363,4.0
Tactical + Shape,box_entry,Soft Vote: Boosting,9685,64,0.31595250387196694,0.3578577369036729,0.11339739886190527,0.9035771118510297,0.8297420870493827,0.010429404136862313,0.006031134544474416,0.0026828178557273177,5.0
Player-Aware,box_entry,Soft Vote: All,9685,64,0.31595250387196694,0.36165419932334525,0.11456662089474107,0.9019014428412875,0.8263476125963585,0.016984962938365218,0.004578916339084614,0.0019683109519420213,6.0
Player-Aware,box_entry,Histogram Gradient Boosting,9685,64,0.31595250387196694,0.36166376027997155,0.11518999038950911,0.9007489949438895,0.823724942814552,0.014707328434379115,0.005670323854084145,0.0026403607806300285,7.0
Player-Aware,box_entry,XGBoost,9685,64,0.31595250387196694,0.3625242341011753,0.11527116049113874,0.9004890862005179,0.8223301464246247,0.00694085055942131,0.004442033216297276,0.0021586469217907017,8.0
Player-Aware,box_entry,Soft Vote: Boosting,9685,64,0.31595250387196694,0.3627622529648426,0.1149774300844327,0.9008645209027006,0.8240338104373431,0.012187879805174155,0.005102987401393302,0.0023468621660385288,9.0
Player-Aware,box_entry,Soft Vote: LR + XGB,9685,64,0.31595250387196694,0.3639760676163847,0.11574718134116783,0.8997026513750154,0.8211799091137306,0.009357643548247429,0.0040131309446482894,0.001773239022435482,10.0
Tactical + Shape,box_entry,Random Forest,9685,64,0.31595250387196694,0.36522897767931956,0.11637802966640674,0.899018818596621,0.8213677784733853,0.014605597428078093,0.005911972718278808,0.0021988276697704127,11.0
Tactical + Shape,box_entry,Logistic Regression,9685,64,0.31595250387196694,0.36715055619299647,0.11655815837491715,0.8982159575779998,0.8183804927247027,0.011608785090744402,0.0061194888996807875,0.0023398876058172706,12.0
Tactical + Shape,box_entry,Gradient Boosting,9685,64,0.31595250387196694,0.3718496356253486,0.11746376153611053,0.8966170427919595,0.8174457418254715,0.01961999516562985,0.006707872457565497,0.0028124602023843403,13.0
Player-Aware,box_entry,Random Forest,9685,64,0.31595250387196694,0.3737445911030386,0.11820540959009442,0.8959707732149463,0.816848132799042,0.02485612617588789,0.005553119245715164,0.0019328415903684913,14.0
Player-Aware,box_entry,Gradient Boosting,9685,64,0.31595250387196694,0.3745252961609036,0.1182840283129063,0.8951860402022443,0.814819908612362,0.02247952013462578,0.005941973760571872,0.0025632449917405006,15.0
Player-Aware,box_entry,Logistic Regression,9685,64,0.31595250387196694,0.3810446813100942,0.12146663594472282,0.8902502404735478,0.8034563238641266,0.01357741210116174,0.004579533590370317,0.0019728785259438,16.0
Tactical + Shape,shot,Soft Vote: LR + XGB,9685,64,0.1246257098606092,0.2480253538793196,0.07784818915281567,0.8922380710305712,0.5312733885813201,0.009415647953764945,0.00872058534009027,0.0036895003462006485,1.0
Tactical + Shape,shot,Soft Vote: All,9685,64,0.1246257098606092,0.24806869615749372,0.07772140963956242,0.8933298387385216,0.5300625575401802,0.011590353733745761,0.007320589688072848,0.003173108476885745,2.0
Tactical + Shape,shot,XGBoost,9685,64,0.1246257098606092,0.24858730403135823,0.07819469720804134,0.8917109989635438,0.5238588836378304,0.006224358043088646,0.007246211578933679,0.0032237509298025137,3.0
Tactical + Shape,shot,Soft Vote: Boosting,9685,64,0.1246257098606092,0.24937655244821544,0.07819045832770538,0.8922435435504108,0.5238249211472861,0.011895481323011362,0.006956872481467088,0.002998262044803542,4.0
Tactical + Shape,shot,Histogram Gradient Boosting,9685,64,0.1246257098606092,0.252254535602976,0.0793601072442599,0.8894229481910684,0.5080336743066484,0.013145409279993265,0.007110007903800973,0.0030582214159459438,5.0
Player-Aware,shot,Soft Vote: All,9685,64,0.1246257098606092,0.2547073073055496,0.07952747320821285,0.8859858148376822,0.5115096793565845,0.01292781723743525,0.0065864735596726275,0.0031175080354833478,6.0
Player-Aware,shot,XGBoost,9685,64,0.1246257098606092,0.25479612631167065,0.08004405172584617,0.8846420180464158,0.5059245763634084,0.0097746699633796,0.007045159654688363,0.003456909716913813,7.0
Tactical + Shape,shot,Random Forest,9685,64,0.1246257098606092,0.2548024837920385,0.07961907435803868,0.8835657883858665,0.5091513134707769,0.0075339998761508745,0.005463433796091498,0.0029233051823366156,8.0
Player-Aware,shot,Soft Vote: Boosting,9685,64,0.1246257098606092,0.2552067719774472,0.07985750732481747,0.8856443686891342,0.5088441822143112,0.012063426254699094,0.006411225661574296,0.0029859214940562186,9.0
Tactical + Shape,shot,Logistic Regression,9685,64,0.1246257098606092,0.2558863155159607,0.08024764578686493,0.8830937835497227,0.5125402974570236,0.009450464100610678,0.010268446895857826,0.004268438498050515,10.0
Player-Aware,shot,Soft Vote: LR + XGB,9685,64,0.1246257098606092,0.25678752314976283,0.08063598184579979,0.8820729631525468,0.5030499353251978,0.010678357937214398,0.009691076041956669,0.0042047200740835,11.0
Tactical + Shape,shot,Gradient Boosting,9685,64,0.1246257098606092,0.25736926255623965,0.07977021487034751,0.8854271291962257,0.5167318980258793,0.017277102461368425,0.007035261533866692,0.002992661681526237,12.0
Player-Aware,shot,Histogram Gradient Boosting,9685,64,0.1246257098606092,0.2599630947975327,0.08168468413510077,0.8815462331180093,0.4900949693137784,0.01910293114428477,0.0063949253881201065,0.0030271072069216094,13.0
Player-Aware,shot,Gradient Boosting,9685,64,0.1246257098606092,0.26026540761794753,0.08047007746193664,0.8822481815109744,0.5087893202751201,0.017961938528256418,0.007058304787193107,0.003036694405897451,14.0
Player-Aware,shot,Random Forest,9685,64,0.1246257098606092,0.2637190274856469,0.08150357288437345,0.8743684370072901,0.4883994656477222,0.0128499041175945,0.003282994791009865,0.0019669714498408066,15.0
Player-Aware,shot,Logistic Regression,9685,64,0.1246257098606092,0.27109658164277556,0.08518314062013915,0.86737660884754,0.4731461586488074,0.022268499943749166,0.013441745050349741,0.005141027701896249,16.0
Tactical + Shape,transition_conceded,Logistic Regression,9685,64,0.0013422818791946308,0.00954246075766162,0.0013477754132106055,0.8189778583699179,0.005518356881788135,5.563404401963424e-05,0.0038141023608004327,0.0006001237780136012,1.0
Tactical + Shape,transition_conceded,Soft Vote: LR + XGB,9685,64,0.0013422818791946308,0.00970482687984093,0.0013407011060499016,0.8045110390023542,0.005288953421743194,2.4342549989885562e-05,0.0038873288325384768,0.000601864799501347,2.0
Tactical + Shape,transition_conceded,Soft Vote: All,9685,64,0.0013422818791946308,0.009874367754867984,0.0013412307079020286,0.7727937901635172,0.003954130433153346,0.0003529809489100015,0.003977260888142652,0.0006019291037141694,3.0
Player-Aware,transition_conceded,Soft Vote: Boosting,9685,64,0.0013422818791946308,0.01029003451587109,0.0013422216025973713,0.6455549723229623,0.013404856286038786,0.0005065307325220044,0.004751365942751022,0.0006145988461426659,4.0
Tactical + Shape,transition_conceded,XGBoost,9685,64,0.0013422818791946308,0.01029235033574517,0.001340674046239038,0.3796526054590571,0.0010659430328347043,6.945446606246514e-06,0.004017102655645065,0.000602855283761417,5.0
Player-Aware,transition_conceded,XGBoost,9685,64,0.0013422818791946308,0.01029235033574517,0.001340674046239038,0.3796526054590571,0.0010659430328347043,6.945446606246514e-06,0.004017102655645065,0.000602855283761417,5.0
Tactical + Shape,transition_conceded,Soft Vote: Boosting,9685,64,0.0013422818791946308,0.01053405363404304,0.0013420532739563853,0.6469666603041293,0.0024954607907993823,0.0006804168560371431,0.004562141175202579,0.0006035668996601634,7.0
Player-Aware,transition_conceded,Soft Vote: All,9685,64,0.0013422818791946308,0.011046176895454942,0.0014013338387441816,0.6161958389005535,0.005406171431069818,0.0006970861134612654,0.004282261236621085,0.0005812703920443704,8.0
Tactical + Shape,transition_conceded,Gradient Boosting,9685,64,0.0013422818791946308,0.01121178655885852,0.0013493668586081566,0.7286457339186867,0.003036804531800108,0.0008277906203355297,0.005075053160736457,0.0006013646255344501,9.0
Player-Aware,transition_conceded,Gradient Boosting,9685,64,0.0013422818791946308,0.011228794640563314,0.001447493084668179,0.6999268308201312,0.013770111601480233,0.0005782086444199814,0.0050983267396275235,0.000658475396882721,10.0
Player-Aware,transition_conceded,Soft Vote: LR + XGB,9685,64,0.0013422818791946308,0.012194400099325839,0.0016859394253798236,0.4886826366354903,0.0026955747880860947,0.0015366774481195664,0.004191735116358102,0.0007043302596965752,11.0
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,9685,64,0.0013422818791946308,0.013034211840324487,0.0013431616285076043,0.7635720875485144,0.0037274952863241657,0.001242125004793336,0.005703603669868802,0.0006048334002299493,12.0
Player-Aware,transition_conceded,Histogram Gradient Boosting,9685,64,0.0013422818791946308,0.013236317746731263,0.001342736537310271,0.7637868231850862,0.003676774306592642,0.0012786671773583962,0.00599648968383403,0.0006035213092228908,13.0
Tactical + Shape,transition_conceded,Random Forest,9685,64,0.0013422818791946308,0.014248805843354721,0.0013564266856830713,0.6070139021441749,0.0026177386249386244,0.00022132198838479915,0.00618947840695856,0.0005957224795701257,14.0
Player-Aware,transition_conceded,Random Forest,9685,64,0.0013422818791946308,0.016025052867677497,0.0014118032444723181,0.5911194884519947,0.003684379985024331,0.0015690612368727721,0.0076851885633334605,0.00060313444136734,15.0
Player-Aware,transition_conceded,Logistic Regression,9685,64,0.0013422818791946308,0.017797109941239602,0.002738566543174062,0.5506179614430236,0.002796569928128203,0.0030803609568928617,0.007696050422788784,0.0022262273315761714,16.0
