team,player,matches_with_defensive_action,defensive_actions,pressure_actions,counterpress_actions,duels,interceptions,blocks,clearances,ball_recoveries,fouls_committed,fifty_fifties,actor_frame_count,avg_actor_x_when_acting,avg_actor_y_when_acting,avg_actor_distance_from_centroid_when_acting,avg_back_line_height_when_acting,avg_defensive_hull_area_when_acting,avg_defenders_behind_ball_when_acting,avg_defenders_within_5_when_acting,avg_defenders_within_10_when_acting,avg_visible_area_when_acting,player_role_cluster,defensive_player_role
Wales,Joe Rodon,3,47,19,1,5,2,4,13,1,3,0,59,81.5741085411174,41.951752142346095,8.947994316297711,36.04891916130676,479.31464889606383,1.915254237288136,1.5084745762711864,2.796610169491525,2661.1594247992803,0,Deep Stopper
Morocco,Abdelhamid Sabiri,5,47,28,5,2,4,4,5,1,3,0,55,70.19193323588122,43.450090335272975,11.218493917308471,38.85660499752787,568.136038174901,5.2,1.4363636363636365,2.4727272727272727,2632.262194205726,1,Pressing Disruptor
Morocco,Achraf Dari,3,47,14,2,3,3,7,15,2,3,0,53,80.37909520602112,29.039179694123263,10.507672739716318,37.73544866096695,512.5142590034283,2.188679245283019,1.679245283018868,2.69811320754717,2752.581079794571,0,Deep Stopper
Iran,Ali Gholizadeh,3,46,27,6,2,5,2,0,7,3,0,72,70.42816422717134,26.370578607791828,15.138678662240707,39.07592195553504,431.4891642005376,5.111111111111111,1.1666666666666667,1.8888888888888888,2504.370529121202,1,Pressing Disruptor
Senegal,Pathé Ismaël Ciss,3,46,27,7,4,0,3,5,3,4,0,60,77.3266667842865,39.11499988238017,7.475285175198326,33.01536553072344,574.007409272442,4.533333333333333,1.4833333333333334,2.9833333333333334,2574.9561705730152,1,Pressing Disruptor
Switzerland,Djibril Sow,4,46,32,8,4,2,4,0,2,2,0,57,62.678570109698406,38.13606119000525,9.530449596559476,44.37824495057915,610.8235555576838,5.385964912280702,1.087719298245614,1.912280701754386,2850.124547372161,1,Pressing Disruptor
South Korea,Jin-Su Kim,4,46,16,6,11,4,4,7,3,1,0,57,76.83007940268975,54.69210118969847,14.88491734002812,39.40651110245996,444.4962431790935,2.087719298245614,1.105263157894737,2.087719298245614,2414.2393924601806,0,Deep Stopper
Morocco,Abdessamad Ezzalzouli,3,46,32,3,1,3,3,1,3,3,0,49,73.30507044524656,62.46999542267834,16.0505213497514,34.99335930585545,468.767704734451,5.530612244897959,1.346938775510204,2.020408163265306,2502.983780332725,2,Wide Enforcer
Japan,Takefusa Kubo,2,46,38,6,2,0,2,0,2,2,0,48,60.826733350236026,30.16445125281481,16.41583070708513,48.05980703321217,478.776035519021,5.1875,1.0,1.7083333333333333,2699.6322796099607,1,Pressing Disruptor
Portugal,Kléper Laveran Lima Ferreira,4,45,15,8,6,1,4,15,2,2,0,64,80.74819699623167,31.541056613012938,9.874409384993774,34.621800173074924,558.6454511034876,2.46875,1.375,2.671875,2920.382777308371,0,Deep Stopper
Qatar,Homam Alamin Ahmed,3,45,28,5,2,1,0,2,4,4,2,62,75.91811438376189,57.09769535558852,14.08664247915594,37.74841498919258,442.1545546120001,3.903225806451613,1.2258064516129032,2.032258064516129,2470.717163389317,1,Pressing Disruptor
Senegal,Krépin Diatta,3,45,33,3,1,0,2,0,6,3,0,59,61.97909257979289,34.98754203274782,17.190597397933114,45.54620397443611,613.4384340827045,4.762711864406779,1.0508474576271187,1.5593220338983051,2787.695652036923,1,Pressing Disruptor
Costa Rica,Kendall Jamaal Waston Manley,3,45,17,4,3,4,5,14,1,1,0,54,91.89629635104428,36.14629600666188,7.623900045179804,25.209645738477047,450.1643467272848,2.8703703703703702,1.7037037037037035,3.648148148148149,2382.917696457881,0,Deep Stopper
Argentina,Lisandro Martínez,5,45,17,5,9,3,3,13,0,0,0,49,82.23593207296818,52.705702014351566,11.579275753000854,33.77024505849456,628.2491026065803,2.836734693877551,1.2857142857142858,2.653061224489796,3076.7183150483093,0,Deep Stopper
Costa Rica,Francisco Javier Calvo Quesada,2,45,23,5,6,2,4,2,3,4,1,48,83.72102111195352,53.760714666073774,11.860995052569235,32.70566671700372,542.9892615716705,2.8125,1.1458333333333333,2.520833333333333,2913.8602383309653,2,Wide Enforcer
South Korea,Heung-Min Son,4,44,32,4,5,1,1,1,4,0,0,71,69.55271964886893,49.29653393996932,16.26896818660593,39.95231129860786,482.5848169247606,4.985915492957746,1.0422535211267605,1.6901408450704225,2355.587397479095,1,Pressing Disruptor
Portugal,João Félix Sequeira,4,44,28,7,4,1,3,2,2,4,0,61,54.38731335491823,51.69848678460438,14.424313579905938,51.29677621457056,654.8178704914973,5.901639344262295,1.0327868852459017,1.852459016393443,3125.3990933675746,1,Pressing Disruptor
Qatar,Almoez Ali Zainalabiddin Abdulla,3,44,34,7,6,0,1,1,1,1,0,60,60.74286152564866,34.24200112267926,13.430838402590869,45.25984411248451,543.6582766097563,5.616666666666666,0.8,1.5,2667.089012376289,1,Pressing Disruptor
Mexico,César Jasib Montes Castro,3,44,16,6,7,1,0,15,1,4,0,59,79.75662450883173,35.06562898362554,10.550326655894107,38.3596825489495,519.4285746065362,1.576271186440678,1.2372881355932204,2.5084745762711864,2693.336814247304,0,Deep Stopper
Tunisia,Issam Jebali,3,44,28,10,1,0,3,5,2,5,0,55,63.35494237436627,45.35057002446485,12.643496184002382,45.25909725156873,379.22712276220926,4.6,1.1454545454545455,1.7818181818181815,2375.215050232744,1,Pressing Disruptor
Ghana,Abdul Rahman Baba,3,44,24,1,6,0,2,5,1,6,0,48,66.93605494835762,62.45922508304994,15.0759089888208,47.377706371348125,440.3487434316272,3.333333333333333,1.2291666666666667,2.25,2426.9285847283645,2,Wide Enforcer
United States,Christian Pulisic,4,43,32,8,4,0,3,1,2,1,0,73,58.89975596048032,49.65090874499911,14.260729807614954,50.44790158978845,487.36456144598566,5.136986301369863,1.0,1.63013698630137,2595.6898030446027,1,Pressing Disruptor
Qatar,Karim Boudiaf,3,43,28,4,2,0,3,4,3,3,0,65,77.25596159255176,30.267491378239203,8.56795835249855,34.65498581102163,548.7991497054371,4.584615384615384,1.3692307692307693,2.6307692307692307,2468.860939326532,1,Pressing Disruptor
Poland,Jakub Piotr Kiwior,4,43,15,2,5,3,5,13,1,1,0,52,90.5149342526782,45.76801445106989,8.612300094839725,28.135192441117297,360.33425917905134,1.9807692307692308,1.4615384615384617,2.9615384615384617,2249.722552608035,0,Deep Stopper
Canada,Kamal Miller,3,43,15,1,8,6,1,12,1,0,0,46,84.00937226482898,47.25280341470655,12.359168407599132,34.975817633825976,439.1255414476712,1.7826086956521738,1.3043478260869563,2.369565217391304,2532.7598421864195,0,Deep Stopper
England,Jordan Brian Henderson,4,43,32,4,2,0,3,0,1,5,0,42,58.91370165381742,34.352705949696336,12.214329332328202,48.15234213326798,603.3516735276197,4.904761904761905,1.0,1.880952380952381,3046.354403788018,1,Pressing Disruptor
Serbia,Filip Kostić,2,42,26,8,3,0,6,1,1,4,1,58,67.02830463705644,64.18202816349853,16.440855770458157,45.06263306050277,554.8937770405716,4.448275862068965,1.1551724137931034,1.9827586206896552,2664.0785235815715,2,Wide Enforcer
Cameroon,Pierre Kunde Malong,2,42,19,10,4,3,1,5,5,4,1,51,69.63705340856534,43.99569831071509,7.683782139200289,42.05536019361784,533.182575913277,4.529411764705882,1.4901960784313726,3.0,2676.277618975142,1,Pressing Disruptor
Germany,Niklas Süle,3,42,24,4,3,1,4,7,2,0,0,50,79.29025526592925,28.00557062633411,11.38323362954192,39.5362320088682,535.3531764712575,2.0,1.3,2.3,2512.754368496708,2,Wide Enforcer
